May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,3,3,10,13,18,10,23,12,10,10,5,9,15,13,13,4,22,7,5,6,5,6,5
2,3,2,7,4,3,9,22,57,19,10,10,8,19,27,22,13,5,9,5,4,11,12,9,18
3,17,3,7,31,17,19,27,42,56,49,26,30,19,28,30,17,1,4,5,6,8,15,9,4
4,10,8,2,11,50,46,79,47,55,41,21,16,11,38,26,20,21,5,8,7,11,14,17,22
5,21,12,24,21,61,56,91,47,50,27,41,24,26,28,22,26,15,7,9,4,7,10,13,19
6,9,26,26,16,24,38,32,37,36,51,23,22,25,26,32,55,12,4,5,14,13,8,11,9
7,6,5,20,16,34,34,79,54,34,15,26,18,16,27,25,15,20,14,13,7,6,2,12,17
8,20,7,9,16,22,29,31,27,22,21,9,8,27,16,27,21,13,8,8,6,9,14,8,15
9,8,10,11,12,21,29,37,31,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,9,12,9,15
10,14,16,16,18,31,37,41,31,24,22,14,16,-1,-1,-1,22,13,8,13,8,8,14,18,9
11,13,15,19,12,19,19,15,34,41,27,8,13,25,38,27,29,-1,19,-1,7,7,-1,-1,-1,-1
12,6,7,10,15,12,15,20,38,37,21,-1,-1,30,39,27,22,16,-1,27,12,7,6,9,13
13,36,2,13,12,14,22,38,28,15,18,23,9,14,14,23,24,10,7,6,4,5,8,8,11
14,11,13,13,17,17,42,38,61,28,34,14,65,63,21,34,24,12,9,9,10,5,8,19,10
15,10,7,3,16,24,18,35,34,22,17,5,17,53,26,18,17,12,9,3,6,10,-1,14,13
16,6,6,16,22,20,12,30,18,19,47,32,9,7,21,21,7,23,21,5,19,4,4,9,13
17,17,9,-1,-1,9,14,27,37,27,18,15,12,34,23,25,25,18,12,10,9,9,19,11,8
18,20,6,14,8,26,31,23,29,31,56,8,15,19,25,31,25,11,15,4,83,7,25,17,16
19,20,10,13,16,23,23,35,32,37,21,27,15,24,28,33,33,22,15,16,6,10,14,23,23
20,19,12,18,8,32,28,32,24,20,28,21,19,22,40,37,24,18,10,11,9,17,14,16,14
21,15,13,9,39,22,40,48,51,23,27,12,15,17,31,35,28,24,11,-1,-1,11,18,18,15
22,20,20,14,23,30,41,27,34,16,20,14,17,19,32,22,21,16,3,12,10,6,12,15,19
23,17,14,19,16,17,19,21,28,27,14,21,6,16,19,36,22,8,7,5,7,6,14,18,10
24,21,5,12,12,10,23,37,26,28,18,14,5,14,28,29,19,25,14,7,7,16,6,14,23
25,23,7,11,20,32,22,35,37,39,22,12,24,19,21,19,27,17,42,50,7,10,12,12,27
26,9,21,7,12,26,-1,15,76,33,26,41,3,-1,-1,-1,34,16,14,-1,9,7,15,22,21
27,19,16,8,56,20,17,24,18,28,74,-1,20,29,61,41,17,22,17,11,10,16,20,14,19
28,12,14,16,24,19,26,30,39,16,-1,-1,67,77,-1,-1,-1,-1,-1,-1,13,10,13,13,19
29,15,15,12,19,28,28,27,-1,-1,39,-1,29,14,42,35,23,15,11,6,13,11,20,80,-1,-1
30,248,85,22,34,20,38,32,67,43,25,24,22,32,32,29,31,20,11,15,9,15,13,31,19
31,16,12,11,23,28,39,60,41,37,19,21,18,29,50,33,33,29,20,13,11,18,13,12,22
