May,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,9,6,6,3,1,6,2,1,1,2,2,1,3,5,4,6,5,4,5,8,14,12,9,7
2,6,4,3,2,-1,5,3,-1,2,1,2,1,8,7,5,9,6,6,11,9,12,7,4,12
3,11,7,4,3,4,5,4,5,4,4,3,4,4,2,10,6,8,6,6,9,12,10,14,11
4,16,7,8,3,5,5,5,3,1,1,2,2,6,8,4,6,5,4,7,14,15,15,11,7
5,7,7,3,4,5,2,-1,-1,1,4,4,6,8,5,5,7,6,3,17,16,15,13,16,10
6,5,5,4,3,1,1,3,2,3,2,1,5,8,6,8,7,7,9,9,12,11,16,19,16
7,6,7,5,3,3,2,3,2,4,-1,3,4,7,10,6,10,8,10,9,15,6,12,12,16
8,8,2,4,1,3,2,1,3,1,2,-1,2,7,3,8,4,3,2,8,14,8,14,6,9
9,9,2,2,2,-1,4,4,3,2,1,4,5,8,7,7,8,6,5,4,14,14,12,13,15
10,6,3,4,2,6,2,-1,-1,1,4,4,5,12,8,7,7,11,7,11,14,12,11,12,1
11,6,4,4,5,2,1,2,2,1,-1,4,4,5,3,3,5,9,9,9,10,7,17,22,10
12,13,7,7,2,3,1,1,2,1,1,5,3,2,3,5,10,8,8,3,13,6,15,14,14
13,8,3,4,4,1,6,4,2,-1,-1,-1,5,10,6,11,4,8,5,9,8,8,9,12,9
14,4,4,2,3,1,2,2,-1,2,6,2,4,8,9,4,4,4,4,3,5,8,8,11,10
15,5,5,6,3,3,1,2,-1,4,1,1,2,5,9,7,11,5,5,9,5,10,13,11,4
16,3,-1,2,1,2,3,3,3,1,1,4,3,4,10,7,5,7,5,9,9,13,15,11,9
17,2,5,4,1,1,1,2,2,-1,3,1,4,9,4,5,11,8,8,12,12,15,13,15,11
18,6,4,1,-1,2,3,-1,2,2,1,2,2,3,8,9,7,4,6,9,3,11,7,12,5
19,9,2,1,3,1,2,2,2,1,2,3,1,3,7,10,10,4,4,4,4,7,6,10,12
20,3,5,-1,1,2,1,2,1,5,2,1,4,2,7,6,4,8,5,5,6,7,17,12,9
21,9,1,4,1,3,4,2,1,1,-1,1,1,4,4,3,11,10,4,13,10,12,7,9,3
22,6,5,1,2,2,1,2,2,-1,1,4,4,4,5,8,9,4,9,8,11,10,12,9,7
23,9,2,2,-1,6,3,1,2,1,2,-1,2,5,5,11,7,6,6,9,10,7,7,8,8
24,5,3,2,-1,1,-1,1,2,1,2,6,-1,5,5,6,9,8,6,2,12,10,7,12,10
25,9,1,-1,-1,1,3,3,3,3,3,2,4,3,6,8,5,6,5,5,5,10,11,10,11
26,5,4,3,-1,-1,-1,6,1,1,1,2,3,4,1,11,11,11,15,14,8,14,7,11,9
27,4,2,-1,2,1,2,2,3,2,-1,2,1,1,11,4,8,4,3,15,12,7,7,18,7
28,3,3,2,2,2,2,1,1,4,1,3,4,10,8,9,8,9,2,5,8,7,10,9,10
29,2,2,-1,2,1,2,2,1,-1,2,3,5,6,2,8,6,10,5,8,2,10,8,7,5
30,-1,7,2,3,2,1,2,2,-1,-1,4,2,7,7,5,7,6,7,8,4,10,6,7,8
31,4,2,1,2,2,10,5,5,6,6,4,13,10,11,41,9,7,6,3,9,3,8,10,5
