ANTENNA	PEAK	MEAN	MAX	MIN	ERR	FIT	SKEW
yagi	5	25.62822014051522	115	2	0.3748091849983419	0.8279943860796215	-0.04076514278848066
yagi	14	5.325032765399738	111	1	0.13762891687270942	0.63394579555139685	-0.060609060080715121
yagi	0	12.31264	148	1	0.23787310892749575	0.60297717697900499	-0.22530200874537204
vertical	8	27.85025817555938	374	1	1.2262373490642138	4.0405008369028774	0.10083984349740931
dipole	4	61.87125220458554	395	4	2.0098733624368896	6.1299758447155721	0.38240933796495047
dipole	8	13.832116788321168	140	1	0.27717907884621135	0.57132869104244732	-0.094451347480184772
vertical	22	8.333333333333334	35	1	5.475196597180577	3.9225671194524776	3.9363738976928446
yagi	8	44.06847175214788	201	1	0.46292606579093465	1.9107107072631142	0.33480733279072816
yagi	10	63.99145299145299	203	17	3.168876229608195	3.4534095554641979	-0.26585928443122664
gp	5	78.22033898305085	251	1	1.5808046394983144	3.1825957138845791	0.45319781045148227
dipole	8	25.101135190918473	175	1	0.2948433673535096	1.7982953476910448	-0.13393264207693695
yagi	12	12.404761904761905	24	4	0.8635471803251578	1.7407543077244716	0.34733296967785365
vertical	7	43.85957446808511	120	1	1.3582395966535372	2.4635103032918098	0.45338192755675955
omni	11	23.782608695652176	63	4	1.4335767855726977	2.0909245975111723	-0.12731141553017222
jpole	19	13.99438202247191	124	1	1.5579843560404196	2.9840362245453327	0.014445849500134242
fullwaveloop	16	17.427249153641142	260	1	0.08652434994470873	0.63912451902363998	-0.1067488353006817
yagi	12	25.988372093023255	64	1	2.0498903367983328	5.2466341714595801	0.15673122571513884
dipole	11	54.93288590604027	139	11	2.5217117139384193	3.5440473367460279	-0.17566324556829119
yagi	4	12.326794471689702	112	1	0.12399003070846665	0.67937374626101277	0.60044884118092223
yagi	4	92.701169517626	406	1	0.3573805254631238	3.9844540603191527	0.14282679431768441
vertical	1	12.5	24	1	0.5312645889686828	1.6321556064020704	-0.33915851761480076
yagi	18	23.0	23	23		2.9214692212749247	4.6948553403344251
dipole	3	79.48995983935743	248	1	0.5892812684324596	3.8444845700050818	-0.21614595119487118
vertical	3	301.4492753623188	704	7	14.854344376632607	46.911444983539624	0.62811201141900586
yagi	22	11.311795503541731	164	1	0.04798158836053128	0.42828217057881157	-0.22580698400893615
gp	8	42.996532156368225	389	1	0.38170223688908184	1.3494344024091021	-0.058895998974191087
dipole	4	42.59718775847808	182	1	0.696733918487746	2.5862110438687225	-0.1284925869600734
yagi	0	48.916666666666664	83	13	6.467234823525915	9.0197149265489216	0.54881832964822619
yagi	4	31.818807339449542	310	1	1.912866084733612	3.4631506320444738	0.66746806628885413
yagi	7	83.93493678692569	225	1	0.441152301470245	3.3411735095947241	-0.15582813366201978
yagi	13	88.28947368421052	277	1	12.126813799883164	9.2678374382837951	0.34118881847038668
yagi	22	129.9903978052126	650	3	4.60428122266484	11.227174742693421	0.1247336460985448
yagi	7	16.74061433447099	85	1	0.4104890350331604	1.089586623347985	0.14957234009767822
dipole	6	70.29193568035083	343	1	0.5019130138432828	1.6419751908227749	0.17310763943612265
dipole	15	12.940379403794038	101	1	0.3920107992623538	0.43712844180863203	0.20177424450649459
diamond	8	82.04981171470116	511	1	0.492454024712465	2.8058322240122502	-0.28794204112811123
yagi	14	28.94275161588181	196	1	0.5237111722038542	1.5615003184268363	-0.33071758975959464
gp	8	55.114097451014395	469	0	0.41667899513269324	1.1871673307330064	-0.41771590719512275
gp	6	29.31158320687911	152	3	0.33572866194349593	0.85899735571689129	0.038632578275595332
gp	9	21.050776332354175	104	0	0.3419988155009246	0.81586520385613537	-0.24293650901386563
vertical	2	141.11601781909744	752	1	1.1412130141243773	4.5458843150953099	-0.27127085094709963
yagi	6	5.545966539672023	67	1	0.0630058336443829	0.60065555719971997	1.0585315706218681
gp	1	16.6462289744981	86	0	0.237056224104712	0.69292667553671206	-0.37152871931995829
yagi	5	21.20812182741117	201	1	0.10268265736524934	1.4466597107137873	0.11308446970370113
yagi	0	6.0	9	3	2.9999999999999996	1.358219473678812	3.6049965325919517
dipole	20	100.51773049645391	621	1	8.087919887653829	23.019695465269404	0.7167346479489467
yagi	7	19.92654028436019	296	1	0.15302029941443915	0.59472630978152363	-0.055414882832017169
yagi	21	9.669910537458172	752	1	0.07107762081268487	0.44883552655816172	-0.0017278764812926359
dipole	5	12.520325203252032	79	1	1.05804796343815	2.1178299933113225	1.0368510573734353
yagi	7	162.86865431103948	758	1	4.650305882316096	13.006890871772832	0.40435174420202158
yagi	19	71.14987714987716	116	16	0.7222675289672463	1.7056810465351537	0.022181555717627519
yagi	5	16.53956513990376	80	1	0.09007987425270297	0.96041719562472372	-0.0382920920805934
gp	6	89.31037649219468	664	0	1.5119174700975224	2.2836917635131377	0.2381421180198077
gp	6	17.228813559322035	73	0	0.27817608308695807	0.53343870452392328	-0.0897467385125406
gp	4	55.80246913580247	100	2	0.5272451117567134	1.1140138472773857	0.096262384278826149
