ANTENNA	PEAK	MEAN	MAX	MIN	ERR	FIT	SKEW
yagi	8	71.34234234234235	738	1	2.251217451430265	3.7833099870748366	-0.380772653585289
jpole	6	67.36541598694943	163	1	1.8193652906215774	1.6686546099173623	-0.37222101811718061
yagi	6	35.820454545454545	84	3	0.7143502011792855	3.3010733550407343	1.5322703986062709
yagi	5	226.96137339055795	904	5	3.464526786322685	4.0026475177478806	-0.055084696763683071
yagi	7	61.00047755491882	669	1	0.794781974769908	4.8115624677953601	0.4264355289887154
yagi	4	6.100928381962865	82	1	0.05869358387842236	0.36147333237887569	-0.15365920843410241
yagi	8	190.31728045325778	466	4	3.6240751666315103	5.7957752682886383	-0.0054221587968798614
discone	4	24.42043795620438	204	1	0.5009800910965506	1.4860229833288363	-0.41452219391918821
dipole	6	72.96251018744907	338	1	1.1729975240912698	3.9703050420693318	-0.32671047789654684
jpole	18	83.10826210826211	629	1	3.9047531496192986	9.4312404010861055	-0.25347733004889567
yagi	8	22.470680300500835	287	1	0.1270235616066108	0.58376925700435534	-0.17766102799726219
yagi	7	43.2464415294446	300	1	0.5356868868532035	2.874683338725772	0.98204574545792178
yagi	23	19.417624521072796	59	1	0.32970434359466116	0.95581620735966544	-0.22622952470706431
dipole	12	12.375	41	1	4.9495219826911425	4.6001902801259842	2.9339669849909149
gp	6	30.39145496535797	480	0	0.3557478469545012	0.91322994843631522	0.23321244737709973
yagi	1	120.30476900149031	772	1	1.636194243623021	12.244439098841983	-0.12169635348213559
yagi	7	10.751161294933182	182	1	0.06811684997065283	0.42248900490414959	-0.00040597058523945197
omni	2	17.841201716738198	342	1	1.7010646065185913	1.842869614741387	0.47477683209795157
vertical	17	25.24590163934426	94	8	1.6568545711027594	4.3630220416509378	0.48587943224559071
gp	5	76.00265721877768	306	1	1.4383283732439367	1.8370455751730677	-0.092486138606558008
vertical	12	76.66903553299493	492	1	2.806689543960678	4.6776571854678002	-0.3743114168989895
diamond	20	24.9375	41	8	2.400466534516433	6.7063245062733277	0.22193928392370121
yagi	8	109.95310649074793	921	1	0.816158283987508	4.1728426591273067	0.016804960703473548
yagi	5	28.13884992987377	216	1	0.4942537289769352	2.0380159654681398	-0.18550967449117364
yagi	7	97.25397096498719	916	1	1.1871771792576868	2.1480277650557511	0.20376904141288463
yagi	4	158.945	7672	1	43.06017845107856	54.656808373592447	0.68061554395808099
discone	6	85.1320447135538	361	2	0.6671978114076714	2.7322834346396956	-0.14293115735546624
vertical	8	4.304347826086956	25	1	0.16272476534989147	0.52722356430910733	0.091125482286990064
yagi	6	3.9077809798270895	63	1	0.11007270689099595	0.5639332223207898	0.16395369528664677
discone	16	130.3846153846154	260	1	11.556737662694403	19.264912847651527	0.35043348601057506
yagi	7	138.59003391859537	882	1	0.7179858070260506	6.1514509176368755	0.44809278411824477
yagi	7	55.29896907216495	147	5	1.2933554731178163	3.1662995257344502	0.29367317013156197
yagi	3	150.33406113537117	287	5	0.5820508046732467	2.4368022366986595	-0.31563005137307487
yagi	15	62.41304347826087	216	7	4.513957548601499	8.4666191904891406	0.33209980533154776
jpole	19	89.90845070422536	500	1	9.486969360472635	17.309907328285043	0.22407452800351349
dipole	4	42.693473193473196	380	1	1.1365994610961179	4.3479654898606492	0.29298349455492473
yagi	5	16.595722537336734	147	1	0.07207038186948517	0.89522761253404326	0.35799654068351833
turnstile	5	453.72222222222223	607	75	21.299065152415565	31.222974429770957	-0.58561341110317411
dipole	8	6.785260930888575	131	1	0.1823909160531942	0.76566706678090846	-0.46773233921744345
gp	6	26.24745269286754	199	0	0.410849296176196	2.5531925208034112	0.21229784525544368
vertical	5	12.375471698113207	48	1	0.3621944168030137	0.75895509055723431	-1.0419867153869544
yagi	7	164.44377342773845	869	1	2.1480349921780806	4.3317275367266754	-0.011831532858888423
yagi	8	170.3935849056604	668	1	1.5963096116656923	7.7451215023548663	0.25468358963707433
yagi	23	1.3	3	1	0.21343747458109494	0.97486571324286764	1.6428081893743862
gp	11	8.989232839838493	30	1	0.16852742702060058	0.49058874620336834	0.10663917049133471
yagi	7	3.4205955334987594	12	1	0.07140764886150887	0.33788416630191698	-0.037234853340560328
yagi	4	58.04651162790697	509	1	17.699721062187965	61.273451632559137	2.3038741505290008
yagi	3	89.32125263898664	285	1	0.6171831558289045	2.8663238395192945	-0.43595519339774791
gp	8	208.54853911404336	576	1	2.415773163859842	6.5180085182351757	-0.20786445676441423
dipole	5	52.75094517958412	166	1	0.34667424574390504	1.7779705807046366	0.076465270549842868
dipole	5	53.16115702479339	210	3	1.002942534769864	8.5569071829407068	0.71984445133274166
dipole	4	117.1151832460733	258	1	4.322649423984386	13.085226326709488	-0.3162549984819657
discone	4	116.76751162947482	614	1	0.4545617669147933	5.0575347829217456	-0.25889280256723907
discone	18	82.65489415216936	818	1	1.155341572972416	2.9985725878967013	0.14870268019351274
dipole	6	114.52533333333334	746	1	6.521921082932725	11.685848772424354	-0.66171702585511005
gp	6	52.080396319886766	463	1	0.21571935832499725	0.78895793615104326	-0.22292456110801789
logperiodic	5	16.75	59	1	1.2860827705531679	3.1076690506549971	0.66774017774985239
discone	5	148.3577371048253	417	1	2.297575675966906	7.9413825029472971	0.065086364196053223
dipole	6	8.887961522138916	91	1	0.06982955096053022	0.55889588715066996	0.032633141353272881
yagi	3	19.766666666666666	70	1	0.7050937074004515	2.8421267656646898	0.22307421165180139
yagi	7	21.36235757490505	250	1	0.151022523483077	2.0061375122139165	1.1275425034484732
yagi	14	1.896551724137931	19	1	0.12501061616206424	0.76824676979485962	1.5502624600206099
yagi	11	64.74123128468223	319	1	0.28628012598418623	2.7369127422063571	-0.03322982914638526
vertical	9	32.238140719516075	760	1	1.1041125241267686	2.7574306633620997	0.69393595471192659
yagi	6	49.214341387373345	512	1	0.26357179420620797	1.0017014457253506	-0.023829328656662218
dipole	6	19.782161803713528	124	1	0.2482568921921871	0.98624258289510691	-0.24297647128481586
vertical	6	21.9312567132116	588	1	0.14633594355388688	0.67598121295419533	0.11965748057747698
turnstile	5	183.77415221662253	864	1	0.970101962863607	5.3648899834092942	-0.39669752468416231
gp	6	59.69675456389452	337	0	0.3103898476987371	2.5054394475403052	-0.45698077594128367
logperiodic	9	11.42533288386988	414	1	0.19105739129391294	0.60200531695860504	0.55810995616568171
vertical	10	95.58280147799799	350	4	0.8189660879513276	3.594792946871006	-0.04766969208597896
yagi	13	22.516693163751988	237	1	0.8054312948267102	2.3434419724100808	-0.21881983865130944
yagi	9	72.42939071614137	544	1	0.41338342676109413	3.4306817166760792	-0.41474553413777188
yagi	13	232.5	268	181	21.511624764298954	35.806664841481357	1.9704353529406724
logperiodic	14	25.44104134762634	76	2	0.4878020072996095	2.9388989803629153	0.79217345911361359
vertical	2	85.07142857142857	209	11	4.528174650318966	8.4524001595930756	-0.39277022294772862
yagi	7	56.62187055178766	511	1	0.5258683154239074	3.9762382336665745	0.012097891463660235
yagi	5	3.6934782608695653	27	1	0.12940688567888983	0.47608483047496719	0.010675419157292332
yagi	4	4.182027649769585	55	1	0.10068636426224843	0.75185554275946831	0.38344646022099932
yagi	9	3.91037793918503	25	1	0.030907150959285794	0.25591551182116329	-0.026839762426197254
gp	6	43.02096074434164	245	0	0.1668185890305438	0.82731621494283136	-0.30711720102177026
gp	15	67.33333333333333	231	1	3.2174666706661634	3.1012523811735835	-0.063253066972813257
yagi	20	10.452527161076995	157	1	0.12675606598538386	0.38257913865245813	-0.066622890577315463
yagi	8	4.171492204899777	77	1	0.05460562352545331	0.21032773149250472	0.38359966360641551
yagi	22	19.38235294117647	298	1	9.152696991642637	16.163018734541691	3.2479329612845311
fullwaveloop	16	46.27051633600373	655	1	0.2365864932556833	2.0329620923272906	-0.35862039191625189
yagi	12	244.97916666666666	959	1	28.87943396186294	44.789820501345162	0.20489775220296205
yagi	10	84.95833333333333	180	1	8.25158727959962	22.455013105259226	0.64949313525028718
dipole	13	5.051792828685259	14	1	0.19647599300759416	0.53315706779730043	0.2543905729370099
yagi	8	18.90015620932049	268	1	0.16633047879404994	0.70001376867540432	-0.60780691731267067
vertical	9	3.4893390191897655	52	1	0.15958131800608377	0.30166526317237718	0.31476174064360757
yagi	17	45.632183908045974	735	1	2.4267318229025276	4.6265935303372441	0.42899659407827795
dipole	7	214.96907216494844	386	23	6.109342813474059	9.6246930531411721	0.13500526438673491
vertical	23	174.7	451	1	58.05592131729544	60.24840660295439	1.5139398935951422
yagi	19	9.166666666666666	25	1	3.9700265882121135	2.9403149830104987	2.8661445527829486
dipole	7	9.039036330842567	120	1	0.070796402913893	0.3031458136869094	-0.11153519449708085
vertical	7	50.58386581469649	277	1	0.20460933901918904	1.2875270050007557	0.15338486042520239
discone	13	41.92314857941314	629	1	0.6935314801934233	2.8993312382961487	0.3347057852240844
vertical	7	18.41704131877542	504	1	0.2733938353619501	0.74782401826970424	0.71754982373001097
yagi	21	4.009589947089947	30	1	0.05443977887139204	0.40738894931240982	0.6046189783646978
yagi	7	353.19827586206895	1114	75	21.625253921527783	29.975043937600574	0.4846470711134081
yagi	0	24.10762331838565	121	1	0.7383746774090764	3.1480566702313708	-0.087789486528860622
gp	6	10.402045979540205	102	0	0.11058148928134204	0.38875061653495957	0.57544215108852637
vertical	6	181.05777777777777	379	2	5.746193096042089	12.211605938317089	-0.46292416257455404
discone	12	22.279325988334413	328	1	0.21789518799038357	1.3332967783312601	-0.016361975278762892
fullwaveloop	16	153.75200036788374	505	1	0.6009428166647747	4.7009381865101156	-0.29902734907595679
yagi	1	222.5983606557377	557	1	9.904664833852872	13.227282654980911	0.15189631704839943
diamond	14	25.38888888888889	68	2	0.7751271206509069	2.6670587335292186	0.11280839793111147
dipole	7	34.61227373584024	1063	1	0.12518778839331426	1.1616622172763238	-0.041046472030047104
yagi	14	2.926829268292683	38	1	0.2691673061761354	0.84742364402248649	1.467243278216446
yagi	4	17.163480837235973	193	1	0.0991411188918663	0.55065746016385053	-0.11434813382749125
gp	5	40.245448239986125	461	0	0.36493304156519885	1.4426411880934045	-0.25811745288922783
logperiodic	9	167.16034597471725	1209	1	1.6525450744081565	4.0855534462703087	0.11095045475716023
yagi	7	15.612997090203686	291	1	0.937665556509423	1.8465293634719033	0.8799020587986236
turnstile	7	47.24826601387189	295	1	0.5644246855219662	2.6537153070709154	-0.3793850693938407
yagi	6	26.685603615235635	178	1	0.6238803129720659	1.9729649343396209	0.014841271300090695
turnstile	8	46.245390070921985	279	1	0.8719255043449676	1.9870406788197581	-0.84807591929484349
yagi	11	44.341719077568136	226	1	0.6277101560020187	1.9622080367751309	-0.49303146333074804
yagi	18	25.622355430183358	141	1	0.28276752713352044	1.0971060615598465	-0.061393486770434838
discone	6	37.979959337786816	199	1	0.3253934038599297	2.2494637562310711	-0.58699316860678641
yagi	10	193.52269399707174	393	1	3.7614874874604975	8.9055883448879811	-0.045732157054545038
yagi	7	48.014925373134325	289	1	1.853075102408928	2.8493924070622998	0.52528753643444426
yagi	7	96.75298726738491	865	1	1.9322308877290082	3.1116131917879613	-0.36979147406110774
dipole	5	272.23633577388046	569	9	1.4337867174713799	5.6227265527437336	-0.31345411017388347
yagi	5	23.551493783633326	282	1	0.19695519442657855	1.2888221781460967	0.013024498833023278
gp	5	68.4418330451187	635	0	0.38263387230697316	0.95712487109764799	-0.092870136150077179
yagi	1	15.843272171253822	56	1	0.3076499251481362	1.0409911303339985	0.19163140190842562
yagi	5	194.54244737450844	883	1	2.7576539263142124	4.9671683964161453	0.11559788114218658
yagi	5	18.92323042610635	311	1	0.15394388231307804	0.34901841901302411	-0.14738486756360827
yagi	2	277.78498609823913	793	63	3.7284800191563714	9.4845983432282068	-0.018388740724592848
yagi	7	12.873063683304647	36	0	0.13985569291990863	0.58908167619426566	0.28402007945456342
yagi	6	60.83783783783784	217	2	1.7120402194917157	3.3229917374114755	0.45159362524518643
yagi	11	8.43020594965675	83	1	0.6284860008737454	1.2406754523229775	0.42053620824659438
fullwaveloop	12	105.24779309733991	736	1	0.38168132172856317	5.3916241048288018	0.023109941450628144
yagi	12	280.64761904761906	1086	1	30.60824478022347	45.28520151597283	1.0274699014009405
quad	9	84.97633136094674	407	3	6.605985915810555	15.203699422168155	1.5048750133818904
yagi	8	4.640937293907052	128	1	0.018565331483509154	0.18418550753025081	0.17484200077265752
vertical	13	5.146067415730337	29	1	0.5678100148119744	2.4867801205015256	1.0268496106598113
fullwaveloop	8	148.2396694214876	357	6	3.5861634971552	4.9776172744132126	-0.2021107195489833
yagi	23	26.554117647058824	192	1	0.6086822402394885	3.0453539687991946	0.81432011092635825
quad	4	20.899996473782572	198	1	0.05654756142433634	0.6154837289186661	-0.22019941354831199
discone	9	158.22635814889335	268	1	1.3614979618302019	8.6309212938162538	-0.62390878562919516
dipole	4	11.809113449967922	110	1	0.04403739642529991	0.73576778213969396	0.82405292399258978
dipole	12	8.425629949604032	98	1	0.08866773234292225	0.64476887237888469	-0.2179655437102524
dipole	12	65.65714285714286	110	6	3.912475812934147	10.741118009620349	-0.62853700431822634
dipole	1	202.123006833713	747	7	7.729928091424769	8.3365606274760804	-0.34370131021136568
yagi	21	31.41726618705036	297	1	1.0171590727195676	1.1069626174383966	-0.014464462411498126
vertical	5	75.70467589466577	614	1	0.3942638621274327	4.6049948237947103	-0.36692847428344205
dipole	14	28.687368421052632	322	1	1.2263753973340001	2.2027266457610697	-0.088168977647568134
quad	12	197.2293371522095	469	1	0.9958334250611549	9.4956425757184082	-0.47669707415707657
yagi	21	78.85064935064935	715	1	8.506650845328219	20.550499445557943	0.31579079854042913
dipole	5	53.00741694250337	535	1	0.4384731207951076	1.054102943523274	0.10071472704472241
yagi	9	17.75	558	1	5.22500231396114	10.663208766043244	2.5917711252994433
yagi	8	122.60283172989654	794	1	1.7024208450010725	2.730692105425736	0.013504564396431067
vertical	23	99.66666666666667	252	3	77.08076572300281	32.664004024448374	3.0183928610464226
omni	10	108.5607476635514	194	3	4.571657133417677	7.1286836953609436	-0.34947110772529555
yagi	6	2.48	7	1	0.1614796447719516	0.74887063326331482	0.24952007570638018
logperiodic	9	39.0931799045748	905	1	1.5598260239668995	1.4821217652509771	0.91551795590124674
gp	4	12.942028985507246	81	1	1.4882297865559986	2.1422854742885109	0.51034138604857093
yagi	7	69.85517471516422	255	1	0.2847566550365034	1.4377055324538199	-0.32887172885236238
dipole	11	142.63883751651255	492	1	0.8786226902417769	4.7850425277885451	-0.32587567343408691
turnstile	9	216.15035286897822	663	1	1.9299241449918603	9.57186853002991	-0.39223928922425177
dipole	21	30.38767174155217	867	1	0.8801204108903599	1.6857190281984016	1.585666357176885
yagi	16	5.563572679509632	39	1	0.07117202985672816	0.34940056275353987	-0.33141683513660758
yagi	8	68.78538472987051	259	1	0.6665408684837865	0.80899106682712385	-0.13214343879901314
yagi	5	54.86381390504297	375	1	0.5939812138038716	1.6684781963129849	-0.11940095165605583
dipole	4	37.84373549285604	251	1	0.1271159446421774	2.0749787295764897	0.38424904991360681
dipole	11	11.406758720930233	100	1	0.07832740787561887	0.48840093095724491	-0.2481422831709546
dipole	3	114.99194198227237	576	1	2.329159999010983	4.6533635108543301	-0.034087584902420066
turnstile	7	24.160367722165475	240	1	0.16889446175742465	1.4763210085769152	0.88801189906633704
discone	12	47.63517915309446	152	1	1.5650205587916652	3.3135572160309139	-0.35682082806234156
yagi	0	15.581920903954803	323	1	0.8224780459610239	4.4260119254144392	1.9388691387820811
dipole	6	35.142857142857146	183	1	6.1835584057905635	11.05891229860325	0.56276688665455177
discone	12	55.329166666666666	152	1	1.6495688325187003	3.3236707745762821	-0.70961744619118572
logperiodic	14	26.057900983384197	228	1	0.09460637138417594	1.7982465822018163	0.35598843601839253
gp	7	61.771137458317895	416	0	0.2511686155983727	1.3098137864182164	-0.35843282723456282
dipole	23	215.94444444444446	389	7	25.437925499930504	31.030673788405949	0.11184515516002355
gp	8	63.18050541516246	188	1	2.9211390053529973	4.1229730178331536	-0.12049142545658424
dipole	5	26.199532691455506	272	1	0.20330181192540414	0.68735530992673854	-0.21700207646986838
diamond	11	33.78102912072378	329	1	0.23233265023436614	2.201143920328537	-0.36858292918817487
yagi	10	31.524366471734893	254	1	1.7157541290290081	2.4933058497961413	0.51356893068513143
dipole	17	3.9723214285714286	39	1	0.14742280999571442	0.59701717668092347	0.49492318297773069
yagi	0	87.3778014941302	618	1	0.7489060531685428	1.1352089911579446	0.73804349697949068
yagi	23	33.78135593220339	190	1	0.444325557971932	1.9355156688479094	0.36387745022730639
dipole	6	194.50716332378224	404	4	5.022851669796721	34.335557530957807	0.13470621393756821
vertical	7	83.73907699184267	383	1	0.47594609331574333	2.5203711395659485	-0.018005476841121811
gp	5	71.34078549848942	137	0	0.5666808089044655	1.1172992621301048	-0.023706802188793639
yagi	6	124.16652138821631	797	1	0.33698284783073545	2.60418670443251	0.18050044333520743
yagi	2	27.383405402017925	305	1	0.1683154382166871	2.1339824547490056	0.42435561153182472
yagi	11	32.813306025792826	703	1	0.2070458717221863	0.75292108575854	0.0079192835678366779
dipole	9	49.46263795910983	385	1	0.7112122944119533	2.5129953093748427	-0.093474262325516186
dipole	11	114.14518059181897	626	1	0.49777614031661915	3.8454561736245312	0.13319879494815293
