may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,044,049,059,058,056,063,059,071,067,069,067,062,054,043,040,038,026,035,026,025,034,043,045,049
02,046,050,051,042,054,054,054,059,071,062,056,060,045,045,024,023,028,022,012,008,013,010,011,006
03,013,015,009,011,009,011,006,023,067,067,066,051,046,045,050,036,033,032,027,040,039,044,034,049
04,054,068,043,066,053,079,088,097,091,094,063,066,052,035,044,023,017,022,018,023,031,041,041,036
05,044,055,050,065,079,101,073,058,074,085,060,023,043,029,023,029,015,025,028,040,040,039,045,039
06,048,045,065,063,079,090,103,086,078,078,075,049,057,044,034,036,026,034,029,043,026,032,044,049
07,053,056,057,063,071,089,112,093,081,081,074,067,055,055,037,042,032,027,037,025,037,037,058,044
08,060,059,072,077,073,079,088,094,083,091,083,056,052,053,052,050,024,027,030,032,028,019,034,043
09,048,057,046,065,062,077,076,089,088,096,083,053,044,040,041,039,032,022,031,037,033,039,039,047
10,049,056,039,073,072,079,090,087,075,025,011,060,062,053,061,051,043,043,033,037,034,033,037,031
11,059,056,062,080,075,078,068,095,089,084,076,066,044,054,056,058,030,031,025,024,027,038,042,037
12,027,023,035,050,047,051,059,063,062,064,059,072,049,072,067,048,043,034,041,039,028,048,057,055
13,050,068,074,064,072,077,045,060,084,078,077,071,059,095,063,063,036,050,036,040,045,054,064,054
14,058,069,077,072,072,088,095,090,100,092,097,085,079,068,080,061,038,041,029,031,038,045,060,053
15,064,078,075,085,075,083,089,085,099,092,069,088,084,064,062,053,048,035,032,032,040,047,042,048
16,060,089,059,086,073,084,087,106,082,098,079,066,064,067,075,055,043,035,034,033,034,048,044,064
17,062,065,057,070,071,075,075,086,088,085,069,076,064,055,066,059,037,036,045,038,041,041,040,049
18,058,057,061,094,072,077,083,091,069,083,068,058,073,055,066,059,046,039,026,052,042,038,055,051
19,051,041,070,062,067,083,080,102,095,091,081,071,001,075,065,061,044,029,032,031,022,050,058,061
20,077,076,082,093,087,094,089,101,098,099,111,090,075,077,068,061,044,041,036,034,033,059,050,064
21,074,076,078,109,084,109,106,096,086,093,095,078,058,058,046,049,049,041,036,033,041,045,050,065
22,062,060,067,078,073,068,105,104,106,087,078,075,071,073,065,062,056,051,037,033,038,048,057,073
23,065,087,062,074,084,065,101,111,069,090,074,071,074,071,065,055,060,036,039,044,046,044,045,045
24,057,080,068,075,095,089,070,095,079,072,074,056,059,051,057,058,044,031,024,032,033,047,035,057
25,065,052,080,068,072,082,094,083,080,081,074,074,072,056,062,045,044,040,032,032,048,039,048,071
26,056,055,062,062,067,075,098,107,072,091,086,071,060,067,062,060,046,038,031,039,031,042,045,041
27,041,059,049,069,061,068,061,073,066,060,054,064,029,052,063,040,040,041,036,025,028,040,034,055
28,040,042,034,036,040,050,049,018,008,009,033,059,041,040,037,038,021,024,034,024,042,026,041,044
29,045,043,052,045,037,040,068,056,049,053,044,036,043,038,022,029,033,033,032,023,018,027,029,050
30,062,056,054,056,042,064,074,089,062,055,061,046,058,048,053,039,049,036,030,028,028,033,040,038
31,045,042,048,046,054,062,066,045,069,055,046,039,048,035,038,021,016,010,013,013,015,-1,-1,-1,-1
