dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,65,63,57,60,63,63,37,43,39,39,37,28,32,33,35,23,-1,28,-1,-1,-1,-1,-1,-1,""
02,60,74,59,50,64,58,51,33,37,39,30,40,15,21,30,27,18,16,31,-1,-1,-1,-1,-1,""
03,66,60,67,66,75,67,63,76,60,49,60,50,46,42,29,26,-1,21,22,30,-1,-1,29,-1,""
04,72,64,69,66,62,62,60,54,40,44,39,36,41,33,41,28,30,30,-1,-1,-1,-1,-1,-1,""
05,83,75,57,79,69,74,50,41,45,43,29,45,32,34,43,31,22,17,22,-1,-1,-1,-1,-1,""
06,40,59,61,72,64,76,54,62,59,49,47,46,39,35,39,29,28,17,20,28,27,39,52,48,""
07,70,51,62,63,59,72,82,53,49,51,40,46,38,39,31,24,20,-1,16,-1,-1,-1,-1,-1,""
08,86,67,58,72,76,69,40,39,45,45,39,40,32,31,25,19,-1,19,-1,-1,-1,-1,-1,-1,""
09,92,62,72,73,70,70,61,52,60,53,40,41,34,36,43,23,-1,23,23,-1,-1,-1,-1,79,""
10,90,75,68,55,86,64,57,57,78,42,42,25,36,33,26,25,23,26,27,49,50,-1,81,66,""
11,99,89,85,86,76,75,62,57,47,29,33,28,25,-1,-1,-1,24,18,24,-1,-1,-1,92,-1,""
12,119,113,85,85,93,100,76,70,66,50,35,36,40,31,27,27,23,30,28,51,53,72,115,162,""
13,213,174,133,156,157,127,87,106,95,75,51,35,27,29,37,26,24,30,29,-1,93,138,156,182,""
14,195,207,160,180,166,144,117,123,102,71,55,45,32,35,36,28,39,45,54,-1,-1,-1,121,180,""
15,178,150,120,135,122,94,68,72,72,60,48,39,33,33,34,14,19,30,33,-1,-1,-1,71,73,""
16,75,68,67,85,76,72,71,52,57,45,39,55,38,42,34,26,-1,16,22,-1,-1,-1,-1,69,""
17,71,80,73,70,65,55,73,51,57,35,23,29,25,34,26,16,30,23,-1,-1,-1,-1,49,-1,""
18,77,67,71,73,94,63,66,65,60,40,35,32,26,22,30,26,-1,26,-1,-1,-1,-1,46,-1,""
19,62,67,70,76,91,59,52,34,36,38,38,42,30,20,25,25,14,15,-1,-1,-1,-1,40,48,""
20,51,56,46,75,57,59,49,46,41,39,31,27,27,-1,-1,26,20,29,17,-1,-1,-1,-1,53,""
21,65,58,58,79,71,64,54,46,42,49,41,41,36,38,32,24,16,14,17,-1,-1,-1,40,42,""
22,65,63,60,75,74,61,50,52,50,41,54,47,38,36,26,33,27,15,24,-1,-1,42,31,44,""
23,47,38,67,55,53,43,36,39,52,35,41,38,19,10,22,19,-1,-1,-1,-1,-1,-1,-1,54,""
24,45,70,59,66,46,55,46,38,32,33,38,42,26,28,33,-1,15,22,-1,-1,-1,-1,-1,42,""
25,46,45,44,45,54,52,42,52,52,37,30,36,16,18,21,15,-1,10,-1,-1,-1,-1,-1,54,""
26,46,51,63,63,64,46,49,52,41,29,25,29,21,31,31,17,20,19,16,28,29,45,52,38,""
27,52,47,59,67,61,40,42,47,44,37,33,25,29,39,25,20,25,15,29,29,-1,-1,-1,-1,""
28,52,71,53,52,53,50,48,47,39,30,38,44,36,27,24,-1,-1,-1,17,-1,-1,-1,-1,-1,""
29,57,59,57,55,65,51,63,62,58,44,-1,-1,-1,44,27,30,25,30,27,33,32,-1,-1,42,""
30,67,56,65,52,72,54,34,44,54,30,30,26,27,23,28,22,-1,18,-1,-1,-1,-1,60,53,""
31,55,55,58,56,69,66,59,61,51,36,-1,45,42,26,27,14,10,21,-1,-1,-1,-1,-1,-1,""
