aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,28,38,71,158,94,57,61,79,72,81,114,47,64,60,21,20,46,17,-1,20,40,32,12,25
02,27,101,63,137,79,74,124,152,85,88,95,52,94,76,27,40,28,28,43,43,83,56,29,22
03,33,37,53,139,114,80,124,88,-1,-1,87,63,31,62,23,17,36,21,-1,-1,30,46,12,10
04,18,26,57,181,112,105,-1,-1,62,96,80,95,36,77,18,49,23,16,49,29,26,5,7,6
05,18,32,80,118,121,106,54,101,83,113,82,62,77,26,-1,-1,-1,-1,21,50,53,33,17,9
06,12,27,30,136,70,35,51,45,43,117,99,68,61,57,-1,-1,-1,-1,-1,37,43,32,13,48
07,90,19,70,67,99,68,66,78,63,-1,-1,-1,-1,70,22,-1,-1,24,21,38,-1,36,18,27
08,18,20,90,130,69,77,46,38,93,107,71,-1,-1,-1,46,57,23,47,-1,-1,-1,-1,20,17
09,15,24,37,120,83,66,34,34,46,85,102,56,78,43,83,34,25,54,50,45,32,41,11,16
10,17,14,60,131,134,150,123,123,93,180,146,105,88,74,32,26,35,35,37,52,39,40,20,34
11,20,35,37,94,128,173,173,161,214,122,125,154,121,88,-1,48,125,93,103,147,75,66,32,35
12,58,59,47,141,375,245,282,329,215,262,200,168,115,127,105,161,58,88,57,36,66,54,20,21
13,43,68,69,90,211,152,136,189,63,137,147,101,91,76,55,20,25,25,73,39,65,20,28,6
14,43,19,59,94,102,37,76,84,-1,125,65,89,33,55,34,16,27,12,49,32,21,39,7,15
15,42,71,12,58,113,45,98,30,61,40,44,30,50,28,35,11,22,9,38,28,29,27,10,9
16,24,13,23,63,36,41,31,50,25,44,39,71,43,22,30,10,7,19,18,36,16,13,4,27
17,6,26,23,58,44,72,63,30,46,26,74,27,35,74,34,14,21,17,23,12,22,8,8,20
18,15,14,29,23,25,54,36,31,18,37,-1,-1,-1,-1,-1,11,11,11,23,25,13,9,8,12
19,10,26,23,47,44,44,29,21,33,31,33,32,17,15,12,5,5,5,15,18,14,8,10,8
20,21,16,25,22,16,45,35,26,-1,40,49,24,38,31,-1,-1,-1,-1,-1,-1,21,24,13,12
21,9,13,12,42,54,35,7,7,10,14,10,13,26,28,17,19,10,7,-1,10,10,8,7,7
22,14,14,19,25,44,34,57,77,44,34,17,85,22,23,13,14,9,6,25,14,18,9,6,10
23,12,12,10,25,31,90,36,23,54,39,55,71,101,42,13,6,9,9,8,7,18,11,8,15
24,11,14,13,28,-1,37,40,36,33,32,35,21,22,17,20,7,12,11,9,40,16,25,22,11
25,18,15,21,18,40,33,31,39,18,16,20,37,28,10,12,15,3,28,16,65,39,13,3,15
26,15,18,59,42,33,35,46,34,29,29,25,14,18,25,16,10,6,7,7,44,12,9,5,11
27,20,25,23,42,71,48,46,48,42,38,37,26,19,31,17,8,28,18,12,13,23,22,7,6
28,26,29,16,51,40,58,61,62,37,26,-1,26,20,25,19,9,14,13,18,19,19,13,7,13
29,-1,-1,-1,-1,-1,-1,-1,-1,31,16,44,30,18,7,16,9,7,11,7,14,14,23,19,19
30,10,29,39,68,51,47,25,33,41,27,16,27,10,13,6,16,11,10,6,11,22,14,6,14
31,-1,-1,-1,-1,-1,-1,-1,-1,13,24,35,46,13,8,7,18,11,20,17,26,32,33,8,13
