oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,31,29,43,31,38,42,45,27,28,22,23,27,30,24,12,16,27,37,23,20,16,17,25,24,""
02,25,37,41,27,31,41,43,38,27,29,24,33,22,35,28,19,24,17,12,19,19,21,24,26,""
03,25,35,39,27,44,39,26,36,29,23,30,22,28,26,26,18,15,17,10,13,19,31,25,22,""
04,14,20,34,16,25,36,30,27,35,12,24,13,22,12,18,13,21,13,14,19,20,23,22,17,""
05,26,32,29,27,26,27,15,23,20,23,24,16,23,21,21,18,20,15,11,14,27,36,20,20,""
06,28,31,39,40,25,19,34,24,13,14,18,15,17,29,13,13,9,10,8,7,10,13,11,11,""
07,15,24,14,14,14,22,15,28,19,14,14,13,21,14,9,12,16,9,13,10,9,11,16,18,""
08,23,22,25,25,23,30,27,28,17,18,17,7,22,15,45,18,19,24,17,14,18,12,21,14,""
09,17,24,27,35,33,29,29,26,13,26,19,17,29,23,21,13,22,7,14,16,15,18,16,12,""
10,27,28,28,36,37,27,32,27,21,26,27,23,15,27,16,19,16,16,19,24,31,33,32,23,""
11,33,28,31,43,31,40,32,32,28,12,19,33,26,26,15,20,22,14,19,10,19,22,26,27,""
12,17,3,21,42,25,36,29,32,27,17,20,15,24,20,16,23,14,17,13,20,17,25,31,26,""
13,30,41,37,35,37,31,22,22,15,20,8,22,17,18,23,12,9,6,12,24,18,15,36,18,""
14,30,25,20,24,39,30,33,23,20,9,9,19,9,14,12,4,9,10,16,12,8,15,16,12,""
15,17,28,28,34,40,37,31,34,37,30,28,21,27,32,14,26,10,19,12,16,14,15,16,14,""
16,20,24,21,23,23,27,18,18,23,32,16,27,26,24,27,22,9,9,18,22,12,19,15,21,""
17,34,33,34,28,36,24,35,24,20,25,30,33,21,17,16,19,15,10,14,16,18,14,17,7,""
18,18,25,24,31,34,29,35,22,28,22,15,15,15,21,21,18,16,11,14,19,24,24,16,22,""
19,28,28,32,39,38,31,36,32,19,27,18,22,20,12,17,21,26,11,19,24,22,21,22,29,""
20,23,24,35,42,31,34,36,42,28,28,20,11,5,19,20,22,14,10,17,16,21,24,28,24,""
21,17,30,29,23,30,33,18,21,23,0,22,16,2,1,2,9,15,17,16,18,17,24,24,25,""
22,21,30,21,33,34,29,31,19,25,15,33,24,4,16,15,28,20,13,13,26,18,19,15,25,""
23,25,35,29,29,25,30,20,26,25,21,19,14,22,15,26,9,15,12,15,12,9,18,14,13,""
24,20,19,23,26,25,33,27,37,20,23,24,14,15,17,15,17,7,15,9,11,17,15,17,15,""
25,25,25,35,33,26,30,21,35,26,32,17,11,16,23,22,15,17,16,24,8,16,15,15,15,""
26,19,28,27,24,28,26,20,26,19,17,17,18,18,22,13,15,13,16,16,19,22,13,17,21,""
27,35,29,21,30,22,22,21,24,31,16,15,18,19,27,22,15,12,10,14,13,19,16,13,18,""
28,16,21,28,27,30,23,17,22,20,15,24,23,14,18,30,21,10,21,18,20,36,20,12,22,""
29,16,37,30,28,39,30,32,28,29,14,26,23,19,23,20,31,10,22,8,14,14,16,10,8,""
30,12,15,13,10,11,17,13,14,14,18,18,22,13,14,10,26,20,11,12,15,30,15,15,19,""
31,9,27,22,25,21,32,25,28,22,23,18,27,18,15,13,13,30,18,16,24,19,20,11,-1,""
