Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,UT
01,5,16,8,7,7,9,2,1,3,11,10,10,3,27,5,3,2,0,4,1,7,0,5,4
02,5,8,5,6,10,7,8,7,9,10,10,3,4,2,3,2,5,3,0,1,1,2,5,2
03,3,4,2,4,6,2,6,10,14,9,8,10,5,5,7,2,1,0,1,3,3,0,3,2
04,2,1,13,9,7,10,9,7,5,10,3,6,1,4,0,3,1,0,1,2,0,3,2,2
05,2,4,9,9,7,8,6,2,9,8,5,3,4,6,3,2,1,0,0,0,1,3,1,0
06,2,2,1,0,2,3,2,7,7,7,20,6,6,3,4,0,3,2,1,1,5,6,8,1
07,2,2,3,2,6,4,2,4,5,5,3,5,9,2,3,3,3,0,4,1,1,1,1,1
08,2,1,2,3,2,1,7,15,9,7,6,2,1,4,0,1,0,0,0,1,2,7,2,2
09,2,3,4,6,7,5,5,11,14,8,9,4,4,6,0,4,1,1,1,3,2,2,1,2
10,1,1,2,4,1,5,2,6,6,5,2,4,3,1,5,1,2,1,3,4,0,6,5,5
11,7,1,6,4,7,11,7,3,3,10,5,2,3,2,3,2,3,0,1,1,1,6,7,5
12,7,1,2,2,7,14,7,10,8,6,7,6,4,1,0,1,2,2,1,2,4,5,6,4
13,8,3,6,14,21,32,25,19,26,8,10,5,3,6,5,2,1,0,3,6,11,19,38,44
14,45,5,9,12,28,41,21,4,9,12,8,4,2,1,5,3,0,0,7,14,12,39,55,62
15,51,6,7,22,37,47,48,21,25,21,3,5,3,5,4,3,0,0,2,3,6,12,24,21
16,12,6,7,12,14,11,8,20,12,8,7,7,4,3,6,2,4,1,2,2,2,3,2,2
17,2,4,4,4,8,5,5,3,5,10,8,7,3,8,8,5,1,0,0,4,1,2,4,5
18,8,2,4,5,5,6,7,3,9,7,9,14,9,3,4,3,1,2,0,1,2,5,6,6
19,6,9,8,7,6,7,16,6,8,9,4,4,2,6,1,5,2,1,1,0,1,1,3,0
20,4,6,4,8,5,4,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
