mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,8,11,11,13,7,7,10,14,14,8,6,10,10,5,0,4,2,1,4,7,7,7,18,8
02,20,7,11,6,12,11,15,10,23,9,6,5,5,11,5,2,1,1,1,9,13,12,21,18
03,24,16,7,20,11,7,8,15,16,8,8,10,8,6,4,1,8,2,2,7,11,10,9,14
04,18,18,12,14,9,6,12,12,12,11,6,9,8,3,4,2,1,3,8,3,13,11,12,22
05,20,21,30,19,20,14,26,8,24,10,21,14,10,4,2,5,2,1,4,8,2,10,13,11
06,12,12,16,16,14,9,11,8,12,8,7,7,6,5,0,4,2,5,1,8,8,9,14,9
07,13,11,16,9,6,8,6,9,17,12,10,3,4,6,6,4,2,2,2,6,5,16,17,16
08,17,14,20,15,10,7,8,9,21,12,6,11,5,3,6,0,3,8,4,2,11,10,12,8
09,10,16,11,13,12,9,6,7,6,9,8,9,7,5,2,2,3,8,7,9,10,9,17,8
10,8,14,11,7,14,14,8,11,6,7,6,6,5,2,4,6,4,3,8,5,9,9,14,7
11,7,20,8,12,9,10,8,14,13,11,5,5,2,6,2,2,4,5,5,3,5,10,13,20
12,9,15,15,15,12,16,10,11,14,9,6,10,2,5,1,3,5,4,1,8,6,10,6,19
13,12,11,9,9,9,9,11,13,6,13,14,10,4,4,5,4,3,4,4,5,4,19,11,20
14,12,17,13,18,13,12,11,12,22,14,9,7,3,4,7,7,3,4,5,5,11,12,20,13
15,23,15,13,28,14,14,8,11,15,8,9,7,6,4,3,3,5,2,6,3,7,14,15,15
16,14,17,20,26,13,9,16,22,14,22,7,11,10,11,2,4,5,2,2,8,11,11,11,15
17,18,17,16,24,10,14,12,11,15,14,13,10,6,3,2,4,3,3,3,3,14,7,11,14
18,6,14,17,10,16,10,16,12,15,17,15,9,8,4,9,12,5,7,2,7,6,14,9,10
19,15,12,16,9,16,15,10,17,17,11,12,8,9,3,6,5,4,3,5,5,10,13,13,9
20,11,23,12,20,14,17,9,20,22,15,18,12,10,4,5,3,3,5,7,8,8,17,11,16
21,17,18,24,16,15,17,11,16,25,22,14,10,2,5,3,3,1,6,2,2,12,13,17,19
22,18,18,18,17,12,14,13,16,17,12,12,8,8,6,4,4,6,4,3,6,8,11,18,17
23,12,21,22,6,5,12,20,21,17,24,15,11,9,6,4,4,4,4,9,7,9,13,13,18
24,22,32,13,20,21,19,17,18,8,12,12,10,5,4,4,8,8,3,7,2,14,11,16,19
25,20,18,16,16,19,15,21,28,19,8,12,11,10,10,3,5,2,6,8,10,10,8,12,13
26,25,25,17,20,9,13,8,15,17,14,10,13,7,9,6,5,3,4,6,6,5,9,13,23
27,11,14,8,21,17,21,11,20,16,10,6,12,14,5,6,6,2,2,5,8,7,11,13,21
28,20,17,11,24,12,17,13,11,15,12,10,5,5,9,6,4,6,7,3,11,10,10,17,15
29,11,17,18,26,17,8,8,14,20,13,13,7,3,7,11,8,5,3,7,9,12,13,10,20
30,16,22,21,18,12,9,16,22,11,9,12,10,9,3,3,1,6,4,3,8,9,12,17,22
31,16,11,16,17,19,13,17,23,16,17,17,13,7,3,12,7,6,4,2,5,-1,-1,-1,-1,-1
