apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,97,103,77
03,87,88,80,80,132,170,154,183,236,226,241,225,187,213,253,208,237,236,229,221,225,166,129,113
04,121,76,80,79,100,103,143,195,192,204,192,168,185,194,219,195,189,210,174,149,169,130,107,81
05,61,66,49,58,76,107,171,196,137,180,168,166,164,164,144,134,75,157,117,164,118,79,55,60
06,42,49,77,74,97,142,176,198,192,156,149,121,124,158,151,136,123,134,161,136,124,104,73,-1,-1
07,121,47,39,41,58,89,72,113,150,151,137,121,116,117,127,108,116,148,151,149,122,100,86,59
08,76,63,71,90,79,105,148,169,152,150,155,140,175,178,179,215,230,235,207,178,150,152,110,110
09,80,50,44,52,67,95,92,127,145,157,218,200,177,191,177,161,169,202,173,173,170,123,96,74
10,68,-1,59,97,94,146,180,148,115,102,108,142,110,123,156,143,179,176,183,188,173,133,93,81
11,46,52,48,91,85,75,89,99,133,119,125,125,137,137,204,197,167,115,113,117,108,69,64,80
12,95,50,50,52,59,76,118,122,137,125,125,136,138,125,131,128,121,198,210,154,157,142,133,89
13,50,71,53,75,71,105,116,122,172,160,130,143,139,181,197,194,219,165,185,158,161,184,102,93
14,64,52,42,53,59,103,103,80,89,120,137,119,132,170,153,130,137,210,177,139,122,89,73,58
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61
16,59,48,49,71,65,86,74,59,92,61,85,100,95,100,96,105,123,122,159,84,76,61,37,39
17,32,21,38,53,65,76,110,108,112,135,136,116,132,139,166,147,163,166,137,115,103,73,75,55
18,45,28,37,33,41,52,76,76,90,92,101,84,91,95,112,109,142,141,110,150,99,100,83,53
19,25,42,27,50,57,92,121,170,152,177,157,129,104,90,88,95,76,91,51,68,110,97,69,50
20,39,31,38,43,68,88,117,123,142,139,111,127,125,160,143,100,96,87,98,96,81,63,64,50
21,42,41,54,63,74,116,118,144,164,161,174,168,165,183,185,155,160,142,134,106,116,83,95,48
22,53,44,61,40,78,123,132,157,157,138,185,157,174,223,184,196,161,167,161,146,115,84,90,53
23,59,75,78,70,75,102,133,143,103,120,153,186,182,187,205,173,181,181,167,140,130,148,91,70
24,53,44,54,71,81,128,144,156,157,158,170,172,161,191,181,177,180,168,202,179,152,145,96,61
25,39,37,31,44,62,68,95,102,88,82,106,113,103,114,126,83,112,140,147,96,104,79,101,54
26,33,36,43,52,44,68,91,85,122,116,125,113,102,123,97,145,141,108,133,134,121,99,84,87
27,73,75,75,111,132,169,138,180,200,172,176,172,181,192,229,202,217,203,195,132,126,125,112,107
28,69,36,76,75,91,111,117,147,128,146,157,157,163,198,214,169,198,206,132,111,121,136,99,98
29,63,74,61,67,70,98,129,92,108,110,112,124,133,150,209,176,239,222,222,168,166,136,92,81
30,54,43,72,79,80,119,121,141,149,133,132,170,182,202,236,180,244,203,166,195,193,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
