Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,17,7,5,17,7,2,2,3,7,2,8,8,8,18,26,11,10,16,17,16,11,11,2,9
2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,2,7,11,10,18,12,14,11,18,25,19,7,5,2
3,15,14,3,8,9,9,5,2,1,1,4,3,11,10,4,18,14,20,22,22,26,15,18,10
4,7,3,-1,-1,-1,-1,-1,-1,1,2,2,1,8,7,15,-1,-1,-1,-1,-1,12,11,11,7
5,2,11,3,1,2,2,2,2,-1,-1,-1,4,5,6,7,12,14,15,21,9,4,8,2,5
6,8,11,9,6,3,1,2,3,2,1,6,6,15,17,20,13,12,8,14,16,12,11,13,5
7,12,8,11,8,4,6,2,2,1,-1,1,1,6,11,9,16,27,27,22,18,14,20,21,10
8,3,9,3,4,4,3,3,3,-1,3,-1,4,9,12,19,6,11,15,11,16,17,17,21,11
9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,8,8,4,8,13,14,14,19,16,24,22,6
10,-1,-1,-1,8,5,-1,-1,-1,-1,-1,2,3,5,5,9,7,20,13,13,15,17,19,14,-1,-1
11,5,-1,4,4,5,-1,-1,-1,-1,-1,3,3,4,6,7,13,12,10,16,17,16,6,-1,-1,-1
12,-1,-1,-1,4,-1,-1,-1,-1,-1,2,-1,3,5,5,9,12,22,14,23,30,15,21,13,-1,-1
13,3,4,-1,-1,-1,-1,-1,-1,-1,-1,1,3,5,9,9,10,20,14,15,24,19,18,15,15
14,6,12,5,4,5,6,2,-1,2,-1,2,2,4,15,15,12,12,27,20,19,18,18,24,8
15,13,14,5,6,5,3,2,3,4,2,1,5,8,4,7,15,32,23,14,9,19,20,12,11
16,4,12,11,9,7,9,-1,3,2,5,5,5,9,12,19,9,8,12,20,11,18,21,12,8
17,15,7,4,4,-1,-1,6,1,2,4,3,9,7,9,10,15,16,20,16,23,14,13,7,16
18,11,3,8,5,6,3,5,2,3,1,1,7,6,8,6,21,16,22,22,15,23,10,15,8
19,8,10,7,7,2,4,2,-1,2,-1,3,2,12,5,13,10,9,17,14,16,22,24,17,12
20,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,10,11,9,14,20,18,26,18,21,17,5
21,13,2,10,8,2,9,1,4,3,4,2,8,8,8,4,8,19,22,28,17,16,24,13,15
22,12,11,8,4,9,4,-1,-1,-1,2,3,4,9,11,9,15,21,24,13,13,22,16,13,15
23,12,6,10,8,4,7,3,4,1,1,-1,3,7,6,6,9,11,10,14,7,14,17,11,7
24,8,8,8,3,3,3,2,1,-1,1,3,3,8,1,14,19,14,28,23,16,11,12,4,11
25,14,7,4,7,-1,-1,-1,-1,-1,-1,3,2,2,7,7,11,14,16,21,13,18,10,13,15
26,-1,8,7,13,3,-1,-1,-1,-1,-1,-1,3,6,5,9,16,12,17,16,10,14,19,18,13
27,12,6,6,2,5,7,2,4,1,-1,1,3,4,7,4,9,14,18,13,13,10,13,13,8
28,2,4,-1,-1,-1,-1,-1,-1,-1,-1,2,4,6,10,12,5,6,13,11,-1,12,6,10,5
29,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,11,7,11,20,12,14,15,21,17,10,10
30,10,1,4,3,5,5,3,1,4,1,4,5,3,14,19,12,16,12,21,15,24,15,9,10
31,11,5,10,10,7,4,3,4,1,2,2,2,3,9,6,18,14,9,13,16,15,10,6,12
