mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,115,139,126,144,116,115,102,124,152,169,131,120,97,90,82,63,46,67,72,73,75,71,113,117,""
02,131,149,138,127,122,102,102,107,112,167,213,196,156,178,171,95,69,90,83,69,66,102,193,319,""
03,92,108,124,100,102,95,94,105,92,109,99,112,78,78,55,67,54,55,41,55,50,50,60,81,""
04,77,91,100,82,87,87,95,93,97,76,91,79,85,70,60,54,44,43,44,51,63,80,63,63,""
05,104,115,115,106,100,93,98,91,81,107,92,97,79,86,74,66,50,46,63,58,64,59,56,73,""
06,75,97,102,102,90,102,80,72,102,113,90,120,106,85,84,78,58,53,59,57,61,56,62,78,""
07,92,113,117,114,105,94,96,94,108,117,116,104,82,79,67,59,45,32,39,59,66,44,70,81,""
08,103,126,108,103,105,96,96,106,93,96,92,74,80,88,59,65,57,47,49,58,73,59,59,71,""
09,89,111,115,101,91,84,78,86,86,68,76,82,92,60,50,51,69,59,36,47,54,55,62,55,""
10,59,80,76,93,96,80,91,98,102,89,92,114,71,59,63,60,52,52,54,56,56,52,58,63,""
11,75,82,97,97,70,63,80,96,90,75,100,90,94,71,69,40,51,49,47,46,48,47,50,66,""
12,78,80,105,88,69,80,76,87,87,96,114,115,88,92,77,75,73,48,49,46,55,61,50,66,""
13,90,88,103,98,92,86,89,94,118,123,110,130,99,75,80,70,47,49,70,47,47,66,74,79,""
14,93,102,104,106,97,91,78,100,99,120,140,123,122,99,70,63,60,52,61,59,75,68,77,88,""
15,106,112,128,135,107,96,94,118,96,103,107,108,94,79,83,78,69,55,46,56,50,63,74,74,""
16,91,107,113,122,114,102,102,84,98,97,79,82,68,74,54,55,43,53,46,51,53,58,90,66,""
17,84,111,112,122,81,81,106,91,106,123,129,105,94,103,78,61,60,50,71,248,60,53,74,109,""
18,121,132,139,215,97,94,115,132,118,120,111,137,132,109,93,68,50,64,47,57,61,49,58,90,""
19,102,114,143,111,105,122,117,125,123,141,145,123,125,109,72,64,50,67,58,70,68,58,79,77,""
20,122,112,160,104,123,93,105,100,110,99,114,113,119,89,96,112,94,62,76,63,59,68,88,114,""
21,114,122,123,106,124,102,98,99,34,0,71,86,88,108,85,64,58,48,67,68,65,78,105,113,""
22,121,138,109,119,91,93,99,103,105,110,107,100,91,85,58,71,40,51,44,55,49,72,74,98,""
23,102,123,136,113,124,107,90,106,101,106,95,94,76,77,78,52,54,41,51,48,55,47,54,76,""
24,77,109,94,109,114,97,80,87,117,98,124,110,99,102,83,75,77,65,63,59,90,82,95,118,""
25,130,126,124,114,90,108,105,112,83,114,77,92,83,78,59,56,58,44,54,56,47,42,44,71,""
26,89,104,92,87,98,89,77,108,106,105,99,88,84,100,72,73,51,35,52,56,53,56,61,82,""
27,82,84,91,98,82,94,90,98,113,122,116,125,118,100,91,82,54,43,63,51,41,69,79,85,""
28,118,153,131,123,91,113,93,172,125,167,178,166,112,142,98,68,87,68,65,83,102,101,94,117,""
29,170,166,124,120,126,127,113,124,145,102,108,95,101,108,73,56,51,64,59,63,60,54,63,99,""
30,125,112,115,101,98,116,111,110,99,92,105,110,89,101,85,62,68,55,58,49,58,58,58,60,""
31,81,93,101,81,83,80,90,98,92,102,131,110,96,86,67,60,60,51,49,41,51,77,70,95,""
