apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,4,6,6,3,8,7,3,2,6,4,6,9,21,12,-1,18,32,32,28,29,32,34,12,13
02,12,5,-1,-1,5,7,4,15,3,4,7,7,17,16,-1,-1,-1,28,30,36,31,30,26,6
03,25,22,16,15,22,22,11,6,6,9,5,10,23,25,-1,34,21,35,53,29,28,40,33,28
04,-1,8,7,8,-1,4,1,3,4,6,10,10,21,25,18,13,14,18,32,32,23,32,14,-1,-1
05,8,4,1,4,5,14,8,5,6,11,6,5,23,37,33,19,31,38,37,41,29,36,25,7
06,16,7,5,7,6,3,2,3,9,11,12,18,18,22,27,-1,42,44,25,32,39,30,29,30
07,19,5,-1,7,12,16,17,-1,-1,-1,-1,19,23,27,27,24,38,33,43,40,42,40,27,20
08,30,16,5,11,15,21,7,-1,-1,14,12,20,22,25,38,32,24,39,45,36,47,58,47,28
09,26,15,8,6,10,6,4,6,12,22,13,21,18,24,45,34,23,31,30,31,40,44,39,46
10,20,13,-1,-1,6,7,4,10,6,9,8,11,32,20,35,40,44,38,34,56,37,47,48,25
11,15,17,12,9,17,19,4,1,2,12,7,11,25,35,39,45,36,40,31,45,48,27,22,15
12,37,32,31,30,27,23,21,4,6,11,9,8,12,27,33,33,43,51,41,45,40,47,54,36
13,7,-1,12,3,5,-1,-1,-1,-1,11,3,10,15,21,16,32,26,26,9,16,25,22,13,14
14,-1,-1,6,6,-1,-1,2,-1,-1,7,8,15,21,38,46,31,38,37,27,45,38,39,8,16
15,4,-1,2,-1,3,4,-1,-1,-1,3,5,8,25,20,40,28,27,42,28,34,26,51,26,8
16,-1,-1,4,3,2,1,3,-1,-1,5,17,18,18,-1,-1,29,28,30,32,30,23,31,14,10
17,9,3,5,3,9,5,3,5,-1,12,10,16,19,26,48,40,36,24,41,39,35,46,42,37
18,31,19,10,13,17,5,4,2,5,7,5,18,23,31,32,-1,36,49,55,40,39,49,54,39
19,26,9,5,7,6,-1,1,1,6,-1,-1,3,7,10,16,36,34,40,48,40,48,42,43,33
20,7,11,4,7,9,6,7,8,-1,3,9,16,20,38,43,7,4,4,10,13,20,30,18,26
21,38,31,27,34,26,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,36,41,48,35,50,35,49,40,46
22,18,10,-1,-1,-1,-1,4,-1,-1,-1,9,11,10,22,43,-1,46,45,56,59,57,63,69,-1,-1
23,8,5,5,5,5,3,-1,-1,3,6,13,18,17,27,33,44,44,57,36,58,47,47,13,15
24,32,17,24,43,-1,-1,-1,-1,-1,-1,-1,6,14,34,38,38,44,43,40,36,42,40,48,33
25,27,28,25,31,31,20,9,10,2,1,7,7,12,10,41,47,47,37,40,43,39,40,30,22
26,7,6,4,12,16,10,10,4,5,-1,-1,19,14,25,-1,40,43,35,45,42,32,44,30,20
27,10,-1,4,-1,-1,8,5,3,3,7,9,7,17,17,24,-1,26,33,44,42,40,39,38,14
28,8,2,3,5,6,10,8,7,9,9,5,6,15,19,29,36,43,47,38,44,50,41,36,10
29,27,22,41,40,28,22,31,13,8,9,3,9,10,26,26,41,36,43,48,34,58,38,45,39
30,39,38,28,26,20,8,-1,-1,-1,-1,14,11,-1,-1,-1,32,39,39,53,38,47,52,51,36
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
