nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,78,78,87,64,50,48,67,59,37,37,41,31,20,15,7,8,7,9,10,24,28,38,51,49,""
02,69,52,64,69,64,66,64,49,39,39,29,42,29,24,20,6,5,11,14,18,28,42,47,47,""
03,59,68,90,69,58,65,46,63,57,38,44,34,27,14,11,12,5,8,8,16,35,35,39,61,""
04,102,75,73,77,61,53,49,46,41,50,35,25,20,0,4,9,5,9,15,31,26,42,47,61,""
05,72,65,46,43,58,60,66,80,51,48,52,44,42,19,12,11,9,10,16,14,26,47,50,60,""
06,69,79,93,68,75,67,73,51,59,58,37,34,42,18,13,13,19,3,9,22,30,51,64,80,""
07,70,88,73,79,63,54,62,2,0,6,17,4,12,13,14,10,4,9,18,18,35,43,54,39,""
08,28,3,9,93,72,81,44,58,37,62,53,40,19,21,10,10,12,17,11,26,39,35,54,85,""
09,78,83,59,72,59,56,58,66,35,38,39,30,30,19,18,4,10,8,11,23,23,56,56,62,""
10,87,64,55,83,72,68,54,51,67,26,45,35,27,6,13,4,8,9,12,20,36,59,43,70,""
11,76,73,83,72,81,83,69,54,47,35,45,34,36,15,11,10,10,8,18,21,37,59,50,86,""
12,86,69,83,102,88,74,95,77,62,57,35,19,24,14,11,6,6,13,12,20,28,45,54,59,""
13,62,70,66,67,55,69,79,79,50,38,34,41,26,14,17,2,5,8,12,11,31,41,46,58,""
14,73,60,71,89,47,69,63,55,35,40,31,31,14,12,18,16,6,20,9,18,36,40,50,57,""
15,85,90,69,79,58,51,39,63,49,24,27,23,17,16,14,5,9,8,7,20,36,39,67,55,""
16,70,100,86,84,64,66,58,54,39,49,39,34,32,15,14,9,7,9,15,20,29,38,40,55,""
17,56,70,89,71,77,77,65,54,51,34,34,35,30,13,15,11,10,10,13,16,24,36,43,50,""
18,68,61,78,92,62,68,51,41,39,20,12,16,22,17,5,7,3,8,8,19,32,43,41,44,""
19,46,53,81,101,71,78,73,62,45,32,25,23,19,13,9,9,5,11,16,11,17,33,38,53,""
20,66,57,66,65,56,76,70,78,38,41,28,18,10,8,7,3,2,6,11,18,26,22,36,36,""
21,54,57,58,58,58,57,53,44,29,30,17,17,12,15,11,7,5,10,7,17,22,27,42,42,""
22,36,55,82,72,65,54,54,47,37,37,26,22,13,10,10,6,2,4,5,6,17,24,24,30,""
23,46,62,67,52,50,37,39,35,21,18,21,9,15,12,13,7,3,4,2,12,21,18,26,17,""
24,40,36,43,49,47,51,47,51,24,31,22,22,15,13,11,9,4,7,5,10,18,19,30,25,""
25,49,34,54,47,46,59,39,57,32,26,31,16,15,10,8,1,3,4,9,20,23,24,26,31,""
26,38,47,56,52,56,55,62,61,36,23,21,7,14,9,10,4,2,6,8,19,13,16,20,26,""
27,26,44,68,55,43,44,53,39,29,24,17,18,13,5,4,3,4,1,4,9,18,22,22,18,""
28,45,37,38,55,50,45,33,36,24,21,21,15,11,10,5,3,4,6,6,4,27,20,26,34,""
29,45,59,70,47,48,47,48,53,31,25,18,10,16,6,4,4,3,4,3,7,14,25,33,30,""
30,27,48,62,60,65,58,39,25,23,28,26,41,9,12,7,3,28,1,12,11,17,19,23,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
