sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,246,239,250,241,256,225,209,150,128,197,167,239,-1,-1,148,89,78,74,59,63,85,85,104,145
02,203,232,198,189,170,224,231,191,154,154,-1,109,188,152,164,75,65,60,48,54,76,107,128,171
03,182,179,217,220,177,248,191,194,100,131,140,102,190,131,81,87,59,52,78,49,107,111,158,142
04,214,216,233,246,237,241,252,156,161,146,192,158,172,156,106,72,78,54,78,54,74,76,79,119
05,156,160,187,176,178,230,221,141,181,145,146,163,141,120,100,89,77,51,71,53,75,133,162,159
06,178,208,218,211,227,270,247,160,199,128,214,224,85,-1,-1,58,69,44,48,69,76,104,129,153
07,165,210,218,241,245,211,201,121,174,178,193,194,165,123,102,65,62,-1,67,61,63,77,108,44
08,104,138,148,153,171,179,164,162,-1,23,136,83,106,172,131,67,85,62,64,-1,66,134,156,-1,-1
09,167,248,260,255,217,226,218,161,210,202,224,135,114,144,156,133,96,67,93,84,117,146,186,221
10,228,229,273,261,249,252,230,220,148,203,198,227,111,165,43,117,60,53,55,96,132,147,174,177
11,184,198,230,232,242,268,244,225,170,169,182,207,188,149,130,104,72,61,84,48,94,146,134,139
12,133,191,214,197,196,227,217,185,172,90,232,125,190,151,98,79,64,73,96,92,136,184,162,190
13,240,258,275,241,234,275,238,215,257,250,244,153,129,130,99,93,68,50,90,77,68,119,104,120
14,114,132,195,169,212,-1,-1,-1,43,136,133,97,129,74,90,87,50,81,60,69,104,145,119,163
15,198,239,248,239,258,261,268,164,224,168,183,180,144,141,153,110,58,71,70,40,47,-1,55,130
16,162,166,230,217,206,191,154,188,145,135,131,100,131,115,92,81,70,83,65,36,40,123,113,122
17,142,129,132,184,188,182,156,144,149,129,212,-1,182,110,100,94,54,60,74,89,92,10,122,152
18,192,201,222,213,207,220,221,144,170,142,119,131,133,128,125,59,60,36,71,64,62,119,113,141
19,173,180,151,203,178,186,194,93,176,129,155,117,139,136,100,100,64,39,76,36,78,99,-1,-1,-1
20,-1,207,245,210,198,175,191,174,-1,-1,-1,10,84,141,106,66,82,53,66,51,77,58,121,122
21,137,123,186,213,171,153,139,186,196,171,195,208,162,112,69,64,42,45,66,65,64,64,85,116
22,162,118,140,244,188,223,198,127,143,196,177,170,176,151,142,44,40,39,44,48,53,67,89,95
23,132,181,193,166,170,186,168,152,98,95,160,172,145,154,107,68,44,49,24,43,50,49,83,122
24,186,180,125,150,113,146,121,153,88,-1,11,73,70,122,126,90,50,50,54,45,59,89,88,100
25,119,114,132,108,91,151,82,106,51,118,63,65,88,72,52,30,44,37,47,22,50,76,65,91
26,87,94,96,137,146,110,130,100,111,150,157,152,55,99,31,39,40,43,37,45,74,91,119,103
27,147,188,177,164,139,207,180,148,161,137,133,125,74,69,45,47,-1,-1,-1,27,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
