Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,9,22,8,28,23,15,14,19,7,11,10,6,5,1,1,4,2,6,2,1,2,-1,-1
2,-1,-1,10,8,25,20,30,15,16,8,12,14,6,3,3,-1,2,3,3,5,6,4,2,-1,-1
3,11,10,18,17,21,16,12,22,16,11,17,10,10,6,3,1,3,1,3,3,6,3,-1,-1,-1
4,-1,7,11,27,15,51,21,27,18,12,6,6,2,8,3,10,4,1,1,1,3,5,1,-1,-1
5,-1,1,-1,6,14,39,35,17,47,40,15,28,23,4,2,4,-1,-1,1,5,6,3,3,-1,-1
6,-1,-1,12,9,14,17,17,31,24,20,11,15,2,5,11,1,-1,1,2,-1,3,12,4,1
7,-1,2,13,14,24,30,26,23,50,30,47,7,1,17,3,2,3,3,2,3,25,6,6,6
8,-1,-1,7,18,18,9,20,12,10,26,64,22,6,9,2,11,3,2,2,1,8,3,11,-1,-1
9,-1,1,9,20,19,15,10,8,12,10,5,2,3,4,2,9,1,5,23,2,6,9,1,-1,-1
10,-1,-1,4,19,38,17,24,11,6,2,7,3,3,3,1,2,-1,1,3,3,8,5,-1,-1,-1
11,-1,2,6,7,3,17,1,3,23,5,9,4,2,3,3,1,7,1,1,3,3,8,5,1
12,-1,1,-1,3,15,11,22,10,9,12,5,12,23,5,5,2,4,2,3,36,10,23,9,-1,-1
13,2,1,10,26,23,24,20,14,9,10,10,9,4,1,1,2,7,1,3,3,10,11,2,-1,-1
14,-1,-1,2,13,18,28,16,10,6,6,9,2,3,5,1,-1,-1,4,3,2,5,3,2,-1,-1
15,-1,-1,8,11,33,22,29,11,3,5,3,2,1,3,1,1,1,-1,2,-1,-1,-1,7,-1,-1
16,3,-1,8,11,13,23,5,9,4,5,1,4,4,2,-1,1,-1,1,1,20,10,4,1,1
17,-1,-1,5,16,15,15,10,3,5,4,27,8,3,7,1,-1,1,1,4,2,4,9,11,-1,-1
18,-1,3,11,8,13,8,6,9,15,12,9,6,4,2,3,-1,1,1,2,1,3,3,1,-1,-1
19,-1,-1,-1,10,7,8,17,13,7,6,24,7,3,1,3,1,4,2,2,4,2,2,2,1
20,-1,-1,9,16,32,17,34,11,30,6,12,4,1,1,2,1,16,1,4,3,5,1,3,3
21,7,6,22,18,21,17,21,11,8,9,1,-1,8,2,-1,-1,1,1,3,4,5,8,1,-1,-1
22,-1,1,14,15,9,13,17,15,11,8,3,4,3,1,-1,3,1,1,3,4,5,1,1,-1,-1
23,-1,-1,7,14,25,15,38,5,4,5,6,2,4,1,1,1,2,2,2,8,8,8,2,-1,-1
24,-1,1,5,19,13,8,25,9,19,3,2,2,1,7,-1,2,2,-1,1,1,4,3,1,-1,-1
25,-1,-1,7,9,7,36,13,11,6,9,7,3,2,1,4,1,1,-1,5,5,3,8,2,-1,-1
26,-1,-1,-1,3,6,15,9,12,5,4,32,5,2,7,1,1,1,1,5,2,5,8,4,1
27,-1,-1,-1,4,14,9,7,1,9,7,5,2,10,1,1,1,8,2,1,4,4,5,3,-1,-1
28,-1,-1,-1,3,7,24,14,50,7,3,6,-1,1,-1,-1,1,-1,-1,1,4,2,-1,-1,1
29,-1,-1,-1,4,4,12,13,7,6,3,-1,1,2,2,4,2,8,1,1,1,2,3,2,1
30,-1,-1,-1,5,5,7,7,3,2,27,5,1,4,2,3,-1,1,1,3,-1,-1,-1,1,1
31,-1,-1,-1,4,11,5,9,13,7,2,4,3,12,6,1,1,-1,4,6,5,7,4,7,-1,-1
