Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,65,47,33,22,18,9,10,7,3,13,13,24,22,27,46,42,29,34,35,41,44,36,56,48
2,49,40,46,26,15,10,10,-1,-1,-1,16,27,33,30,52,37,40,49,42,40,51,51,45,49
3,50,45,23,22,14,10,12,9,12,14,23,14,-1,28,21,40,34,46,39,49,52,64,60,53
4,-1,41,-1,12,13,18,13,5,11,14,21,27,32,39,43,33,43,44,53,51,48,52,58,45
5,48,40,33,24,19,20,12,12,-1,-1,-1,-1,-1,27,32,40,43,58,52,40,58,55,70,59
6,59,47,28,16,10,12,13,14,8,9,20,17,25,29,48,37,39,40,42,42,44,55,46,70
7,66,51,28,22,15,13,11,8,6,-1,8,25,38,37,48,49,55,64,41,55,65,51,64,75
8,57,39,36,20,19,14,16,14,13,5,17,23,44,44,52,39,45,50,50,50,50,57,49,58
9,41,53,20,30,16,8,9,6,3,4,6,17,25,29,42,43,45,39,58,48,38,54,53,50
10,47,49,-1,-1,19,16,14,14,-1,15,19,19,29,43,47,46,33,27,31,39,49,45,42,45
11,-1,43,48,17,26,18,8,9,7,8,14,23,20,25,36,41,37,35,30,44,37,54,43,68
12,58,43,31,16,18,24,15,10,6,12,16,22,29,53,42,31,17,19,40,48,34,65,44,47
13,49,47,29,19,14,15,7,8,7,8,14,15,20,36,42,51,37,36,47,49,43,51,53,57
14,69,-1,20,13,14,12,11,7,11,8,17,26,26,49,38,45,35,47,32,55,38,50,55,51
15,82,58,-1,22,20,15,4,10,10,10,13,21,34,42,53,34,35,48,51,41,43,45,46,62
16,-1,-1,35,18,9,8,6,12,14,6,19,16,48,35,32,40,41,28,37,48,51,43,60,65
17,-1,-1,40,20,22,6,9,13,11,14,8,24,35,38,44,36,28,32,42,39,43,39,54,66
18,77,47,26,20,16,17,13,3,8,11,9,28,29,46,34,41,35,35,34,36,53,56,56,69
19,-1,48,28,12,4,13,6,4,7,14,17,17,38,47,30,40,53,38,48,47,52,52,67,63
20,61,53,23,24,17,10,8,12,4,5,9,22,15,20,24,33,35,21,36,34,50,49,43,55
21,68,49,37,23,17,18,4,7,7,8,12,21,27,48,48,27,37,49,50,25,44,56,57,61
22,57,41,26,19,9,-1,-1,6,7,12,13,21,28,44,45,35,46,43,46,38,33,51,62,62
23,82,52,29,20,16,10,7,6,10,8,7,19,24,40,49,36,33,43,38,48,54,42,63,51
24,59,39,12,-1,-1,-1,14,11,7,9,11,21,20,34,40,45,44,40,52,60,49,42,52,65
25,47,41,27,19,11,14,10,6,14,11,7,20,26,34,42,40,35,34,27,51,62,54,-1,-1,-1
26,51,38,38,13,4,9,6,13,9,8,14,23,25,29,36,44,43,33,31,59,43,51,59,76
27,51,42,27,17,18,13,14,6,6,11,10,17,34,29,41,30,49,34,35,39,41,55,49,58
28,66,43,21,12,18,19,7,7,9,7,16,21,30,26,46,35,45,45,37,44,45,35,45,69
29,47,29,19,19,16,13,8,7,5,8,16,22,45,41,43,59,48,36,42,32,41,42,45,56
30,43,39,23,23,16,15,7,5,8,8,11,20,18,42,43,47,39,36,41,41,45,48,43,60
31,51,48,26,19,18,16,10,9,9,7,-1,7,3,4,22,35,35,41,31,48,43,59,47,59
