Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,31,28,27,34,27,22,15,14,8,15,10,9,-1,14,21,32,48,50,48,34,37,48,33,31
2,31,25,13,12,-1,17,12,5,5,2,2,4,8,11,12,32,52,60,48,35,38,32,22,19
3,22,34,28,18,15,13,6,7,4,4,1,3,10,10,19,29,37,42,41,34,25,28,39,36
4,32,12,-1,-1,-1,-1,-1,6,8,5,8,7,8,17,19,21,38,33,30,35,28,36,39,17
5,23,17,15,14,16,11,10,3,2,6,5,2,5,5,13,11,26,32,36,31,30,31,32,34
6,17,19,19,17,12,12,8,-1,2,6,7,4,-1,-1,-1,9,11,31,30,21,35,22,-1,-1,-1
7,16,12,13,-1,-1,9,14,8,8,7,8,4,-1,-1,21,-1,16,20,18,30,26,18,18,16
8,24,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,24,34,38,35,35,24,30,34,20
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,9,10,-1,-1,-1,-1,-1,-1,-1,-1,44
10,25,-1,-1,-1,-1,-1,-1,13,-1,-1,3,9,8,8,11,17,35,32,36,37,21,-1,17,21
11,29,30,29,28,18,16,12,8,-1,10,4,6,4,7,3,28,37,31,31,46,47,-1,40,39
12,-1,-1,16,8,-1,-1,8,-1,-1,-1,-1,6,9,15,11,21,26,30,23,22,25,17,24,23
13,18,18,4,-1,-1,-1,-1,-1,-1,-1,5,4,8,8,16,15,22,28,25,34,29,17,25,27
14,10,8,8,8,5,6,8,6,2,3,5,6,4,11,9,18,18,38,32,32,26,30,18,17
15,27,15,12,17,16,-1,-1,-1,-1,6,3,5,7,7,14,27,25,28,27,38,26,24,26,27
16,21,16,23,22,-1,-1,-1,-1,-1,3,4,8,4,6,13,20,43,23,19,25,28,26,28,27
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,9,9,20,11,34,27,28,40,-1,-1,-1,-1,-1
18,32,26,24,16,12,12,6,8,4,2,2,7,9,-1,15,21,24,36,30,30,31,25,26,17
19,13,10,11,9,-1,6,6,2,6,4,8,2,10,12,15,20,24,24,25,23,26,16,19,14
20,20,20,16,7,10,7,6,7,2,-1,-1,-1,-1,-1,-1,15,20,32,46,36,28,21,17,13
21,26,28,17,14,14,6,6,4,6,2,2,2,6,8,13,-1,-1,-1,-1,-1,25,-1,-1,28
22,31,21,27,20,15,14,13,10,5,2,1,5,14,7,16,13,27,23,29,31,24,38,24,24
23,21,18,12,18,19,3,10,11,6,2,-1,-1,-1,-1,-1,12,18,17,10,16,17,17,18,16
24,30,26,23,26,17,8,16,7,11,8,9,4,14,17,14,-1,-1,-1,-1,-1,34,29,23,24
25,25,29,17,18,14,16,17,24,-1,-1,-1,11,10,12,15,21,28,36,24,27,35,27,53,38
26,16,-1,11,-1,-1,-1,-1,-1,-1,-1,14,5,8,13,12,27,34,35,37,38,38,30,27,16
27,-1,14,14,9,2,-1,3,4,6,3,6,2,10,6,15,13,20,43,34,38,34,19,21,25
28,18,14,10,-1,10,6,7,6,-1,3,6,4,9,6,5,23,26,31,44,34,29,26,31,34
29,20,22,29,12,20,11,-1,-1,5,3,2,3,10,5,14,12,32,30,23,26,35,23,22,24
30,37,21,19,16,16,8,7,3,2,1,7,2,8,7,11,12,31,23,23,31,29,20,31,19
31,7,7,13,4,8,8,-1,-1,-1,2,6,7,8,6,16,13,22,20,21,18,22,20,23,17
