Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,88,100,98,62,77,47,54,64,67,65,87,43,32,55,30,72,62,57,57,84,73,87,114,120
2,80,94,82,48,69,57,69,37,17,9,38,85,67,50,44,69,68,103,93,67,71,84,87,110
3,75,81,81,70,65,78,49,74,70,76,36,55,47,55,41,56,49,89,91,88,63,80,54,65
4,99,95,101,90,93,88,74,50,78,80,65,43,61,93,67,77,63,78,73,77,82,86,97,62
5,82,68,72,102,55,59,78,53,78,61,27,91,75,80,74,57,63,104,92,81,48,82,75,79
6,88,63,136,66,74,35,57,67,68,63,72,99,64,43,76,95,88,83,62,88,83,74,101,93
7,82,36,92,69,69,45,76,57,74,23,63,97,85,88,78,96,73,95,63,58,57,28,87,64
8,69,94,90,86,56,34,46,42,81,43,72,94,65,92,76,71,77,41,70,65,82,85,77,81
9,88,81,111,83,87,56,56,65,50,80,75,93,74,79,51,50,58,82,97,89,90,73,93,88
10,64,88,81,78,49,32,64,67,65,57,39,65,36,39,87,71,74,70,76,86,79,62,70,59
11,74,107,80,67,93,42,32,54,39,70,80,40,79,80,72,42,89,65,51,85,78,43,49,62
12,94,111,78,78,61,68,57,85,56,65,84,88,94,91,88,82,89,105,85,81,69,70,66,98
13,52,106,106,97,35,33,60,44,41,65,93,76,68,88,52,49,59,54,60,71,50,70,57,59
14,79,65,78,69,51,71,64,85,46,75,105,85,72,92,89,80,110,99,70,77,70,85,85,62
15,64,83,63,72,40,53,58,52,45,53,82,77,77,86,82,63,101,80,82,66,80,73,101,76
16,54,57,93,69,54,72,59,51,68,76,93,106,86,96,70,81,116,94,76,62,65,93,93,88
17,87,99,59,69,59,66,52,65,57,67,84,90,89,105,92,97,90,102,68,82,59,63,94,91
18,99,91,82,64,66,62,74,58,69,89,75,63,55,-1,-1,13,47,22,27,14,18,30,28,38
19,38,26,26,15,18,16,12,24,18,19,10,19,19,28,75,35,47,20,19,14,50,16,60,27
20,43,46,58,55,38,65,73,30,24,19,22,25,27,35,59,46,49,15,32,18,43,24,50,51
21,55,49,19,21,54,69,61,34,61,25,25,24,27,32,49,42,52,14,5,-1,2,5,2,1
22,3,32,16,19,35,37,4,1,9,4,3,24,17,9,3,8,7,1,5,1,6,4,3,7
23,21,4,5,2,44,38,58,27,13,12,24,27,15,33,37,39,40,9,19,12,36,15,37,29
24,51,34,31,18,47,49,60,51,20,13,39,16,21,32,52,19,18,7,11,9,13,17,31,58
25,44,82,86,28,17,28,14,54,16,19,28,32,32,42,30,65,31,42,55,7,25,52,46,20
26,20,13,25,23,13,14,11,22,42,17,22,18,16,21,51,46,42,16,23,17,43,24,59,26
27,46,68,40,29,36,50,50,30,23,24,25,20,12,3,5,4,29,8,21,11,31,18,41,26
28,30,37,41,38,47,57,78,29,64,40,34,35,33,50,59,67,29,9,25,7,55,32,49,40
29,49,42,22,32,60,52,72,40,5,9,21,38,29,32,36,48,48,12,32,13,31,23,49,27
30,63,25,44,17,55,45,63,32,36,28,32,35,16,8,7,11,26,17,25,13,30,24,57,53
31,68,40,46,39,75,70,73,99,55,74,74,34,54,72,86,31,26,33,49,19,47,50,61,67
