Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,111,166,153,148,134,163,140,140,117,115,138,106,87,75,59,75,42,53,61,82,75,100,105,130
2,153,172,159,174,146,134,147,159,144,146,133,137,103,106,72,48,72,62,68,84,92,82,96,131
3,162,175,210,181,187,198,196,229,151,154,149,155,122,97,109,118,111,105,125,132,155,199,220,306
4,330,411,445,395,358,343,428,381,209,167,153,155,136,117,84,77,74,66,62,74,98,88,104,141
5,164,177,170,213,140,152,146,151,104,108,137,101,114,100,58,70,47,62,51,55,68,64,95,147
6,152,170,161,149,134,142,132,160,174,128,124,89,93,76,66,50,60,69,47,73,72,95,85,89
7,133,134,131,118,151,145,134,144,113,132,129,98,113,78,57,59,45,50,55,67,85,70,86,105
8,146,151,113,142,145,154,115,129,149,151,160,129,79,83,55,65,46,40,53,75,72,76,91,105
9,127,156,162,117,113,133,367,142,125,138,110,96,85,75,72,57,40,32,51,58,58,85,76,119
10,129,144,131,146,109,114,112,131,131,133,130,128,110,72,71,50,32,40,40,47,58,80,80,100
11,108,139,145,146,124,117,113,134,133,129,146,251,99,81,60,32,-1,-1,47,91,79,63,97,106
12,131,123,150,138,130,132,130,131,138,116,117,77,65,59,48,43,30,40,22,39,25,55,88,82
13,100,128,135,120,144,131,139,126,103,109,105,102,88,58,51,34,39,36,37,46,62,69,90,96
14,159,161,123,138,140,123,113,120,155,90,78,104,71,85,45,39,30,36,22,47,39,50,60,103
15,104,107,105,113,107,110,106,109,109,103,124,84,79,62,36,42,39,31,34,41,50,48,82,92
16,115,122,115,98,109,93,109,101,105,89,98,84,75,49,53,30,28,41,39,55,67,64,90,112
17,112,130,148,144,102,98,115,109,130,87,99,93,71,59,48,39,39,45,41,54,58,77,72,100
18,126,121,125,124,108,99,121,114,115,116,81,78,86,67,53,38,39,34,36,41,42,55,95,98
19,117,138,120,134,95,111,101,128,118,118,112,93,68,81,47,41,31,42,44,42,48,68,77,85
20,120,122,112,98,110,99,97,99,109,137,126,79,67,65,46,31,37,27,23,41,37,54,71,95
21,87,124,127,144,112,114,113,99,96,118,105,80,83,61,49,50,33,41,30,41,46,60,57,99
22,91,106,122,109,117,95,91,123,98,91,73,58,90,44,49,50,34,26,34,45,63,51,76,94
23,87,124,120,115,105,253,113,94,112,68,76,68,66,56,-1,29,35,50,49,57,53,58,75,102
24,97,119,113,110,122,98,112,89,104,96,80,86,65,60,50,24,30,37,36,41,35,61,66,87
25,87,125,100,110,87,96,88,79,88,79,83,68,61,41,135,104,100,98,108,142,176,168,194,221
26,233,269,291,307,281,250,239,257,233,230,235,180,170,125,140,99,84,97,110,114,141,158,185,212
27,274,248,246,278,262,273,266,248,242,211,212,241,321,159,109,93,102,77,105,124,139,148,196,192
28,268,256,310,306,258,271,225,234,252,256,225,224,208,143,135,97,98,101,129,144,168,170,210,242
29,277,314,257,279,269,261,263,262,297,258,272,294,195,158,139,107,103,124,120,142,167,183,216,253
30,303,294,286,286,307,263,261,266,228,232,189,174,170,206,134,100,94,143,122,92,126,151,203,230
31,291,286,281,285,275,236,226,242,230,201,182,186,164,153,108,103,95,82,97,153,177,170,215,260
