dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,53,53,60,54,58,31,34,34,31,27,26,22,26,12,20,13,12,15,20,26,34,25,33,35,""
02,28,42,49,40,45,49,32,24,23,18,19,23,20,16,16,11,7,17,20,23,26,29,36,35,""
03,45,46,39,41,36,42,31,21,30,27,16,25,28,13,19,12,19,17,17,12,28,50,45,34,""
04,44,47,48,44,37,42,37,32,40,32,27,29,32,18,17,18,15,18,26,34,41,46,40,47,""
05,35,40,59,54,48,37,46,41,26,32,32,30,27,19,15,18,10,21,19,39,41,32,35,30,""
06,39,47,44,46,49,54,53,39,30,40,22,33,19,18,16,9,14,15,24,33,36,36,38,30,""
07,41,42,42,52,53,53,37,29,45,31,20,28,24,16,19,6,15,17,29,24,31,38,36,37,""
08,42,47,47,50,50,50,41,37,22,26,18,16,17,18,19,10,14,11,21,32,39,56,45,40,""
09,41,31,42,52,59,57,41,30,36,28,31,26,27,14,22,15,14,24,26,42,43,51,61,54,""
10,49,60,58,54,61,57,51,39,42,30,26,26,30,19,13,9,13,12,29,37,40,59,66,47,""
11,39,45,42,58,62,45,53,56,40,42,25,22,21,16,10,10,19,21,36,47,71,85,100,69,""
12,50,55,60,75,71,85,79,79,61,35,21,17,19,28,14,16,14,21,45,56,96,134,131,93,""
13,74,55,74,97,83,70,91,76,70,59,25,20,21,21,16,10,9,26,54,82,120,158,137,123,""
14,85,66,67,101,80,91,89,90,57,50,32,21,24,19,15,13,22,28,41,46,54,59,50,57,""
15,53,46,46,43,42,47,34,25,34,26,15,23,25,23,10,14,9,9,20,33,25,20,32,26,""
16,35,54,41,35,39,23,33,34,25,23,29,24,19,11,14,10,18,15,20,25,34,32,32,29,""
17,38,34,54,39,39,24,29,40,27,39,31,19,19,18,10,15,7,15,24,26,23,29,25,28,""
18,29,43,44,50,37,27,40,24,28,22,16,29,18,20,13,13,10,19,16,20,24,27,29,33,""
19,40,40,45,39,32,44,36,41,23,27,31,22,18,16,14,17,21,18,15,23,33,32,37,33,""
20,38,46,37,58,40,32,34,29,30,25,21,20,13,21,16,13,7,13,18,19,23,27,30,34,""
21,38,38,42,45,40,32,37,35,24,23,21,27,13,17,15,11,10,18,19,17,23,30,39,34,""
22,40,39,51,48,62,45,55,48,47,43,21,24,32,31,21,12,14,12,15,19,20,23,26,25,""
23,33,35,35,38,46,44,27,24,22,21,20,23,26,20,12,11,11,15,15,25,30,20,33,22,""
24,34,44,50,40,39,40,33,33,24,30,23,23,21,18,21,10,8,10,21,21,30,28,36,29,""
25,39,40,49,45,37,33,40,36,36,23,22,23,18,12,21,17,12,8,22,17,20,29,29,28,""
26,25,39,36,28,46,59,47,42,28,29,21,23,21,22,13,12,10,15,19,26,24,31,45,38,""
27,37,49,46,45,39,31,24,30,29,20,27,26,22,10,11,13,9,7,15,20,22,30,23,34,""
28,30,53,43,38,35,41,31,22,22,29,21,22,20,14,11,12,12,15,19,19,25,25,28,29,""
29,37,28,35,40,33,33,26,28,17,22,23,12,19,12,14,6,11,17,10,12,29,32,19,36,""
30,22,37,44,26,40,37,21,18,19,14,19,19,19,20,19,11,4,13,15,13,18,29,27,31,""
31,26,34,40,40,37,26,30,31,21,21,12,21,25,14,11,6,9,8,21,23,22,-1,-1,-1,""
