apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,12,7,13,8,8,12,9,10,12,5,6,6,9,7,6,0,1,3,2,1,6,7,6,10,""
02,7,2,7,6,7,5,3,5,11,11,11,5,11,4,5,3,3,4,4,1,2,7,11,4,""
03,9,10,9,8,9,12,10,12,12,9,14,10,7,8,5,3,3,2,5,3,2,4,3,5,""
04,10,4,5,8,14,5,11,18,8,14,13,12,7,7,6,3,4,1,2,4,3,4,8,9,""
05,5,4,6,7,6,8,5,10,14,12,4,2,13,4,2,2,1,3,4,5,4,5,4,1,""
06,3,7,7,8,3,8,10,6,10,3,8,7,4,9,1,6,4,5,3,2,5,5,5,6,""
07,7,6,4,8,10,8,10,5,2,10,3,6,4,4,5,3,3,2,5,7,5,2,3,2,""
08,2,3,3,6,9,4,3,4,11,6,8,2,3,6,8,7,4,5,1,3,2,7,3,5,""
09,4,11,5,4,8,4,6,10,7,9,15,13,5,5,5,6,1,5,8,1,7,6,7,0,""
10,2,3,7,8,11,6,9,12,6,6,5,4,5,6,10,2,5,1,3,0,2,6,1,3,""
11,4,4,3,6,4,5,15,7,13,14,10,6,3,4,2,5,4,7,2,2,2,6,3,1,""
12,6,4,7,9,7,9,5,11,14,7,8,12,8,9,4,4,3,7,4,2,4,5,5,6,""
13,3,2,4,8,5,6,10,11,8,6,10,6,4,8,8,4,2,5,1,5,3,4,1,5,""
14,3,4,3,13,6,6,10,12,8,8,5,11,8,7,5,3,3,2,2,3,2,0,3,5,""
15,5,4,7,6,8,4,4,6,3,10,12,5,3,8,8,5,5,4,4,3,1,6,4,2,""
16,1,3,2,6,6,11,7,6,7,9,9,8,6,8,3,6,4,1,2,0,2,2,2,2,""
17,2,2,5,4,5,5,10,9,6,4,3,5,8,5,2,2,4,1,1,2,1,5,3,6,""
18,3,1,7,10,6,7,6,7,6,7,6,8,5,7,9,2,6,4,3,1,1,4,2,4,""
19,6,7,3,5,5,6,7,10,11,4,5,6,6,4,6,4,2,5,1,3,1,3,6,7,""
20,7,5,5,7,7,9,5,12,14,7,3,7,8,9,4,4,5,5,3,1,3,3,3,4,""
21,5,1,3,5,8,10,12,7,10,14,11,6,5,7,7,3,7,1,2,2,6,4,3,3,""
22,8,11,10,13,9,19,7,16,14,10,10,15,8,4,4,4,5,3,3,4,3,7,3,8,""
23,3,15,3,5,9,8,8,9,8,8,5,5,10,6,6,8,3,4,3,4,2,0,3,3,""
24,2,4,9,10,9,8,11,7,7,5,8,10,11,11,5,4,0,1,3,1,3,4,4,2,""
25,1,2,8,7,2,10,5,13,4,7,6,9,8,7,5,5,2,7,2,4,4,1,1,0,""
26,5,5,9,9,6,10,3,3,9,6,5,1,3,6,8,4,3,2,3,3,2,5,3,6,""
27,5,3,6,9,5,15,11,12,12,11,3,9,2,11,9,5,3,2,5,4,3,5,2,3,""
28,7,5,2,15,11,11,9,16,5,5,2,6,9,11,12,14,12,6,10,7,10,8,4,14,""
29,11,10,8,9,21,16,17,0,0,0,0,0,0,0,0,0,9,2,7,6,2,2,3,1,""
30,4,3,6,5,7,4,8,12,8,10,8,8,12,11,15,9,7,11,11,5,6,4,6,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
