nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,70,59,74,83,73,83,71,77,67,78,67,74,47,55,51,62,53,51,63,58,58,77,63,75
1,79,87,91,89,74,87,62,69,81,52,50,49,52,56,48,35,49,39,49,46,66,51,51,55
2,50,67,67,62,69,51,70,52,61,44,60,42,38,11,15,17,41,53,61,52,52,64,59,66
3,57,72,65,91,71,94,90,65,27,26,53,46,24,40,51,42,51,57,69,60,49,78,60,82
4,67,67,72,75,72,71,87,64,29,54,72,48,46,60,40,46,48,38,58,55,58,70,62,78
5,70,64,74,88,72,73,65,66,78,75,55,39,64,46,42,51,36,43,58,55,65,63,77,77
6,59,73,70,93,91,92,78,73,50,45,51,66,64,71,52,43,44,42,51,72,66,64,71,89
7,75,71,94,100,78,98,83,78,77,77,73,78,46,61,65,41,47,55,47,68,74,73,65,75
8,72,64,78,67,85,92,92,77,56,78,66,63,47,46,38,42,43,52,57,61,50,59,67,67
9,64,65,81,73,74,55,74,67,66,74,71,52,68,53,54,44,59,56,62,53,60,77,76,55
10,66,58,82,82,84,66,68,51,50,70,55,50,61,63,61,54,32,59,51,51,49,50,44,61
11,52,57,59,44,52,64,53,39,57,75,41,51,48,49,55,33,44,45,56,45,58,44,44,49
12,38,52,33,57,40,51,38,51,53,55,57,45,54,47,42,36,38,37,41,58,55,64,64,63
13,57,66,72,63,69,74,67,48,61,65,59,33,44,52,44,49,35,49,37,53,44,57,59,63
14,59,43,78,68,67,51,64,57,56,61,58,49,48,45,47,40,43,63,42,34,45,41,51,49
15,60,46,50,66,73,55,56,47,64,52,57,69,52,43,53,47,42,41,48,53,54,56,52,58
16,49,48,58,56,53,47,55,50,47,44,46,38,35,35,32,38,34,41,64,40,44,48,52,48
17,58,55,67,59,71,56,57,58,46,47,72,35,33,34,42,42,36,57,32,54,54,45,40,47
18,71,70,81,70,74,61,46,49,65,65,63,48,49,59,60,40,32,28,38,51,39,43,67,58
19,67,53,65,80,75,70,69,53,44,41,43,38,2,33,32,29,30,43,46,37,49,56,58,57
20,75,59,52,71,65,58,65,60,59,44,70,32,26,43,29,39,30,31,45,36,37,29,31,35
21,34,39,46,34,58,39,45,37,40,37,44,25,30,32,33,37,29,28,33,27,46,46,44,58
22,40,41,46,43,44,54,41,45,33,38,56,50,28,32,38,24,21,31,34,33,30,40,40,39
23,44,46,57,55,60,39,46,51,43,52,40,40,47,53,50,43,36,60,40,39,49,57,76,63
24,64,72,53,66,67,77,66,52,45,52,31,28,53,39,32,34,30,25,32,34,42,44,43,53
25,51,60,69,60,64,50,60,57,50,48,45,26,41,45,32,33,48,42,44,33,54,46,45,36
26,40,45,65,62,54,61,52,49,56,33,41,45,56,38,23,30,32,36,39,52,39,52,52,42
27,71,61,76,70,77,62,63,58,62,38,28,33,42,33,34,35,39,39,43,51,53,44,43,51
28,70,54,62,75,77,79,50,62,38,25,45,41,44,41,36,31,27,31,38,44,47,53,43,67
29,53,55,69,56,53,62,74,77,24,34,59,58,58,45,36,42,40,49,41,45,69,51,25,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
