Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,3,4,6,3,16,17,40,19,14,24,11,24,23,11,6,4,4,3,3,4,15,12,8,6
2,3,8,5,19,23,37,8,14,13,11,25,21,11,19,7,12,3,4,3,5,8,4,8,4
3,4,7,5,12,20,33,33,16,21,23,29,20,16,9,17,14,8,4,4,8,5,9,7,4
4,8,11,4,10,28,12,19,16,15,24,24,48,16,18,18,12,4,7,3,3,11,12,6,4
5,10,9,20,8,29,24,44,56,25,16,20,15,20,10,8,1,7,8,3,3,10,12,7,4
6,3,6,5,21,21,29,22,48,26,19,46,21,18,12,23,10,4,2,3,6,4,8,5,7
7,6,6,8,16,28,21,27,24,10,15,19,24,12,3,2,4,1,5,5,4,10,9,4,3
8,7,6,14,8,12,14,14,27,18,18,9,19,11,6,10,2,3,9,7,5,10,5,7,6
9,6,4,3,17,37,26,42,24,22,26,18,14,12,13,8,8,8,3,8,9,19,12,13,3
10,6,7,8,8,16,31,23,24,37,28,31,29,14,15,17,5,4,7,2,12,12,5,8,22
11,7,2,6,3,12,11,9,18,19,25,13,10,10,9,7,6,2,4,4,6,9,10,10,3
12,3,5,5,9,9,18,18,20,22,33,13,8,17,8,4,4,6,5,1,5,5,9,8,4
13,4,6,10,11,20,18,12,40,22,11,20,11,13,5,14,15,2,6,3,5,5,10,4,7
14,12,4,2,6,19,7,15,16,19,8,24,19,14,9,2,2,1,4,6,6,5,14,10,9
15,4,5,6,7,5,24,31,25,33,16,30,13,11,10,16,16,7,3,8,6,5,7,9,3
16,5,8,4,13,20,23,29,24,23,15,15,14,13,13,13,4,2,15,10,4,10,11,9,7
17,5,7,4,14,12,20,17,14,19,20,10,23,9,17,6,3,6,2,7,5,7,6,8,6
18,4,3,7,19,7,17,19,29,16,23,7,10,9,6,14,3,2,7,3,2,5,13,14,7
19,14,9,6,5,16,12,16,15,14,8,20,16,4,5,3,8,3,5,7,4,12,10,6,4
20,5,4,8,10,19,9,24,14,9,6,9,6,8,6,4,2,3,4,2,14,11,6,6,7
21,6,5,10,15,14,8,27,13,21,14,6,10,8,6,5,2,3,6,5,2,3,9,4,5
22,4,5,8,4,6,25,26,16,35,25,12,10,14,12,5,6,3,4,16,5,15,10,10,5
23,5,5,9,6,17,19,12,19,28,25,16,11,17,16,9,5,13,3,3,9,11,9,6,4
24,4,5,5,20,21,16,25,24,30,40,37,16,11,17,7,14,2,2,3,5,8,6,7,8
25,2,4,6,23,32,11,22,17,10,18,28,31,17,12,16,6,10,9,3,7,8,7,5,2
26,3,5,4,28,21,27,56,38,37,37,17,29,16,43,8,7,2,3,6,3,7,15,7,4
27,4,4,7,19,24,20,31,20,29,32,34,10,15,22,6,3,5,3,6,8,4,18,9,12
28,4,5,4,13,21,15,32,18,10,10,26,9,12,7,9,13,6,4,2,6,4,6,5,2
29,6,5,8,9,9,7,21,72,47,39,28,45,10,5,7,4,5,3,3,9,5,6,3,2
30,3,4,7,8,18,28,21,31,29,24,60,15,15,13,14,10,3,9,4,9,9,7,9,2
31,3,4,6,19,25,8,22,10,19,22,29,22,23,15,9,10,12,3,6,11,11,4,3,30
