Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,11,9,14,23,21,20,26,32,39,29,24,30,25,19,14,11,5,14,5,8,14,13,19,24
2,18,9,18,26,14,16,17,19,19,24,29,21,14,23,18,16,18,4,12,9,27,22,13,12
3,22,11,15,22,31,34,25,21,31,29,36,22,17,14,21,20,6,14,6,10,12,15,18,18
4,18,16,22,16,19,16,17,13,36,26,35,19,20,12,8,10,18,9,8,13,14,9,25,18
5,20,13,15,17,21,22,12,27,22,19,16,30,13,20,14,10,5,4,9,7,15,18,19,17
6,16,9,18,27,19,16,20,26,19,33,25,17,15,12,20,13,15,4,7,11,17,14,23,25
7,18,15,10,6,27,11,37,18,42,25,31,25,22,17,16,26,15,6,6,15,12,16,21,15
8,17,21,13,21,13,21,14,21,38,23,29,20,11,20,22,14,8,14,4,8,16,16,15,22
9,24,19,15,18,26,20,15,18,34,38,38,9,28,16,19,14,16,7,7,10,11,11,14,15
10,21,14,16,14,23,17,25,35,29,21,15,16,24,30,16,7,8,6,9,13,15,10,16,23
11,17,19,15,15,20,12,23,27,30,32,30,17,22,17,26,11,13,11,12,8,15,16,25,22
12,11,11,11,14,14,23,19,15,25,27,12,12,22,15,25,14,5,7,5,4,14,22,18,18
13,11,15,14,18,29,24,23,29,34,37,29,13,15,21,26,20,21,9,8,17,16,16,9,16
14,17,22,10,17,28,25,18,34,42,31,28,22,13,15,20,17,12,12,5,14,14,14,20,11
15,11,15,19,14,18,18,12,13,25,39,32,14,18,19,15,14,10,15,10,7,15,17,14,17
16,19,9,26,14,23,21,13,16,30,26,18,67,-1,19,39,11,8,11,13,10,14,19,14,13
17,19,18,13,17,21,30,21,22,20,24,24,16,17,18,13,12,15,15,11,5,12,12,16,9
18,14,17,19,16,23,21,23,23,28,17,22,16,18,18,17,8,7,8,7,6,12,14,16,22
19,9,12,15,20,22,13,14,31,17,21,18,21,21,9,13,13,6,12,5,7,15,16,11,26
20,9,7,13,9,6,13,20,18,13,19,14,15,28,9,14,5,12,7,9,10,11,11,13,22
21,9,16,16,13,16,20,28,35,32,27,19,13,12,21,14,12,10,15,6,12,10,13,6,16
22,14,15,14,24,10,13,11,24,25,29,16,24,23,15,20,19,7,12,12,10,10,7,19,14
23,19,12,10,18,11,17,28,14,28,22,17,18,11,19,22,17,12,8,4,5,5,4,10,9
24,14,8,7,8,11,11,20,23,35,31,32,2,-1,8,15,10,4,7,8,6,4,7,15,16
25,13,8,5,16,7,20,15,15,17,20,15,16,22,32,13,10,7,12,5,7,16,8,11,12
26,21,15,12,17,18,14,14,25,30,35,16,24,19,12,14,12,9,7,10,11,6,15,14,10
27,17,11,10,11,5,19,26,26,35,27,28,14,18,20,27,12,9,7,8,12,11,14,19,19
28,21,12,9,16,22,18,22,23,16,40,29,17,12,20,21,14,6,5,6,6,12,18,13,8
29,15,7,5,16,17,18,25,30,17,24,21,18,20,18,18,11,13,8,12,13,8,13,13,8
30,9,9,9,17,13,22,28,28,24,31,28,12,9,19,16,12,10,7,16,7,13,12,10,19
31,10,11,8,14,18,11,9,13,17,71,24,14,14,20,16,22,9,6,5,15,15,19,13,12
