dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,72,68,76,86,96,73,89,78,97,86,98,83,83,64,68,47,59,50,69,67,72,76,81,85,""
02,84,68,86,84,103,85,112,98,100,92,73,75,56,70,61,57,53,47,68,56,72,64,64,61,""
03,72,83,88,74,86,95,79,95,87,71,67,92,62,67,61,69,42,46,52,40,57,59,67,75,""
04,63,86,81,78,94,96,95,81,87,82,51,59,58,38,31,44,48,63,48,48,65,62,73,75,""
05,75,72,91,76,72,93,102,101,86,88,86,89,77,63,71,60,57,42,49,44,64,63,70,84,""
06,65,74,84,66,100,97,87,90,91,65,91,74,67,64,75,52,48,37,66,52,65,72,73,73,""
07,81,75,80,100,91,89,84,104,86,82,94,82,87,63,63,56,53,53,58,65,65,68,73,69,""
08,64,60,66,73,77,80,86,79,96,67,81,72,70,68,57,64,48,47,47,59,60,66,68,62,""
09,80,81,91,82,97,107,110,101,89,80,82,85,74,65,60,54,48,45,59,77,75,67,68,78,""
10,59,87,89,97,107,130,112,96,99,93,60,61,50,59,49,37,37,34,53,38,53,59,53,72,""
11,79,76,97,76,89,119,132,118,75,78,73,72,62,60,53,54,46,46,58,68,80,97,76,91,""
12,81,86,86,91,103,117,117,116,94,86,75,72,61,49,47,61,49,55,78,99,96,100,115,107,""
13,105,98,92,119,127,171,172,153,105,93,84,75,61,55,46,46,47,65,109,121,134,149,178,185,""
14,191,181,179,197,196,224,238,197,153,116,81,90,62,66,66,75,63,106,108,130,162,146,137,159,""
15,151,146,149,157,149,158,147,121,99,89,83,82,71,72,58,64,42,46,65,75,78,68,66,90,""
16,77,93,89,88,89,97,99,24,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,3,""
17,9,2,0,1,0,0,0,0,0,0,33,57,67,55,38,55,32,40,37,44,50,40,34,46,""
18,156,101,58,78,104,105,94,90,67,68,58,44,40,47,72,33,41,28,35,29,37,33,53,47,""
19,46,51,66,80,73,68,91,65,70,58,61,61,68,59,48,50,47,57,49,33,43,53,39,51,""
20,62,78,65,75,65,73,79,55,58,55,52,63,42,41,40,43,41,25,35,35,35,44,43,47,""
21,60,51,57,59,64,69,70,77,78,73,66,85,54,47,62,46,32,28,44,41,43,40,40,46,""
22,52,50,60,59,56,70,56,69,55,65,60,72,51,63,79,36,33,40,105,53,56,47,53,55,""
23,66,69,73,72,72,71,73,85,70,63,56,121,118,98,72,68,50,70,54,90,103,77,78,84,""
24,107,105,100,105,117,92,105,124,128,95,99,92,60,72,88,82,77,70,88,72,74,82,108,70,""
25,78,76,99,89,101,117,92,104,89,80,70,91,99,70,81,83,92,95,113,134,138,117,120,83,""
26,118,112,95,88,101,108,85,71,80,66,90,91,92,111,92,83,62,81,70,82,98,110,79,93,""
27,88,83,103,105,105,113,110,101,114,136,100,97,91,100,82,73,88,83,37,42,52,37,42,48,""
28,50,57,49,67,62,63,69,63,62,66,55,72,42,45,40,20,28,39,25,31,27,39,38,47,""
29,52,57,56,58,53,67,70,65,66,64,61,84,48,53,51,18,18,25,33,37,44,34,37,47,""
30,48,50,60,64,82,62,65,67,58,62,57,51,53,56,49,44,37,34,31,35,35,48,46,50,""
31,59,54,62,61,57,66,62,78,60,50,50,80,59,58,44,35,33,28,24,24,43,50,47,150,""
