Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,51,65,62,76,86,83,105,93,118,92,104,145,146,140,128,146,128,109,113,90,64,54,48,64
2,59,65,69,90,131,103,95,103,103,103,133,124,170,163,118,123,145,140,114,86,67,55,39,55
3,44,44,63,88,100,78,113,106,109,109,80,115,126,122,118,114,113,105,105,80,58,43,46,45
4,59,86,67,90,92,105,108,141,119,114,129,135,139,115,131,101,86,99,96,86,72,63,47,60
5,46,56,66,94,74,92,101,114,97,92,106,143,123,105,104,125,125,107,103,77,59,45,43,33
6,37,68,64,77,83,98,113,100,97,117,133,130,109,125,107,117,85,130,75,76,56,58,59,62
7,55,60,78,85,105,109,114,140,129,118,170,213,242,205,186,203,132,147,118,112,84,69,59,57
8,60,50,71,94,111,108,107,140,144,150,173,188,204,199,194,212,156,178,128,77,92,50,77,65
9,73,76,97,110,117,117,146,158,136,135,149,232,230,232,203,208,174,138,123,100,92,74,66,63
10,52,57,89,126,159,170,171,173,164,156,144,169,164,165,197,139,159,113,104,95,70,64,64,57
11,57,48,102,121,126,130,128,115,119,119,139,164,116,98,107,120,132,101,105,85,78,48,44,50
12,45,56,62,93,92,111,115,135,135,125,135,183,152,116,132,94,112,100,83,88,63,44,42,47
13,51,67,69,77,89,114,136,122,111,130,141,161,119,165,129,143,127,121,116,100,62,60,51,59
14,76,78,86,127,126,138,137,130,156,138,156,194,171,162,173,127,118,123,99,89,81,43,59,48
15,63,64,70,123,123,118,132,110,113,107,171,141,148,141,137,146,111,137,88,69,67,52,69,61
16,49,56,70,92,103,134,162,142,136,139,166,179,171,-1,-1,-1,310,262,275,306,244,210,207,127
17,136,185,180,302,380,440,470,455,580,518,596,655,671,534,468,332,358,277,284,252,239,220,172,214
18,152,284,275,307,414,443,417,459,502,553,539,555,525,628,448,406,368,293,380,305,251,296,185,172
19,188,206,292,311,414,543,478,500,527,565,601,562,501,488,492,378,413,310,319,291,297,219,176,151
20,163,196,251,295,383,473,493,523,602,643,591,601,613,520,450,358,375,248,392,350,285,218,174,194
21,155,238,275,310,439,576,578,609,616,630,632,666,598,526,442,420,477,273,334,322,256,201,150,136
22,145,226,279,390,452,581,601,549,656,646,593,609,692,490,506,406,394,373,350,385,274,381,149,189
23,229,330,372,373,380,584,499,548,536,519,634,601,663,618,500,322,419,347,406,407,313,319,247,217
24,222,232,255,363,462,463,472,482,553,503,574,634,542,597,529,389,439,315,350,377,288,250,231,181
25,187,191,263,255,430,437,472,506,573,600,606,626,633,512,491,350,396,261,382,318,250,223,177,135
26,200,233,236,255,426,524,469,481,514,557,531,550,542,472,443,326,301,245,307,290,224,226,118,157
27,158,206,286,259,376,438,438,521,542,555,566,685,607,623,514,326,301,244,342,271,215,214,138,117
28,131,254,215,275,364,489,460,436,519,576,604,638,651,544,453,308,334,247,292,269,260,227,245,127
29,161,334,298,311,407,547,507,423,542,608,558,612,548,656,438,320,357,241,440,303,251,258,303,149
30,268,172,208,452,381,560,492,507,515,552,641,598,642,591,438,360,337,291,287,293,279,220,215,161
31,184,248,252,326,337,430,425,465,474,474,496,547,500,509,562,439,473,291,299,130,140,144,139,82
