apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,000,002,003,004,004,003,005,003,005,004,002,006,002,002,001,001,003,005,003,002,004,000,006,001
02,007,007,008,006,003,004,007,002,006,001,000,001,003,000,002,002,002,002,002,004,004,001,003,003
03,002,003,005,009,004,003,003,002,002,001,001,000,000,001,000,001,005,004,001,004,003,004,002,004
04,004,005,004,006,006,009,002,004,004,003,002,005,002,003,002,002,004,001,003,003,004,002,003,004
05,002,003,008,009,006,004,003,004,001,006,008,004,004,000,003,002,003,002,006,002,004,002,006,004
06,004,002,007,008,005,005,006,003,003,003,005,007,005,001,002,002,003,001,003,002,002,005,002,002
07,005,004,006,008,005,003,005,006,004,006,007,006,007,004,001,005,003,002,002,002,003,009,004,003
08,005,004,009,005,005,007,003,003,007,003,003,007,001,000,002,002,000,004,002,003,002,003,001,004
09,003,010,007,009,005,003,003,005,008,006,004,010,006,004,003,004,002,003,002,002,004,004,004,008
10,007,010,006,008,004,005,002,003,003,003,005,007,002,000,002,001,005,005,001,001,002,003,001,004
11,005,005,001,008,004,002,003,002,006,007,001,004,001,002,001,002,003,002,000,004,003,001,006,002
12,003,006,007,006,003,000,004,002,000,002,003,001,002,001,003,005,001,001,003,002,001,003,008,002
13,001,002,003,007,008,009,003,005,004,003,004,003,001,004,001,002,002,001,005,003,003,002,004,005
14,006,005,003,006,000,007,003,006,002,007,006,003,004,002,002,002,002,003,000,000,004,000,002,004
15,004,002,007,004,004,001,001,003,002,001,001,002,001,002,002,003,001,004,002,001,002,004,004,003
16,004,005,001,006,001,004,004,004,003,004,001,003,001,001,001,004,001,001,002,002,001,006,005,003
17,003,001,007,007,004,003,002,004,008,007,002,003,002,005,001,002,001,004,004,003,003,004,006,005
18,007,005,002,005,006,003,004,005,005,006,007,007,002,004,002,001,002,002,004,002,003,008,006,000
19,005,005,004,005,005,005,003,007,002,000,002,004,001,000,003,003,006,000,000,004,009,003,001,003
20,008,008,006,004,001,002,006,007,005,006,000,002,000,001,003,002,005,002,004,001,004,003,005,003
21,003,003,007,002,003,002,001,001,003,001,005,002,000,001,002,004,003,001,005,004,006,005,009,011
22,008,011,011,016,006,005,010,008,002,004,002,001,003,000,000,000,000,000,003,005,004,005,009,003
23,014,014,010,006,003,003,003,005,008,005,003,005,004,009,008,001,001,002,005,003,003,005,005,007
24,004,008,004,006,008,004,004,004,002,005,005,001,002,005,002,006,005,004,002,005,005,004,008,009
25,006,006,010,006,005,004,004,004,003,005,004,002,001,002,002,004,004,001,001,002,001,001,008,007
26,008,006,009,003,005,009,004,003,002,006,005,009,004,003,005,002,003,003,004,002,003,004,003,004
27,004,004,003,001,004,006,003,003,008,005,002,005,006,005,006,008,008,005,005,004,004,003,001,002
28,005,002,002,000,003,001,004,006,003,004,003,003,003,004,004,000,006,000,006,002,001,006,000,004
29,008,004,007,003,008,007,003,006,006,011,008,002,001,011,004,009,001,003,002,003,002,004,007,008
30,006,002,011,006,000,009,006,008,009,006,005,005,005,004,002,010,007,005,005,003,003,005,002,002
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
