oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,37,40,36,42,41,37,46,45,41,50,42,51,35,32,29,49,33,19,21,28,33,32,-1,0,""
02,29,31,31,45,39,46,48,39,55,58,45,62,70,40,45,21,25,36,25,33,32,47,41,34,""
03,35,41,32,44,47,52,40,57,43,49,56,54,52,43,39,34,16,14,8,10,17,13,21,20,""
04,32,18,28,30,22,28,24,14,19,24,35,26,30,29,25,18,28,17,11,13,23,12,27,16,""
05,39,-1,-1,15,41,22,30,19,27,35,24,35,44,56,30,35,39,34,28,37,30,52,42,30,""
06,45,36,39,51,40,39,45,50,43,50,46,49,33,36,36,31,23,27,19,30,28,26,45,43,""
07,45,32,53,36,33,47,37,50,46,46,42,33,35,35,30,32,25,19,24,32,25,34,37,49,""
08,31,25,35,37,-1,-1,30,62,54,37,37,33,24,36,34,34,26,32,32,28,29,43,35,48,""
09,41,40,40,37,45,38,48,56,36,51,32,34,36,33,46,42,24,30,19,27,37,40,35,45,""
10,49,29,32,51,34,46,50,45,46,42,60,34,42,31,25,35,23,27,32,29,26,35,47,41,""
11,45,52,38,47,54,50,59,-1,-1,22,39,35,37,30,28,23,33,37,30,26,32,35,47,46,""
12,33,33,46,40,39,45,44,41,29,40,38,49,38,37,32,22,23,24,32,17,38,37,44,32,""
13,41,42,33,49,41,35,42,42,44,42,37,45,32,27,33,28,35,34,59,34,34,34,43,39,""
14,40,43,39,45,51,41,50,56,35,44,-1,-1,27,41,37,39,27,34,32,31,45,79,97,45,""
15,41,38,32,42,47,48,34,43,44,-1,-1,-1,-1,-1,18,36,26,27,23,28,29,34,32,34,""
16,35,37,45,43,38,35,37,32,27,-1,-1,-1,-1,-1,3,8,10,12,23,29,28,48,46,47,""
17,40,36,27,29,46,39,37,47,35,48,31,33,37,-1,-1,27,26,27,17,26,30,41,44,53,""
18,48,38,41,50,49,53,50,49,56,38,42,36,35,35,38,34,33,27,19,24,29,34,30,37,""
19,41,51,41,44,36,36,41,43,47,43,53,35,36,27,26,27,26,19,31,25,24,31,21,37,""
20,37,42,37,44,35,39,54,43,45,53,40,27,37,36,37,25,-1,-1,-1,-1,-1,-1,-1,1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,36,28,26,27,32,47,39,36,51,""
22,35,34,42,50,54,57,42,60,41,33,46,40,30,28,30,28,28,28,26,15,28,38,49,36,""
23,37,30,40,47,63,42,61,61,42,54,42,43,29,35,21,29,26,17,20,-1,-1,39,56,45,""
24,48,49,39,35,51,45,56,49,40,60,51,41,32,41,25,23,23,29,28,20,27,46,48,39,""
25,38,29,44,35,61,50,55,67,41,31,35,52,34,43,39,28,31,21,33,33,36,31,45,49,""
26,30,32,31,38,35,40,34,38,55,41,37,31,44,27,32,30,25,22,35,37,34,42,-1,0,""
27,20,27,30,40,49,54,50,47,34,50,35,31,36,37,40,26,24,24,30,33,27,34,36,35,""
28,35,27,32,48,59,43,34,41,55,39,35,31,23,35,17,28,22,19,24,31,32,36,33,34,""
29,31,31,31,35,38,44,42,39,44,31,26,31,38,35,21,19,16,22,35,33,38,42,32,40,""
30,-1,-1,25,30,42,41,31,43,36,38,41,26,24,36,19,22,20,26,20,35,39,46,50,45,""
31,35,29,34,47,43,59,40,41,35,26,35,36,26,25,31,22,23,18,37,31,47,37,46,7,""
