sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,40,40,37,26,39,59,50,55,38,33,40,55,40,63,41,21,28,27,23,26,19,19,28,20,""
02,22,31,20,31,32,32,35,37,54,62,55,39,42,38,40,34,67,53,36,30,26,17,27,38,""
03,38,24,11,18,35,57,48,69,46,54,41,42,43,46,34,35,44,30,30,21,18,11,14,7,""
04,11,15,21,26,27,23,38,49,43,40,46,45,32,31,35,45,25,30,41,34,25,15,7,16,""
05,17,17,29,53,51,45,70,0,65,36,35,27,25,17,19,53,43,39,52,67,51,41,64,45,""
06,45,31,52,60,55,65,66,73,62,61,60,47,68,67,65,92,87,63,69,62,58,59,58,61,""
07,41,62,61,62,67,80,71,99,91,82,76,83,70,91,80,92,85,72,67,62,61,56,53,44,""
08,45,45,48,58,59,82,93,104,77,78,85,79,66,85,74,63,84,70,67,71,51,67,57,45,""
09,41,47,55,74,68,92,86,92,77,70,77,70,69,73,84,64,91,84,60,79,53,50,39,35,""
10,42,59,45,53,45,61,71,84,65,55,88,77,69,103,67,67,72,53,45,51,51,43,37,22,""
11,39,49,43,49,47,59,68,52,46,43,59,50,70,58,73,59,60,66,58,54,56,49,48,42,""
12,37,37,60,58,47,67,76,73,57,58,58,48,56,52,64,48,52,58,48,67,50,32,46,37,""
13,43,38,36,49,44,55,69,77,68,78,80,73,95,74,62,64,53,61,54,46,49,43,33,40,""
14,35,34,39,43,58,51,79,83,61,65,53,63,48,63,64,75,72,65,50,0,70,60,42,43,""
15,24,40,46,42,55,58,72,56,60,52,53,54,54,51,55,39,38,50,44,51,45,27,19,30,""
16,33,44,39,47,48,53,62,69,67,65,65,62,56,67,55,57,52,56,54,37,56,41,32,28,""
17,27,35,34,41,64,91,105,104,101,68,56,59,51,65,57,61,67,78,67,67,49,55,61,48,""
18,54,65,78,75,83,80,86,88,65,57,63,71,69,75,61,59,62,55,44,41,32,37,25,27,""
19,34,48,45,53,52,67,83,68,49,51,63,44,51,59,48,50,59,56,56,42,50,42,37,33,""
20,36,62,60,57,69,79,101,96,86,66,62,72,64,84,72,69,68,73,49,73,45,39,30,32,""
21,45,58,51,42,68,68,73,66,63,61,54,45,61,53,61,59,47,63,49,74,62,76,33,45,""
22,36,37,57,62,47,75,71,76,63,70,64,58,49,56,53,60,59,0,50,49,53,38,51,52,""
23,39,53,51,80,79,72,75,71,60,50,60,47,49,58,62,53,63,62,61,47,64,51,52,35,""
24,47,57,56,72,67,60,107,77,105,86,76,67,94,72,87,70,78,61,62,50,47,41,42,39,""
25,54,42,42,56,81,69,79,90,84,63,79,80,81,77,105,89,78,62,69,53,36,45,39,43,""
26,54,49,63,58,77,85,103,108,86,87,86,77,83,96,59,72,70,77,62,54,66,43,38,47,""
27,44,42,47,60,63,86,103,91,113,104,64,58,60,60,61,73,50,63,59,40,40,32,33,49,""
28,35,48,59,51,55,72,82,74,82,63,47,36,57,55,75,63,64,53,59,42,42,40,24,38,""
29,52,36,59,59,62,80,96,78,69,54,56,44,63,39,56,45,69,45,53,55,66,46,50,35,""
30,27,39,49,53,77,95,79,75,78,53,58,55,64,60,67,70,60,65,44,46,48,59,46,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
