Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,26,20,15,37,34,30,22,32,31,29,37,23,30,18,64,87,48,38,64,23,14,3,14,8
2,14,8,19,18,26,13,26,18,16,30,17,6,61,4,106,1,2,49,52,33,3,35,-1,-1,-1
3,-1,-1,-1,-1,-1,9,28,65,36,28,30,10,19,17,14,12,13,13,5,8,10,13,23,16
4,15,20,12,34,27,30,29,42,15,17,16,112,125,17,14,16,17,32,46,164,22,36,29,60
5,18,15,9,23,35,38,16,34,35,74,23,10,15,19,18,23,35,6,79,30,7,21,21,24
6,20,22,21,37,29,22,18,33,58,20,28,46,11,11,19,26,16,16,5,4,9,13,19,30
7,31,28,24,17,24,36,34,39,37,47,16,8,14,46,109,56,16,16,7,7,16,64,103,51
8,137,13,16,15,22,33,29,17,69,185,38,11,116,200,116,144,113,18,28,32,17,30,16,21
9,17,21,29,9,22,22,50,26,31,50,32,118,71,74,18,16,43,283,132,64,11,13,17,26
10,16,23,36,13,32,35,22,33,16,67,38,33,101,36,86,80,46,119,43,-1,82,65,19,18
11,15,16,22,52,22,18,21,39,18,111,82,81,7,13,23,12,10,82,39,168,77,8,18,14
12,15,33,9,16,18,13,18,27,14,21,25,5,11,16,12,19,10,11,4,12,8,16,15,12
13,15,9,10,15,27,38,26,12,22,19,15,16,8,15,19,8,13,20,6,12,16,16,22,20
14,31,6,9,13,34,14,18,25,26,16,18,16,14,40,57,52,44,2,16,78,50,12,17,20
15,25,6,9,15,11,16,18,26,34,14,13,18,7,10,16,18,20,147,49,35,79,99,19,28
16,17,21,21,23,19,22,33,19,97,40,14,11,9,19,11,16,20,11,10,15,14,16,14,18
17,24,9,17,18,29,26,23,18,11,19,8,12,16,9,19,9,15,13,26,8,12,12,21,25
18,24,9,23,16,18,17,15,20,26,15,51,34,89,24,9,19,14,11,8,13,10,17,29,20
19,20,20,13,15,32,31,21,21,20,21,9,16,12,11,17,10,18,14,10,6,14,16,23,29
20,24,18,12,12,18,29,19,22,82,5,13,9,20,8,11,15,15,9,10,9,9,12,17,18
21,13,12,5,16,13,21,18,13,25,20,7,15,11,108,99,16,213,9,18,20,8,13,21,14
22,17,16,10,19,18,32,27,40,66,79,28,8,6,7,11,16,9,41,10,7,8,11,23,27
23,17,15,12,21,28,43,22,21,30,26,36,19,9,10,9,16,11,9,2,11,6,10,25,24
24,30,25,20,18,22,18,26,37,25,20,8,7,13,7,17,9,10,9,8,15,11,10,23,59
25,25,24,24,16,27,22,17,14,17,11,7,9,5,11,18,6,7,10,14,12,60,67,26,22
26,31,31,42,29,37,42,35,30,14,49,114,57,4,6,2,12,13,8,2,11,14,19,23,38
27,48,30,23,13,24,35,19,21,9,15,10,9,8,11,6,8,7,7,6,1,11,20,31,37
28,57,47,43,27,29,40,19,25,22,16,8,4,6,4,13,15,11,17,6,7,13,16,23,45
29,39,37,31,5,21,36,36,34,14,13,55,16,64,24,21,14,6,7,5,14,11,32,31,50
30,54,39,32,11,42,64,29,27,74,118,107,75,63,24,9,9,3,14,10,16,8,16,50,46
31,56,37,27,22,16,42,23,27,15,17,10,9,14,103,14,10,16,3,7,5,14,27,25,36
