Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,30,8,15,43,21,44,34,1,1,-1,4,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,3,1,4,1,-1,34,39,22,44,26,8,-1,5,1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,1,7,63,92,113,69,82,56,23,37,2,4,5,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,8,4,12,40,1,-1,-1,1,-1,-1,-1,-1
5,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,71,44,1,85,50,1,-1,-1,-1,-1,7,-1,-1
6,4,2,2,5,10,6,21,6,34,8,-1,-1,1,10,17,40,5,7,2,10,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,4,-1,-1,-1,12,5,11,1,3,10,1,-1,-1
8,5,1,1,2,7,12,19,15,33,77,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1
9,4,-1,-1,5,-1,13,14,-1,-1,-1,-1,5,74,-1,21,38,12,2,-1,3,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,1,-1,4,49,110,130,39,103,62,57,13,4,-1,4,-1,-1,-1,-1,1,-1,-1
11,4,8,12,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1
12,-1,-1,1,-1,-1,-1,5,-1,-1,3,-1,-1,-1,3,5,3,3,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4,-1,27,34,43,39,12,11,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,1,1,16,12,58,98,20,37,119,23,15,-1,-1,-1,-1,5,4
15,-1,-1,-1,-1,-1,-1,-1,-1,1,2,8,-1,-1,-1,7,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
16,1,-1,-1,3,4,-1,-1,10,17,-1,-1,-1,7,15,11,13,20,6,-1,-1,-1,2,-1,-1,-1
17,-1,2,3,5,2,6,7,7,2,-1,10,3,30,36,14,44,8,-1,2,2,10,-1,3,-1,-1
18,3,2,2,6,-1,4,4,1,-1,-1,-1,52,136,205,88,51,15,9,11,9,3,-1,-1,1
19,-1,3,-1,3,1,-1,7,-1,-1,-1,-1,38,215,161,167,59,25,1,-1,1,7,3,5,1
20,-1,-1,-1,5,2,13,7,2,-1,3,11,23,123,76,61,24,20,-1,9,4,7,9,-1,-1,-1
21,-1,1,7,3,2,18,10,-1,-1,-1,13,44,5,15,9,21,4,3,15,1,2,4,5,-1,-1
22,12,1,9,3,10,7,1,6,173,133,164,223,161,163,192,40,24,4,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,20,69,51,54,100,68,40,5,9,-1,13,-1,-1,-1,-1
24,-1,1,1,-1,-1,1,17,18,35,34,160,113,72,155,120,53,13,-1,4,2,9,2,-1,-1,-1
25,-1,12,10,2,7,22,69,88,33,90,30,111,58,65,69,60,9,7,-1,68,57,66,18,1
26,8,4,6,1,3,17,64,2,2,76,177,152,92,53,36,3,6,1,10,14,9,23,26,13
27,32,31,13,13,38,4,34,2,-1,12,7,27,49,61,87,45,22,-1,5,5,1,1,1,5
28,4,7,3,7,14,10,10,2,-1,1,3,18,5,3,8,6,11,10,10,95,101,10,9,-1,-1
29,-1,6,4,3,1,28,44,99,88,36,12,9,2,81,79,6,60,-1,-1,-1,8,3,6,4
30,10,15,57,7,-1,3,23,48,13,17,42,73,31,34,46,43,29,66,16,10,25,15,27,7
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
