Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,71,78,82,87,118,109,80,92,124,113,91,70,72,70,99,39,36,46,43,19,8,16,11,83
2,90,97,65,92,93,94,89,88,126,119,117,112,85,98,84,31,56,46,41,45,22,19,28,32
3,49,97,131,132,117,113,112,99,126,43,125,109,38,35,70,63,37,41,42,35,36,37,33,56
4,89,73,77,93,108,72,74,119,96,110,99,96,117,54,30,44,18,32,39,28,25,16,18,21
5,24,45,34,32,66,111,100,94,92,93,74,73,78,55,69,44,70,57,89,30,24,15,28,39
6,85,81,79,99,110,103,96,75,95,110,104,74,85,72,58,41,38,50,20,35,29,27,16,17
7,27,22,43,74,81,83,109,83,118,103,95,93,80,80,56,67,37,39,25,25,34,10,57,81
8,75,72,84,81,83,89,67,90,97,98,84,79,85,60,61,58,43,37,17,19,16,14,21,27
9,27,27,32,85,108,108,107,126,92,113,85,57,88,81,77,42,44,26,18,14,42,16,22,41
10,21,17,47,65,63,66,55,74,117,106,58,34,55,65,61,61,59,36,27,29,17,23,27,24
11,37,81,93,98,111,75,65,92,89,91,74,65,65,73,47,63,24,23,20,44,36,46,32,37
12,21,35,47,54,57,67,69,81,88,92,66,66,76,83,79,77,66,43,31,28,31,54,39,-1,-1
13,-1,97,93,-1,-1,-1,-1,-1,107,-1,113,-1,-1,-1,-1,-1,-1,-1,-1,47,-1,-1,40,52
14,73,112,-1,-1,-1,107,-1,103,33,114,-1,127,104,105,96,55,47,34,31,17,23,28,30,21
15,48,91,85,101,-1,102,88,-1,117,88,108,84,84,96,81,71,58,35,24,26,26,47,60,65
16,63,58,69,83,102,77,92,121,-1,124,112,78,109,100,68,35,32,29,15,37,36,50,68,71
17,76,68,105,139,137,93,109,119,112,-1,97,111,97,79,82,60,43,41,28,32,49,61,44,59
18,54,52,64,82,93,68,89,95,124,108,125,86,84,74,43,67,35,35,19,25,29,39,43,66
19,70,83,98,108,102,79,88,107,133,106,107,96,99,86,64,58,57,33,33,27,47,68,76,82
20,77,72,79,106,123,83,101,87,99,-1,111,84,74,110,93,68,71,45,37,35,53,48,56,44
21,47,41,71,90,77,83,93,119,109,102,117,89,91,77,68,53,44,39,23,11,20,26,36,50
22,60,59,84,79,84,59,55,74,93,83,72,74,80,52,55,45,27,35,26,19,44,47,63,85
23,83,108,100,88,118,61,80,105,98,81,70,44,76,91,53,56,34,32,30,24,21,40,66,84
24,66,101,97,127,98,77,44,75,92,88,84,66,65,72,55,48,46,36,31,40,40,33,59,48
25,55,56,79,87,109,67,75,84,90,105,95,73,78,71,53,56,28,30,29,45,38,53,52,96
26,69,83,100,101,126,96,78,95,90,-1,84,91,74,96,50,45,45,35,20,37,53,55,65,69
27,68,85,100,96,137,113,62,94,102,108,94,74,73,102,69,63,26,43,36,27,27,33,54,45
28,60,64,60,83,96,74,100,75,105,115,89,88,54,80,70,-1,-1,-1,43,29,27,32,68,67
29,73,80,84,93,98,82,54,113,80,98,83,65,85,92,58,50,39,37,80,79,31,50,80,66
30,66,72,77,87,108,69,55,98,120,91,76,79,89,-1,69,42,42,37,12,26,35,46,67,83
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
