feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,16,19,22,28,16,11,20,9,15,16,8,8,6,3,4,4,3,9,4,10,9,14,18,16,""
02,15,16,21,22,16,19,15,16,16,10,13,11,9,6,10,4,9,7,4,9,16,16,15,24,""
03,19,22,26,23,20,22,15,13,14,14,10,11,10,8,5,5,11,4,8,11,19,16,14,15,""
04,27,19,19,27,24,22,15,23,15,14,15,14,16,8,4,3,5,10,7,10,7,17,21,29,""
05,24,27,17,18,22,17,14,18,17,11,10,14,14,11,7,3,7,8,9,8,11,12,17,14,""
06,12,16,20,27,14,22,15,11,24,13,11,19,12,5,5,8,8,5,9,19,16,11,18,14,""
07,17,18,22,13,24,13,23,13,16,12,15,10,8,9,6,5,9,6,6,12,11,20,21,19,""
08,19,18,23,22,27,16,11,17,22,15,15,13,10,12,11,8,6,7,11,14,16,20,23,20,""
09,18,27,24,25,19,11,15,14,16,12,19,13,12,4,8,6,8,5,7,12,17,24,19,20,""
10,23,19,22,23,20,15,17,12,15,13,8,11,14,6,10,9,3,10,10,13,14,18,21,21,""
11,15,24,27,38,29,14,20,15,24,15,13,11,6,8,6,4,6,9,11,14,15,22,19,23,""
12,24,27,21,23,25,16,20,13,9,13,19,13,9,11,9,6,14,8,9,15,21,23,26,25,""
13,23,26,27,24,25,19,17,16,22,16,14,13,14,6,5,9,6,6,8,11,20,18,19,14,""
14,25,16,23,21,13,16,14,13,15,13,15,11,8,16,4,5,4,12,9,14,12,20,21,17,""
15,22,31,16,14,13,17,12,17,13,13,10,14,9,13,7,6,4,5,10,10,11,18,16,19,""
16,19,20,26,21,22,11,10,9,13,12,18,16,10,8,9,3,4,7,11,12,11,11,17,17,""
17,21,24,30,25,17,12,5,13,17,12,19,9,15,8,8,7,5,4,10,9,12,13,18,17,""
18,14,22,21,18,16,10,20,13,20,16,8,15,8,4,7,9,6,5,14,12,16,16,21,20,""
19,26,19,16,14,19,16,13,15,17,15,19,9,14,6,7,7,2,5,11,13,13,18,18,15,""
20,17,21,19,22,26,19,18,17,15,18,13,18,13,10,9,9,7,11,8,12,13,19,11,25,""
21,15,21,16,29,18,12,10,15,14,16,11,12,8,10,10,5,4,10,12,11,12,13,22,19,""
22,20,19,33,22,18,16,10,12,7,16,23,11,12,9,8,4,7,8,6,8,14,21,15,20,""
23,19,22,19,23,19,10,11,20,12,11,18,13,10,10,8,4,5,12,9,10,12,19,17,27,""
24,20,22,22,21,18,14,28,19,13,12,10,9,15,15,6,10,9,10,5,8,10,22,10,24,""
25,21,25,22,16,15,14,19,12,10,14,14,10,8,8,6,5,4,6,6,10,11,16,10,19,""
26,24,25,31,25,18,16,14,15,12,22,16,15,19,12,9,6,4,8,7,6,12,19,20,11,""
27,22,33,27,17,18,10,21,17,9,11,10,16,10,9,4,6,5,8,12,13,15,22,19,18,""
28,21,22,30,25,11,18,10,19,9,9,17,19,11,13,8,8,14,7,8,16,12,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
