Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,7,20,10,7,13,10,15,14,19,16,9,20,11,17,18,25,10,10,8,8,13,5,2,3
2,3,1,-1,2,11,5,7,3,3,6,12,8,6,14,5,4,6,6,3,1,4,4,3,3
3,2,2,1,3,1,18,2,9,5,16,15,4,10,6,9,6,19,8,181,86,12,5,14,5
4,3,3,3,4,4,7,2,1,9,1,5,7,4,8,20,9,10,9,5,2,9,29,5,7
5,3,3,5,4,6,10,7,5,6,8,10,12,10,11,14,22,23,15,165,114,7,7,12,25
6,6,4,7,5,8,5,6,11,14,4,18,13,15,14,7,9,8,3,3,9,2,12,-1,4
7,5,4,2,9,3,3,6,12,4,6,6,7,11,23,11,5,1,5,8,5,3,6,10,10
8,6,8,7,13,4,2,5,6,6,10,2,9,7,9,8,12,12,4,5,6,1,5,6,2
9,3,4,5,5,33,3,4,6,7,9,34,6,10,11,6,7,1,5,5,6,8,6,6,10
10,6,6,9,13,13,14,9,11,11,9,8,15,11,12,13,15,11,9,8,13,9,4,5,3
11,-1,10,36,32,15,14,11,17,18,23,30,21,32,24,19,22,23,17,8,14,17,16,16,10
12,12,18,12,17,16,11,10,10,7,16,15,16,30,32,31,16,11,10,15,10,11,120,8,88
13,7,16,26,38,17,14,15,13,12,9,25,13,36,32,61,42,32,15,14,12,9,13,15,29
14,9,21,62,58,87,78,25,19,20,19,36,41,41,50,54,44,12,26,22,15,12,15,11,11
15,10,35,29,16,30,15,13,21,31,15,21,18,29,29,29,24,26,28,25,13,17,9,8,13
16,11,11,24,15,27,21,25,19,14,25,33,29,16,25,41,17,20,19,35,20,12,11,11,16
17,16,9,5,9,15,11,16,16,17,20,18,15,21,31,35,25,12,24,22,12,19,13,29,18
18,3,20,13,8,12,8,13,13,16,18,15,16,23,31,19,20,11,16,10,16,7,7,31,4
19,8,7,8,17,30,36,32,68,28,28,33,37,31,36,45,65,37,22,24,9,13,8,6,49
20,6,7,5,4,-1,5,12,11,61,38,44,45,51,25,40,18,31,18,12,7,18,6,23,49
21,8,8,4,7,9,6,9,9,8,9,15,9,21,16,16,15,13,13,7,14,12,11,6,10
22,8,6,7,13,12,9,7,12,22,16,14,15,16,18,27,21,17,15,23,7,12,2,45,6
23,5,3,7,9,13,3,5,5,6,6,6,8,10,11,10,14,13,72,11,5,9,8,8,6
24,10,5,4,8,12,10,8,10,14,23,18,21,13,18,25,23,22,5,5,15,7,9,22,13
25,3,2,6,2,10,5,8,10,17,10,22,16,15,10,17,14,22,48,18,22,15,8,45,30
26,6,9,4,8,6,6,6,14,15,10,21,12,21,16,13,15,13,15,33,8,17,6,6,24
27,3,7,7,7,14,11,8,9,10,56,14,10,15,15,19,15,10,17,11,9,19,6,7,82
28,5,5,9,19,11,11,6,1,10,17,17,8,18,8,20,10,17,13,73,82,20,2,86,58
29,-1,1,3,4,1,4,7,9,8,9,9,12,12,14,17,14,1,10,4,6,13,6,4,2
30,4,3,9,5,1,4,8,7,12,4,6,8,8,7,13,4,6,7,5,6,3,4,5,4
31,2,3,3,3,3,4,5,3,4,4,3,6,2,2,4,16,17,21,14,12,7,2,9,-1,-1
