sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,30,54,48,42,35,18,18,40,16,18,11,10,-1,15,13,41,40
02,39,36,-1,65,-1,11,-1,-1,51,-1,36,-1,19,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,39
03,-1,-1,-1,-1,28,59,-1,-1,90,-1,37,13,-1,10,2,9,4,1,9,5,15,5,17,22
04,23,22,23,9,18,14,16,32,14,16,13,11,11,18,15,27,15,20,-1,9,15,-1,-1,-1
05,75,32,28,35,40,43,38,32,30,28,41,29,18,18,15,17,6,9,9,10,25,26,35,39
06,48,38,43,67,63,-1,93,46,46,45,50,47,33,9,16,12,11,5,4,10,23,26,39,29
07,29,23,29,52,43,39,72,35,28,25,27,18,13,-1,14,-1,-1,12,-1,10,-1,28,46,51
08,43,24,29,21,28,18,58,31,91,19,17,18,12,15,7,17,7,6,8,3,23,17,45,32
09,35,41,33,36,23,30,22,86,61,-1,24,20,25,11,5,3,12,2,3,12,11,20,33,45
10,20,27,19,34,24,34,49,73,60,38,21,16,8,4,3,3,18,8,16,3,13,18,24,26
11,18,24,19,24,24,42,39,22,19,27,33,22,13,18,11,20,7,17,23,19,15,23,32,38
12,32,51,50,27,32,56,29,57,50,36,27,19,20,10,18,12,15,10,21,-1,-1,-1,51,28
13,51,25,53,51,38,42,31,38,39,33,24,14,13,8,9,10,23,12,9,10,13,32,-1,33
14,53,44,36,-1,45,61,102,33,63,53,39,36,24,35,-1,-1,-1,21,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,29,53,-1,-1,-1,15,-1,-1,-1,31,8,6,41,27,-1,-1,-1,-1,11,20,-1
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,34,17,34,50,22,22,41,26,31,22,30,19,9,8,9,5,9,6,9,12,17,15,17,27
18,21,18,21,11,18,17,20,29,13,20,24,12,11,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,59,39,19,13,14,15,2,7,10,8,9,5,11,16,15,20
20,26,38,22,24,30,16,26,26,34,16,18,5,11,3,6,4,7,5,5,14,9,22,37,15
21,25,23,15,31,27,15,22,34,39,15,26,13,11,5,18,14,11,5,9,5,3,13,23,21
22,26,19,21,16,43,30,33,31,46,24,47,25,7,18,6,10,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,17,63,27,47,30,22,14,6,7,13,6,5,4,6,14,17,21,26
25,21,18,19,25,24,25,21,19,42,27,28,43,4,8,10,7,14,7,12,6,10,15,22,19
26,21,18,19,16,32,24,29,51,32,20,17,28,7,4,11,18,4,6,6,6,13,27,19,32
27,27,36,23,28,29,15,38,41,50,34,26,0,7,0,1,7,5,4,7,2,20,11,11,6
28,9,7,12,11,13,10,9,23,21,22,16,17,3,9,15,10,9,12,6,2,6,12,17,22
29,24,43,30,25,12,24,31,24,36,16,12,13,2,3,11,11,3,7,3,12,8,19,23,24
30,22,21,16,29,33,20,54,43,55,23,26,8,13,7,4,11,6,7,2,6,12,10,23,18
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
