jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,43,62,90,96,77,73,62,59,50,53,51,33,39,31,4,20,24,32,20,33,27,33,35,44,""
02,47,46,52,63,44,66,91,68,26,33,20,29,26,15,21,26,15,16,31,24,30,44,48,71,""
03,49,68,79,67,71,69,92,79,75,54,35,49,34,26,43,43,32,58,40,46,73,87,99,78,""
04,111,101,107,127,125,166,132,91,110,104,94,74,26,0,22,13,5,8,14,12,22,54,33,31,""
05,40,41,34,42,60,77,90,52,47,29,29,22,14,24,23,24,29,35,31,37,37,28,6,6,""
06,3,5,2,6,8,9,8,51,39,28,23,21,14,11,8,7,6,6,7,6,8,8,15,13,""
07,12,7,14,15,7,12,20,15,20,9,9,16,13,9,11,-1,2,15,7,18,26,23,16,24,""
08,18,28,22,26,23,44,34,30,27,18,12,15,21,13,16,9,11,21,17,18,20,24,24,17,""
09,31,29,41,35,58,27,32,40,42,38,25,31,21,24,16,7,3,17,24,8,23,20,43,41,""
10,27,38,27,67,42,49,55,38,36,23,30,9,10,23,119,143,20,15,17,28,25,12,51,30,""
11,38,25,39,39,46,55,63,65,57,35,27,33,27,25,11,10,17,27,17,16,38,44,28,31,""
12,25,16,18,12,11,13,15,27,42,27,25,28,16,23,48,144,20,58,28,25,23,21,27,7,""
13,15,11,60,46,31,60,59,45,46,21,19,19,28,14,16,16,17,22,20,15,6,5,11,9,""
14,4,14,31,24,22,34,38,30,23,16,15,21,18,14,7,30,14,13,14,21,28,37,37,20,""
15,22,31,40,28,26,44,64,30,28,20,39,43,17,21,23,13,9,15,21,13,20,31,12,17,""
16,19,21,23,23,29,26,35,22,43,18,25,14,16,12,15,13,5,4,28,17,21,44,78,32,""
17,36,34,28,41,59,64,25,47,37,28,29,26,24,22,16,18,20,19,14,17,13,34,36,52,""
18,26,20,29,48,48,40,23,32,37,25,22,15,14,14,15,9,11,17,20,24,31,22,27,18,""
19,27,9,4,9,5,15,20,9,3,8,3,13,9,11,16,16,12,13,11,13,20,28,72,26,""
20,11,15,12,13,18,24,21,30,25,18,17,19,13,12,9,11,18,9,11,20,30,49,45,35,""
21,39,39,43,24,40,38,46,46,34,13,21,23,6,7,10,17,16,19,29,30,30,35,30,25,""
22,39,24,21,36,34,34,37,48,47,25,19,11,5,13,2,13,11,11,16,29,18,34,34,13,""
23,17,13,16,21,29,69,27,41,32,15,8,14,16,16,13,10,10,11,23,34,71,45,21,13,""
24,21,21,25,29,26,41,27,38,43,28,36,13,11,7,11,7,19,16,15,55,45,40,53,43,""
25,22,31,24,47,38,42,47,45,64,47,50,20,19,13,15,27,41,29,15,45,24,30,24,21,""
26,10,20,10,17,20,44,27,43,55,29,23,17,7,6,18,11,9,9,19,20,32,26,29,76,""
27,3,7,40,26,17,34,41,46,23,18,22,17,10,45,8,10,15,28,46,41,35,48,25,15,""
28,14,23,15,20,34,46,54,23,44,14,26,10,-1,-1,-1,-1,-1,-1,-1,17,21,33,23,16,""
29,17,21,26,33,24,35,46,41,41,18,19,15,18,7,14,12,9,9,16,24,27,47,26,33,""
30,19,20,21,22,19,28,12,23,21,44,15,6,14,8,16,9,24,16,16,12,24,44,25,19,""
31,23,9,7,10,17,27,23,23,35,20,14,10,11,13,10,22,16,20,18,17,25,23,33,35,""
