jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,31,51,53,47,57,88,66,67,70,57,29,33,28,33,29,45,27,12,15,15,12,40,37,61,""
02,95,89,62,90,114,108,135,75,129,51,31,40,29,32,32,36,23,14,15,7,13,19,34,26,""
03,33,39,43,44,50,80,71,62,68,48,26,42,58,35,30,31,33,18,13,12,19,22,27,43,""
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,23,30,40,""
05,32,40,35,46,74,81,110,88,73,71,32,14,24,17,27,34,13,7,13,11,17,11,3,10,""
06,13,9,9,16,13,18,21,27,18,9,4,16,25,33,48,34,11,8,8,9,18,28,34,54,""
07,62,60,72,77,90,113,99,106,102,113,89,89,61,-1,-1,16,6,14,-1,-1,-1,14,39,49,""
08,56,94,89,89,106,126,120,126,123,93,59,62,78,96,112,90,68,33,16,10,30,42,50,56,""
09,50,69,74,117,102,157,154,148,149,126,79,52,59,75,91,80,47,27,18,8,19,23,27,39,""
10,46,44,71,81,96,97,117,117,108,90,70,75,78,72,82,73,59,22,19,18,14,22,36,38,""
11,67,49,75,108,117,113,105,105,61,52,45,47,43,49,62,49,60,22,9,7,12,22,20,33,""
12,35,38,36,57,62,87,98,61,59,81,47,37,53,73,65,62,52,26,22,13,40,22,47,44,""
13,48,85,78,99,111,98,102,118,104,87,88,81,93,77,90,69,47,65,36,21,26,44,65,55,""
14,71,86,90,98,119,139,139,126,94,95,76,74,75,102,108,100,64,37,29,22,24,45,49,44,""
15,74,72,100,97,132,136,129,116,80,85,83,88,70,107,118,102,54,25,27,17,24,43,58,51,""
16,71,67,85,102,104,123,124,134,129,79,99,60,68,86,84,92,50,35,18,19,22,27,48,67,""
17,89,86,97,98,106,109,126,102,106,78,85,101,79,78,95,80,50,34,15,24,22,33,45,57,""
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,43,61,""
19,46,64,46,71,95,87,107,89,57,57,59,67,51,67,56,63,41,27,27,20,17,24,29,32,""
20,38,56,54,52,56,60,76,70,85,64,43,41,50,49,56,56,40,33,22,16,17,17,-1,0,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,36,53,60,67,56,22,14,25,20,25,35,47,""
22,61,42,51,70,77,70,41,56,53,83,61,60,63,65,62,52,45,20,14,14,16,29,27,38,""
23,63,58,77,64,75,78,68,73,68,48,54,95,70,96,71,46,45,18,12,23,20,37,40,46,""
24,43,53,62,72,67,78,81,73,38,49,60,35,54,59,54,34,36,27,21,11,26,32,28,29,""
25,52,51,61,61,62,60,87,65,48,47,50,46,41,34,43,47,37,26,8,14,15,36,47,82,""
26,78,69,80,64,-1,-1,-1,68,92,104,65,100,46,42,38,47,28,18,31,15,16,41,53,93,""
27,84,94,101,118,82,72,53,47,101,53,44,46,63,101,70,71,59,52,36,47,54,26,35,51,""
28,48,83,73,61,70,81,78,74,80,54,64,62,71,60,59,59,41,27,11,22,10,26,42,47,""
29,36,62,57,54,73,99,103,85,81,61,61,42,68,59,44,45,51,36,23,22,15,28,39,57,""
30,64,72,68,74,56,57,71,66,72,62,47,46,60,51,60,37,37,30,27,13,29,30,42,6,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
