jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,104,146,170,190,185,180,200,169,132,120,101,76,67,58,52,57,59,50,48,60,62,69,91,98
02,100,168,181,195,183,192,200,160,140,132,105,90,88,55,53,42,-1,-1,-1,60,82,80,143,122
03,110,118,164,194,156,263,147,126,115,110,118,115,92,70,51,78,46,55,19,33,48,93,113,167
04,158,165,216,183,149,142,138,130,144,163,139,138,-1,-1,48,63,84,-1,51,123,97,102,116,175
05,173,203,203,185,180,207,174,137,121,113,97,61,88,52,63,50,36,37,-1,50,63,87,90,100
06,140,127,140,163,183,124,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,141
07,168,178,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,68,31,18,13,24,26,48,56,113,169,240
08,213,208,192,199,166,-1,-1,-1,-1,-1,-1,-1,118,62,64,41,42,35,22,117,101,46,123,155
09,215,254,178,197,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,31,33,57,87,79,125,136
10,139,161,161,118,178,124,120,87,56,68,40,34,30,29,38,37,43,52,59,51,95,111,118,181
11,193,205,219,162,164,157,136,155,68,85,66,47,38,46,37,40,22,25,47,59,67,78,100,177
12,160,165,172,160,163,131,137,128,65,46,67,46,39,19,74,46,52,45,44,47,56,87,125,153
13,180,203,180,223,155,114,114,133,89,53,44,44,39,33,16,-1,-1,-1,-1,-1,62,83,107,141
14,201,225,181,175,156,109,100,179,78,84,-1,-1,-1,-1,61,73,55,34,50,23,55,-1,137,153
15,196,286,220,210,132,126,117,155,126,83,87,37,49,25,24,23,20,28,20,38,72,108,130,134
16,188,234,193,173,237,166,126,123,101,32,63,54,81,45,43,76,57,65,89,61,101,129,120,141
17,211,217,184,196,143,220,141,90,68,70,-1,-1,50,42,43,52,-1,-1,103,114,110,112,156,166
18,216,229,231,188,132,107,116,99,73,56,61,46,82,48,45,60,50,42,42,50,50,36,79,127
19,137,185,212,172,110,84,113,116,136,78,65,53,52,31,64,64,45,61,84,53,82,122,142,154
20,157,183,111,142,160,115,117,193,84,74,58,64,44,33,36,72,53,68,109,95,99,117,139,147
21,188,197,196,192,185,115,156,189,100,97,66,67,55,37,50,51,43,62,84,85,95,143,125,153
22,197,215,223,201,109,101,121,140,112,109,35,19,33,34,21,28,47,22,31,51,31,66,125,150
23,169,179,155,147,186,144,139,112,79,78,36,20,11,16,18,27,38,45,40,48,77,41,75,128
24,231,265,262,200,188,172,123,108,78,80,51,36,55,49,31,51,49,40,45,55,30,33,89,202
25,218,243,235,233,172,172,175,183,148,117,53,65,47,37,49,77,60,60,45,105,104,34,88,214
26,178,212,240,216,160,112,128,109,103,78,66,58,67,39,54,49,53,50,51,171,109,125,120,170
27,166,198,105,196,153,153,145,170,126,94,108,42,54,63,64,72,35,55,118,159,82,127,143,214
28,232,251,224,184,182,159,164,129,172,159,63,121,115,55,58,93,53,78,70,69,118,170,266,214
29,300,308,321,308,211,161,157,133,138,103,70,62,51,37,40,38,42,78,82,80,82,150,200,278
30,302,354,330,253,298,221,164,122,142,78,70,63,53,40,38,40,47,20,33,67,100,182,149,160
31,200,195,192,201,224,189,208,74,88,67,42,36,46,41,31,32,9,18,42,64,46,63,77,97
