jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,225,502,478,230,535,571,366,""
03,641,623,728,708,770,712,616,506,82,78,77,49,64,44,19,25,247,228,224,518,581,660,559,333,""
04,701,521,807,798,792,708,708,538,575,631,465,15,7,17,11,7,6,8,8,8,10,10,6,8,""
05,8,11,6,16,16,23,10,6,15,13,27,21,19,13,25,21,32,30,8,28,8,6,6,7,""
06,19,9,22,12,27,14,15,17,10,19,12,6,7,17,36,82,347,206,45,40,45,35,115,105,""
07,48,8,16,40,258,21,50,147,101,112,137,57,151,79,197,211,292,139,17,20,148,600,600,107,""
08,72,38,32,12,7,8,8,399,392,220,371,389,250,376,475,526,342,241,540,506,423,463,461,697,""
09,838,831,777,479,451,464,749,728,676,593,192,326,295,168,71,108,6,191,383,409,185,130,253,692,""
10,754,607,664,561,595,477,499,579,343,310,750,775,729,717,755,765,776,734,680,692,719,578,497,571,""
11,357,626,592,491,436,693,699,522,464,164,129,103,117,391,371,218,528,260,347,485,534,677,632,706,""
12,840,852,844,801,566,577,691,608,365,786,691,753,627,424,43,69,95,139,126,37,33,20,28,144,""
13,111,299,220,223,147,88,29,49,32,129,92,14,34,24,8,16,134,61,46,68,73,94,197,34,""
14,22,46,34,53,16,10,18,7,7,9,28,26,12,8,99,285,372,635,498,405,407,482,598,571,""
15,731,474,775,719,463,259,336,420,620,520,505,621,534,593,552,701,703,625,674,488,552,529,633,441,""
16,254,117,157,90,102,99,63,102,69,68,77,39,67,87,161,129,94,113,247,185,254,292,189,332,""
17,262,333,285,201,141,13,15,424,321,179,270,225,319,279,199,271,437,257,507,228,174,235,210,578,""
18,569,794,847,373,273,323,166,80,153,110,96,156,101,49,16,77,116,77,27,22,27,65,23,29,""
19,89,128,137,204,209,229,164,199,263,252,91,82,26,32,9,36,33,54,43,11,74,41,32,24,""
20,1,18,10,2,1,13,14,51,5,14,16,8,27,24,35,2,25,6,8,37,58,34,39,32,""
21,10,6,1,1,4,5,16,31,5,22,17,31,21,40,39,24,51,66,48,53,20,37,24,14,""
22,9,11,12,8,15,19,36,58,40,120,90,52,61,76,60,77,64,63,65,81,70,45,45,20,""
23,-1,12,3,7,6,19,40,31,57,72,60,57,49,65,69,23,37,53,37,58,36,38,25,3,""
24,16,8,4,1,3,18,48,48,13,10,18,6,5,7,4,15,59,59,31,18,27,24,32,18,""
25,-1,2,-1,9,6,30,29,34,9,31,42,25,6,8,8,10,18,38,38,7,28,52,27,16,""
26,5,11,25,16,1,2,40,58,19,12,22,111,234,80,9,9,28,40,32,50,41,35,28,15,""
27,21,21,31,59,62,37,45,51,11,58,112,44,343,641,759,771,724,597,315,589,623,661,672,527,""
28,491,632,616,512,550,217,574,586,746,446,443,457,696,526,634,709,306,382,156,174,211,105,79,66,""
29,59,42,99,123,139,39,64,79,53,121,101,89,100,77,29,38,35,28,25,75,98,23,28,10,""
30,15,1,9,-1,8,21,23,44,59,62,37,41,27,42,40,53,14,60,39,53,23,23,17,9,""
31,8,1,1,3,20,10,18,36,2,23,69,-1,12,6,5,14,21,22,14,12,23,44,35,7,""
