nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,12,7,8,21,17,24,17,32,20,24,30,37,30,21,18,16,10,14,10,7,13,13,5,1,""
02,2,6,4,10,14,7,15,10,9,12,16,10,12,8,6,8,6,9,4,10,7,3,6,17,""
03,21,20,7,7,5,4,14,10,15,13,14,15,18,12,10,6,0,4,1,6,1,5,10,4,""
04,1,3,16,4,9,6,11,14,10,9,10,9,15,14,12,8,4,9,4,7,5,6,1,1,""
05,6,8,4,7,8,11,11,11,11,18,20,10,14,9,5,16,11,13,7,2,3,6,2,2,""
06,2,9,7,10,8,18,9,11,16,12,8,5,6,3,8,7,5,2,6,1,4,4,3,4,""
07,4,10,3,1,5,3,4,4,4,2,5,8,6,6,7,5,5,1,6,4,3,2,5,2,""
08,4,4,3,2,3,2,6,5,2,8,6,9,10,7,5,2,7,6,4,3,6,3,0,2,""
09,1,5,7,8,8,9,8,10,9,16,11,8,7,10,13,13,5,5,5,5,5,4,2,3,""
10,5,7,4,9,10,9,7,18,16,15,25,11,16,14,12,8,8,7,6,8,3,4,3,4,""
11,5,4,5,2,8,8,21,13,15,13,9,18,9,13,11,14,7,7,13,7,7,11,5,10,""
12,5,6,6,10,10,19,19,27,21,24,34,18,27,17,11,21,9,10,11,6,12,9,6,7,""
13,4,11,8,6,9,10,18,14,32,15,22,22,23,22,32,19,17,13,13,14,15,8,10,11,""
14,17,11,18,6,7,17,17,16,18,18,17,24,-1,-1,10,8,-1,-1,-1,0,0,0,0,0,""
15,0,0,0,7,10,18,13,21,9,15,16,15,21,19,6,13,7,7,11,8,5,2,2,2,""
16,1,2,4,7,6,5,16,18,13,13,18,24,18,16,17,30,24,14,18,14,7,8,6,6,""
17,8,8,5,7,3,6,15,18,25,18,23,25,16,24,18,22,27,15,20,18,14,10,4,2,""
18,9,13,8,9,8,11,16,18,20,22,22,20,18,14,11,18,16,21,20,21,16,9,11,3,""
19,5,0,15,5,9,14,14,12,8,15,22,27,29,23,19,12,10,13,6,10,15,-1,1,5,""
20,3,4,8,4,13,20,14,13,16,16,15,12,19,8,5,9,9,14,14,9,12,8,4,3,""
21,4,0,5,5,3,4,4,9,1,10,7,12,13,13,5,13,3,4,5,-1,-1,-1,-1,3,""
22,3,5,4,5,10,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,16,9,5,7,""
23,4,8,4,9,12,12,16,18,21,17,21,23,22,20,18,16,19,12,10,13,8,6,2,6,""
24,6,12,7,6,12,12,22,12,23,21,12,16,12,28,16,17,8,14,10,5,7,7,11,9,""
25,27,15,26,20,10,4,11,16,25,21,23,15,20,18,21,12,16,22,21,10,9,11,11,9,""
26,7,8,10,18,17,10,18,19,22,32,27,22,18,25,25,24,28,23,18,15,12,15,8,10,""
27,6,9,12,15,19,15,26,13,30,16,17,27,23,14,26,22,24,23,37,26,18,19,17,13,""
28,11,6,5,10,7,13,15,16,19,22,24,20,17,21,14,17,27,29,14,6,13,6,4,19,""
29,17,10,13,16,17,16,20,19,17,19,26,24,27,33,20,24,14,20,13,20,16,13,7,16,""
30,14,10,5,10,15,16,25,24,15,26,21,21,25,22,15,21,22,16,20,19,10,15,9,9,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
