Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,97,109,98,134,107,115,102,136,71,91,56,80,72,82,78,66,61,40,46,53,80,66,89,71
1,108,112,120,142,131,91,82,84,65,81,54,75,99,98,104,78,56,59,63,60,55,61,86,110
2,114,153,129,163,168,134,140,156,160,129,137,109,108,108,110,91,84,68,59,50,77,84,97,128
3,84,128,119,137,137,145,140,150,141,140,141,121,61,84,89,82,45,43,69,61,72,75,97,103
4,115,130,131,137,151,178,146,193,166,115,128,104,126,121,105,112,62,47,49,53,40,55,94,110
5,109,125,139,154,175,153,150,126,60,118,68,67,43,81,71,71,45,49,47,46,53,75,84,105
6,111,107,134,157,157,131,158,160,116,110,100,93,89,69,63,78,47,25,30,48,50,67,87,103
7,129,115,173,161,44,104,123,107,86,96,118,108,96,80,54,44,30,15,15,28,31,26,69,55
8,69,66,88,120,88,117,149,115,127,92,69,45,53,62,90,55,26,13,33,41,61,57,52,109
9,121,130,145,189,153,171,104,85,77,81,83,65,34,32,29,22,29,13,14,9,14,35,36,30
10,29,41,49,64,56,111,134,24,0,1,42,79,73,145,128,86,57,34,36,51,61,50,69,90
11,55,50,71,89,98,151,163,130,77,51,41,46,52,54,140,116,80,67,59,67,56,87,85,94
12,83,70,110,110,105,201,193,131,136,115,107,120,59,49,67,90,61,40,37,45,70,81,86,121
13,171,176,198,185,142,136,141,117,118,106,108,86,118,142,119,93,63,49,54,71,69,66,82,111
14,137,165,180,201,235,258,193,196,183,139,136,126,121,162,148,116,76,41,31,57,48,51,60,83
15,100,122,145,154,150,106,131,106,104,119,94,83,126,97,105,74,62,48,37,42,55,76,80,72
16,101,96,102,115,125,127,103,115,126,107,63,77,102,108,94,86,60,95,69,74,67,86,254,118
17,127,132,154,157,168,159,170,147,149,139,112,91,117,110,99,102,55,55,47,61,111,95,95,107
18,130,112,139,144,148,112,143,130,125,155,81,61,90,81,115,63,47,27,20,34,38,49,64,72
19,74,96,113,93,111,133,111,139,142,138,126,72,121,129,145,158,116,85,54,86,111,123,144,158
20,203,155,174,156,131,203,227,193,175,167,154,173,155,176,125,51,88,85,94,88,98,114,131,139
21,166,156,183,214,187,118,153,144,150,99,102,88,59,105,118,99,69,49,64,66,79,99,114,157
22,152,202,192,163,180,139,163,109,65,82,120,49,94,103,81,79,62,52,84,67,95,128,139,145
23,129,143,164,165,190,186,187,199,169,174,131,92,123,118,111,94,74,62,57,64,76,114,120,113
24,130,137,152,148,143,161,214,243,226,190,180,71,42,156,162,148,118,90,75,79,114,122,169,168
25,197,211,240,198,231,241,223,215,172,115,94,115,114,107,103,99,63,45,35,43,79,66,98,120
26,122,153,136,140,110,122,122,138,122,110,86,97,135,118,99,83,59,55,51,34,37,77,80,97
27,106,120,136,104,112,123,140,135,96,99,91,95,90,92,91,72,43,40,62,79,97,69,71,77
28,81,85,116,114,106,92,77,91,77,71,57,66,59,66,57,48,44,32,23,30,19,32,29,40
29,48,43,39,51,45,62,46,64,62,67,59,59,54,60,60,50,35,35,36,27,37,36,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
