Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4,5,5,1,2,3,3,3,-1,3
2,1,1,-1,-1,2,7,1,-1,-1,-1,-1,1,1,-1,1,1,1,5,2,3,4,1,4,1
3,1,1,-1,-1,-1,-1,1,-1,-1,-1,2,1,-1,2,-1,-1,-1,1,5,7,2,-1,1,1
4,-1,-1,1,1,1,1,-1,2,-1,-1,-1,4,-1,3,2,1,4,-1,1,2,4,-1,1,-1,-1
5,1,1,-1,-1,1,1,4,-1,-1,-1,1,-1,-1,3,1,2,-1,4,9,1,2,2,-1,-1,-1
6,10,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,2,1,3,5,3,5,7,2,1,1,1,6
7,-1,7,1,1,1,4,6,-1,1,1,-1,5,4,11,4,2,4,2,4,2,10,5,2,2
8,6,-1,1,2,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,3,2,-1,-1,12,2,2,-1,-1
9,2,1,10,-1,-1,-1,-1,-1,6,1,-1,1,-1,1,1,5,-1,3,3,-1,3,1,2,1
10,5,1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,3,2,4,4,1,-1,4,2,3,9,-1,4
11,6,3,-1,-1,-1,1,-1,-1,-1,-1,1,-1,2,2,3,5,4,3,2,-1,2,7,3,5
12,3,3,2,2,4,-1,1,-1,-1,1,-1,-1,4,8,6,-1,6,7,7,6,7,6,5,9
13,11,6,20,-1,3,2,3,1,-1,-1,-1,-1,-1,-1,-1,13,23,20,17,31,18,20,26,17
14,11,9,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,13,-1,-1,7,16,21,6,10,18,2
15,1,3,1,-1,1,3,12,-1,-1,1,-1,-1,1,2,2,3,7,2,3,8,4,11,4,10
16,3,3,4,-1,2,-1,-1,1,1,-1,1,-1,-1,1,2,7,7,2,9,1,1,7,3,1
17,3,1,2,1,2,-1,-1,2,-1,-1,1,1,-1,4,1,3,2,17,1,2,4,3,3,4
18,1,4,1,-1,-1,3,-1,2,-1,-1,2,-1,-1,1,-1,3,1,2,-1,9,1,3,1,1
19,1,5,2,3,-1,5,-1,3,3,-1,1,3,2,1,1,1,3,4,1,1,1,6,1,2
20,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,3,-1,-1,5,3,1,2,1,7,3,3,1
21,1,1,-1,1,1,1,2,-1,1,-1,1,1,3,-1,-1,2,-1,1,2,4,2,-1,-1,2
22,1,5,-1,1,-1,2,1,-1,-1,2,-1,1,1,1,1,1,1,-1,-1,3,2,1,-1,-1,-1
23,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,1,1,4,1,-1,1,-1,2,2,3
24,-1,-1,1,-1,-1,3,1,-1,1,2,-1,-1,1,-1,-1,-1,-1,3,1,2,2,2,-1,-1,-1
25,-1,-1,-1,5,-1,1,1,1,2,-1,2,1,-1,3,1,1,-1,3,-1,1,1,1,2,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,3,1,1,1,1,1,2,1,-1,-1,-1
27,-1,1,1,1,1,4,1,-1,-1,-1,-1,-1,-1,-1,3,-1,5,-1,2,-1,-1,1,-1,1
28,-1,2,4,-1,1,2,-1,-1,1,1,1,-1,3,-1,-1,3,2,2,-1,2,1,1,1,-1,-1
29,4,1,3,3,-1,-1,1,-1,2,-1,-1,1,1,7,2,-1,-1,2,-1,2,-1,-1,-1,1
30,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,1,1,1,2,1,-1,-1
31,-1,-1,1,1,1,1,-1,1,-1,-1,4,-1,2,-1,3,1,2,2,1,4,1,1,1,2
