Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,9,10,8,6,4,6,6,2,2,7,5,6,-1,-1,-1,26,20,15,25,38,19,19,14,12
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,14,12,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,6,6,3,6,5,4,8,13,12,12,16,23,16,20,21,19,12,19,15,11
4,9,8,6,12,8,3,-1,10,8,5,6,6,16,10,18,10,26,22,22,29,21,22,17,17
5,11,14,6,8,3,-1,-1,-1,-1,-1,-1,-1,10,17,25,24,15,27,33,25,29,9,17,12
6,-1,-1,3,-1,-1,-1,-1,-1,-1,6,4,8,7,17,18,23,26,25,27,24,25,17,12,15
7,12,17,14,5,9,8,-1,6,-1,-1,6,7,13,25,24,19,31,22,24,22,18,13,13,22
8,21,-1,-1,-1,-1,-1,-1,-1,-1,5,4,11,2,19,23,22,17,26,23,24,35,16,17,14
9,17,16,9,6,5,-1,-1,-1,8,2,2,6,16,17,20,29,14,23,20,28,17,21,19,8
10,16,-1,-1,-1,-1,-1,-1,-1,4,3,1,12,10,10,20,26,18,22,27,25,21,22,16,20
11,-1,8,-1,-1,-1,-1,-1,-1,6,5,6,8,10,10,14,19,15,30,26,25,26,18,11,12
12,26,23,12,17,11,10,10,6,9,5,6,8,17,16,18,20,22,34,27,32,25,24,26,19
13,30,27,16,14,6,5,5,3,4,7,3,3,8,11,18,34,44,38,45,55,55,51,50,39
14,17,15,8,14,13,5,4,2,3,2,8,5,6,7,21,21,26,28,29,39,42,30,29,23
15,13,10,7,6,6,5,3,-1,-1,-1,3,4,7,4,11,12,14,17,23,29,26,26,25,11
16,10,8,13,11,9,6,3,4,4,8,5,5,2,13,12,-1,-1,-1,-1,-1,-1,16,14,11
17,13,8,7,5,11,4,3,4,3,2,5,1,6,9,9,13,11,18,13,12,15,20,16,16
18,7,9,10,11,9,4,6,3,-1,1,10,8,10,11,9,21,14,15,16,22,10,8,8,9
19,10,14,8,10,4,12,8,-1,-1,2,4,8,17,13,8,8,13,14,14,10,8,12,9,6
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,19,13,20,6,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,15,13,9,19,12,18,-1,-1,-1
22,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,11,12,9,20,22,20,14,14,13,4
23,3,11,12,11,7,9,9,4,4,8,4,8,11,9,15,4,17,19,13,12,13,8,10,8
24,7,10,-1,8,11,7,7,2,5,5,2,9,6,11,14,5,11,16,13,16,10,13,7,2
25,6,6,5,6,4,4,6,8,3,5,3,2,5,10,12,12,16,20,17,19,16,20,12,9
26,8,8,12,2,12,6,8,6,4,4,9,4,5,16,13,12,8,14,22,12,15,11,11,2
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,18,14,17,3,11,6,9,8
28,-1,12,-1,14,6,5,8,4,8,3,3,4,7,13,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,10,-1,14,6,-1,-1,-1,-1,10,7,4,8,4,12,10,10,8,12,13,12,11,10,9,10
30,15,9,4,-1,-1,4,8,3,2,3,3,5,4,10,10,9,18,13,16,8,15,13,15,5
31,8,9,8,7,2,-1,4,5,1,4,4,5,9,8,10,10,19,19,12,17,12,17,15,8
