aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,15,12,11,20,11,9,10,11,4,5,4,9,8,9,3,2,2,0,2,5,2,3,6,3,""
02,14,10,11,21,10,8,9,11,10,11,7,11,10,8,3,15,4,4,2,2,0,7,6,10,""
03,10,8,15,14,23,13,12,10,7,12,13,14,11,6,3,7,2,2,1,3,2,1,5,20,""
04,13,10,11,15,13,6,7,12,14,18,8,24,6,11,6,1,13,2,1,5,2,3,7,12,""
05,9,22,10,10,7,13,15,6,12,10,14,15,9,3,5,4,7,3,3,1,5,4,4,5,""
06,10,13,7,14,11,10,17,7,18,13,17,21,8,7,8,5,5,5,4,1,1,6,4,6,""
07,4,8,10,21,8,7,19,12,7,9,10,10,4,4,1,8,2,6,1,2,4,3,3,16,""
08,8,7,16,9,9,12,22,18,20,7,8,8,11,7,2,3,4,1,2,5,2,1,3,3,""
09,9,7,8,15,7,10,14,13,10,8,9,9,3,6,13,12,3,5,1,2,2,1,9,9,""
10,8,13,20,9,4,12,15,14,14,11,11,10,20,3,8,15,8,5,3,6,5,3,6,12,""
11,4,14,9,13,13,23,11,24,16,16,25,21,28,19,13,11,4,7,7,2,6,3,7,16,""
12,17,19,25,37,34,55,29,53,64,48,36,42,30,25,28,18,12,8,5,8,10,11,20,14,""
13,24,23,32,18,18,28,15,30,27,30,26,31,30,10,13,8,5,4,1,2,4,2,12,6,""
14,6,11,24,12,24,15,7,17,20,13,15,19,16,11,8,10,10,3,2,6,4,6,2,7,""
15,1,7,17,9,12,8,10,8,11,15,14,11,10,11,9,9,8,3,1,1,3,5,6,4,""
16,9,14,13,4,4,7,4,19,10,7,9,8,14,9,7,6,7,2,1,1,3,5,6,4,""
17,9,14,13,4,4,7,4,19,10,7,9,8,1,12,6,5,6,2,1,1,2,1,8,6,""
18,4,7,7,11,11,11,10,10,6,7,5,12,7,6,6,5,4,3,1,5,3,4,1,3,""
19,5,7,7,9,6,17,9,13,12,12,5,7,14,5,8,5,6,2,1,1,1,1,7,3,""
20,7,10,13,15,11,10,4,9,7,2,9,8,9,7,6,4,5,7,0,1,0,3,2,8,""
21,10,9,9,13,5,4,4,11,6,7,5,4,12,6,7,1,5,6,0,3,0,3,5,5,""
22,9,8,12,11,16,15,9,13,7,9,6,10,8,6,4,2,6,1,3,5,3,6,10,5,""
23,10,8,14,6,4,8,9,8,8,6,9,2,9,2,7,4,4,4,2,1,1,5,1,8,""
24,6,8,10,12,11,4,4,5,3,9,5,3,0,5,4,6,3,1,1,1,3,0,6,9,""
25,4,8,12,9,13,6,7,5,7,1,6,5,8,12,6,4,5,3,3,4,3,0,9,4,""
26,8,12,10,16,8,11,10,7,4,6,10,4,13,6,8,6,5,2,2,3,3,4,9,10,""
27,11,7,7,17,12,15,7,12,11,8,11,3,13,1,5,3,5,3,3,1,0,4,4,10,""
28,7,12,5,13,11,9,21,9,5,7,8,5,4,5,2,5,6,4,2,0,1,5,2,7,""
29,5,6,0,12,10,8,10,16,13,6,4,9,6,3,4,4,3,2,0,0,4,2,0,3,""
30,3,14,7,6,9,9,3,7,3,9,7,22,3,15,5,6,3,1,4,2,3,6,8,7,""
31,6,9,10,7,10,9,10,11,4,7,8,6,6,5,2,8,5,3,2,1,3,1,1,-1,""
