aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,80,72,95,84,98,100,87,97,100,78,85,101,73,78,67,62,42,34,33,33,38,55,72,84,""
02,98,128,129,122,148,122,135,127,116,124,116,97,117,117,80,66,63,49,43,43,26,64,54,46,""
03,45,100,71,76,75,101,85,130,113,107,81,78,83,74,69,52,31,32,36,61,52,66,52,61,""
04,67,84,101,91,132,129,133,127,106,101,85,37,42,68,56,18,27,33,47,38,61,44,57,55,""
05,75,95,93,84,124,146,149,100,108,62,77,70,57,23,47,31,32,49,41,40,38,72,72,75,""
06,75,105,126,124,133,148,132,127,122,123,109,94,87,91,91,59,75,94,76,78,89,71,82,88,""
07,104,100,111,121,116,124,138,144,117,89,86,100,94,97,102,92,65,11,66,60,72,83,88,92,""
08,122,125,145,133,141,130,143,126,106,91,115,118,89,95,59,91,58,60,80,48,36,35,84,89,""
09,115,105,142,143,153,126,128,117,130,124,147,100,102,100,85,80,83,84,79,88,79,93,101,88,""
10,86,98,141,128,128,158,141,159,132,102,138,138,133,109,110,88,79,96,68,86,87,103,72,81,""
11,80,85,99,111,100,155,162,160,164,168,161,145,164,153,140,141,115,49,48,62,72,77,125,187,""
12,192,231,273,277,228,234,254,228,183,203,204,196,161,121,171,113,88,94,80,82,84,128,113,109,""
13,136,179,179,184,177,200,183,142,141,140,89,109,109,82,73,74,85,67,53,69,77,100,107,94,""
14,109,128,111,134,130,148,147,166,128,109,116,108,101,83,87,61,87,97,78,57,48,47,58,68,""
15,67,58,69,77,86,106,90,86,68,72,72,86,81,67,73,85,75,84,87,87,115,101,108,103,""
16,120,124,123,151,147,135,110,80,73,88,54,63,64,74,69,57,69,63,57,52,55,79,71,69,""
17,89,96,73,98,109,110,100,118,80,87,86,87,88,82,77,81,81,66,77,55,42,51,76,84,""
18,89,113,121,133,139,144,135,127,116,111,93,94,113,98,104,87,76,67,65,51,37,54,66,67,""
19,68,77,67,93,72,93,97,106,102,66,69,68,71,72,65,69,67,93,60,51,81,55,68,68,""
20,77,111,102,95,87,91,131,141,128,139,108,113,124,116,108,118,100,77,75,61,65,85,83,91,""
21,95,93,100,124,119,107,104,111,101,81,85,90,78,79,89,95,94,74,61,50,51,65,52,67,""
22,70,72,76,77,78,80,77,96,72,59,66,85,57,67,68,104,109,112,71,47,63,56,66,65,""
23,75,83,92,86,75,88,100,91,106,82,72,71,68,57,59,47,46,42,47,60,58,41,43,63,""
24,81,55,72,80,74,76,88,94,69,68,73,72,63,76,56,62,65,52,41,54,63,54,76,63,""
25,92,96,102,97,87,111,89,86,89,54,78,76,60,43,59,42,47,30,38,31,25,79,67,68,""
26,73,59,91,61,67,84,112,81,65,54,65,58,42,54,61,43,34,37,38,36,45,46,48,53,""
27,61,71,74,51,63,80,73,68,83,78,83,74,69,84,53,62,71,63,60,58,70,58,53,59,""
28,73,76,76,73,87,120,93,98,81,61,59,73,69,63,78,51,67,44,48,57,62,78,64,61,""
29,59,82,77,79,89,82,85,82,59,112,115,86,76,101,80,66,63,66,37,51,32,28,34,36,""
30,51,60,49,48,85,98,126,61,69,68,77,48,83,67,54,57,70,65,56,49,61,84,80,110,""
31,88,61,68,73,74,102,132,82,79,62,94,63,62,72,49,45,61,54,60,38,20,51,55,4,""
