may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,40,53,40,76,69,82,121,133,170,174,192,217,232,236,279,290,304,302,272,196,185,204,121,89,""
02,61,47,31,56,62,91,129,159,186,194,185,132,5,81,184,302,300,288,251,184,190,158,91,112,""
03,49,36,50,44,62,109,123,128,170,155,195,191,170,197,199,284,317,229,245,245,189,165,60,24,""
04,22,19,39,143,70,50,82,86,78,105,148,206,174,183,181,210,219,174,229,10,2,0,47,93,""
05,52,20,49,59,60,91,91,105,99,130,154,201,213,182,210,220,211,211,207,204,157,108,76,63,""
06,40,35,43,55,57,78,114,126,147,152,159,232,208,187,208,262,288,294,272,247,186,161,90,76,""
07,35,39,44,68,61,73,102,111,136,164,177,225,190,187,231,254,284,279,272,245,219,164,117,85,""
08,47,36,52,71,76,78,115,107,149,173,181,197,218,191,221,213,234,211,254,198,191,183,135,84,""
09,69,34,44,59,83,98,108,131,186,189,242,219,245,283,271,281,281,297,281,251,205,189,148,81,""
10,55,32,50,83,59,71,110,120,154,179,197,235,234,233,267,317,356,320,277,247,221,198,138,73,""
11,25,41,42,60,48,56,108,118,139,143,169,204,212,208,235,271,299,289,247,254,218,155,105,79,""
12,58,25,46,32,29,67,77,105,126,161,176,185,168,221,239,297,303,297,268,263,227,224,170,85,""
13,43,30,37,57,68,59,79,106,130,159,178,204,202,197,271,287,296,306,265,270,228,184,134,72,""
14,50,30,37,54,48,57,99,122,155,142,188,188,218,223,267,277,270,293,233,228,198,168,141,62,""
15,29,23,33,28,31,60,76,99,119,131,147,188,161,172,214,248,232,222,227,207,160,129,101,76,""
16,34,34,31,44,45,45,67,113,148,196,196,211,248,280,274,280,288,273,261,222,205,165,111,72,""
17,36,39,46,44,58,71,79,134,166,176,184,227,247,254,245,277,242,268,250,214,157,165,111,66,""
18,32,14,25,36,52,59,65,77,108,119,177,230,191,146,201,238,228,239,204,195,170,146,95,64,""
19,37,22,33,49,45,67,87,82,79,121,167,184,183,209,234,255,285,252,224,172,122,89,59,30,""
20,26,15,16,18,27,40,62,88,118,128,172,192,193,217,217,248,226,202,187,191,185,68,86,75,""
21,32,37,82,72,60,77,71,89,119,171,151,224,276,232,263,313,301,309,308,280,290,241,192,141,""
22,83,86,98,96,90,117,131,155,179,206,217,256,299,275,318,299,291,317,288,291,263,201,110,66,""
23,32,26,46,77,78,73,120,127,169,180,212,165,215,235,225,252,205,229,222,201,180,155,115,45,""
24,66,44,34,0,46,135,86,97,127,163,150,142,141,182,215,217,200,199,144,170,237,198,141,83,""
25,77,76,80,63,78,93,116,176,199,183,231,227,235,233,238,256,269,271,259,279,223,174,129,67,""
26,55,61,93,110,86,102,125,171,191,184,239,272,272,265,277,316,316,305,288,301,242,252,150,89,""
27,56,49,69,70,83,107,136,157,152,186,219,244,227,242,263,310,324,327,305,285,226,153,156,88,""
28,52,45,54,71,78,80,141,161,208,205,219,259,234,250,277,297,283,323,271,285,247,212,152,97,""
29,69,56,112,261,79,71,101,189,250,228,261,3,6,0,1,5,183,245,251,235,206,151,94,68,""
30,42,35,35,35,70,67,110,133,176,166,186,236,231,272,264,300,302,310,251,159,176,150,113,73,""
31,51,46,64,48,66,58,87,102,173,199,201,218,174,221,200,283,235,238,195,206,184,170,-1,-1,""
