jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,74,74,71,81,77,75,71,46,73,59,52,45,52,48,45,44,32,34,24,19,-1,34,59,61,""
02,76,64,74,86,88,60,78,53,50,55,57,51,47,51,51,34,33,15,22,26,21,28,37,64,""
03,85,77,84,94,78,72,68,-1,82,49,43,24,29,-1,-1,-1,33,24,31,34,20,30,40,69,""
04,67,85,70,71,75,76,57,67,83,69,38,35,42,43,40,47,40,29,13,26,-1,24,34,49,""
05,80,73,72,77,83,85,76,58,41,43,27,16,25,25,20,22,16,23,22,36,-1,42,38,49,""
06,64,84,77,65,77,58,51,57,27,36,18,27,30,36,35,34,23,24,29,23,25,35,38,56,""
07,70,69,77,75,71,68,65,56,57,40,40,38,43,39,36,39,36,32,34,23,22,36,38,33,""
08,87,61,89,75,67,58,64,49,32,37,30,17,35,22,22,19,30,36,28,24,16,29,46,49,""
09,74,88,74,75,69,73,79,67,56,36,31,16,33,34,23,18,19,19,10,16,22,34,41,47,""
10,66,65,64,61,64,68,55,53,49,51,48,27,45,39,38,34,30,25,11,19,18,32,46,46,""
11,70,65,85,58,69,62,49,44,29,27,31,20,33,39,30,32,41,43,18,-1,-1,-1,-1,46,""
12,56,63,58,73,61,57,60,49,54,16,30,20,10,30,35,26,21,14,20,16,24,25,35,40,""
13,70,75,63,73,72,72,58,55,51,29,30,23,22,34,36,32,26,22,19,28,23,-1,44,60,""
14,75,60,62,82,71,55,57,76,55,39,31,46,22,34,19,23,26,19,23,17,26,28,47,70,""
15,76,63,58,70,61,53,74,55,52,54,39,37,26,31,35,29,29,27,27,25,19,-1,31,39,""
16,72,65,68,62,53,51,48,46,46,31,32,27,26,24,28,30,26,17,9,10,-1,43,56,71,""
17,74,65,63,52,50,58,51,46,61,47,36,21,39,40,32,29,27,21,26,25,32,40,49,64,""
18,90,74,70,65,69,74,51,50,59,50,48,30,33,25,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
19,-1,-1,-1,-1,-1,54,59,55,45,47,34,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,""
20,48,57,50,51,33,43,41,45,40,24,10,22,21,17,14,26,26,16,24,16,13,25,24,47,""
21,64,61,57,57,75,47,46,36,30,34,35,24,22,24,25,21,18,12,18,-1,-1,32,45,69,""
22,101,87,80,91,72,48,63,39,65,49,34,40,27,42,31,33,32,24,18,27,25,22,48,53,""
23,85,74,76,72,70,55,66,43,47,50,53,52,33,42,42,33,29,22,24,28,17,-1,28,64,""
24,81,86,87,78,90,76,62,56,41,34,38,44,24,33,27,28,31,26,17,17,24,41,39,73,""
25,86,99,98,78,83,63,52,48,46,40,23,43,39,44,36,33,23,28,20,19,19,32,38,58,""
26,77,114,105,97,92,64,52,71,44,24,19,32,33,43,39,26,11,22,23,20,-1,26,49,60,""
27,77,98,82,101,80,63,57,49,27,26,27,39,34,34,31,34,21,22,20,21,-1,32,48,55,""
28,113,121,110,95,92,105,62,59,56,51,37,41,-1,-1,-1,33,21,27,20,31,-1,-1,53,75,""
29,81,104,95,94,97,73,51,46,33,51,46,35,41,32,22,18,19,32,19,32,-1,-1,33,82,""
30,84,74,78,75,63,60,37,41,54,40,28,37,42,29,36,34,24,28,25,22,-1,-1,41,75,""
31,105,91,83,94,88,80,60,39,54,30,36,32,28,37,29,30,23,24,11,19,-1,31,52,64,""
