sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,68,81,91,84,99,98,68,76,73,57,57,49,37,24,28,25,25,28,27,41,56,66,67,56
02,78,107,100,114,79,84,72,70,71,57,52,49,38,28,29,34,25,22,26,32,44,68,86,68
03,91,109,84,82,84,107,94,95,55,63,46,32,31,27,28,37,22,18,21,34,41,53,70,82
04,88,89,99,98,91,105,93,89,60,56,49,38,24,28,29,31,13,23,16,27,37,43,62,61
05,74,87,88,73,66,59,54,65,56,46,33,29,28,40,19,24,22,23,25,-1,46,50,45,65
06,71,79,79,102,79,73,59,73,62,77,64,36,36,23,14,27,16,15,16,22,38,58,61,89
07,90,88,106,100,79,69,78,63,64,57,32,27,28,24,34,26,26,22,20,25,51,54,67,69
08,75,91,96,104,98,63,91,90,71,54,36,33,32,25,21,28,20,23,24,19,54,57,59,67
09,74,90,115,93,96,103,78,61,65,56,51,45,30,31,24,23,23,22,31,25,49,54,59,69
10,49,81,98,88,88,95,73,89,54,53,47,28,29,17,19,18,17,18,-1,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,44,57,56,66
12,91,94,79,101,73,97,73,78,65,61,37,29,24,14,24,17,26,25,13,21,40,46,55,79
13,80,97,117,110,87,74,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,92,87
14,98,109,94,100,89,65,78,76,82,63,30,33,-1,20,32,26,22,20,30,31,53,59,86,121
15,104,116,128,114,92,99,83,73,61,67,47,38,42,25,25,17,24,26,19,28,39,65,93,81
16,101,100,111,117,104,101,98,74,70,49,39,48,37,37,21,16,16,30,16,31,50,43,48,59
17,90,101,120,77,75,74,64,60,69,54,37,48,28,15,27,31,37,29,18,45,44,59,59,106
18,85,83,79,113,142,102,75,74,67,61,51,31,28,29,21,23,17,26,18,26,34,54,69,101
19,104,96,100,106,100,92,78,80,87,46,38,42,41,32,24,21,12,23,29,28,49,44,67,69
20,79,96,100,128,83,73,52,64,69,76,59,36,51,43,28,15,16,25,18,25,36,49,58,77
21,78,116,122,82,98,68,98,94,78,55,41,43,35,22,20,24,17,20,21,20,38,70,61,72
22,100,87,82,111,96,93,65,98,70,86,44,37,36,23,19,29,19,26,24,23,56,69,85,107
23,96,74,97,91,95,103,81,68,58,63,48,46,41,25,16,19,17,25,18,26,47,68,61,80
24,86,90,105,88,67,62,74,77,75,55,41,38,36,53,26,24,20,23,18,26,38,52,61,67
25,68,75,71,92,90,87,57,59,78,58,53,37,32,37,28,16,15,10,17,20,38,59,55,99
26,93,82,68,107,121,72,68,83,81,56,59,62,44,38,28,16,15,23,29,38,56,73,70,77
27,111,99,118,126,121,79,111,82,83,77,59,42,47,-1,24,17,20,35,34,30,51,65,78,96
28,81,94,115,107,93,82,-1,-1,65,62,57,60,36,38,25,10,16,28,31,39,45,69,70,92
29,92,98,123,105,74,78,87,98,73,75,39,34,29,35,29,18,10,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
