jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,60,67,64,87,74,86,91,88,73,63,83,85,89,54,38,38,30,28,26,24,28,31,25,36,""
02,38,59,51,66,74,95,98,75,57,57,52,76,57,49,46,37,33,26,28,20,27,32,43,38,""
03,41,40,36,61,60,54,63,65,42,49,45,62,58,28,41,48,31,28,39,23,43,36,30,36,""
04,46,39,48,49,59,63,60,59,49,37,38,36,51,47,38,22,25,41,23,26,37,32,29,36,""
05,44,42,52,52,59,45,71,69,44,49,52,68,45,32,38,38,30,19,26,20,28,41,38,31,""
06,39,47,39,38,49,50,70,41,29,37,34,37,42,52,25,31,35,36,23,21,21,30,43,58,""
07,61,74,77,85,93,90,106,113,96,59,58,93,52,53,50,38,30,31,31,30,46,19,48,47,""
08,67,74,71,75,63,90,86,110,132,102,114,112,59,78,72,88,76,44,37,33,40,46,39,55,""
09,45,63,69,76,70,110,108,128,120,113,115,118,97,76,75,71,82,69,26,24,28,31,25,36,""
10,57,70,72,92,80,94,91,71,69,54,49,47,54,59,49,51,46,38,36,32,37,46,60,47,""
11,34,51,55,43,60,78,68,81,59,55,44,42,47,40,37,64,35,53,40,41,49,50,47,45,""
12,60,48,88,99,50,49,92,77,67,59,46,67,55,54,52,58,56,42,38,40,59,46,43,53,""
13,60,60,61,87,68,77,91,78,79,56,56,60,46,37,44,39,38,25,30,27,41,25,10,9,""
14,68,68,93,106,85,67,68,65,55,42,40,44,48,45,46,38,29,38,51,25,53,24,13,13,""
15,73,65,95,101,84,55,76,109,94,70,75,73,82,77,63,56,47,59,39,22,55,27,8,11,""
16,59,68,80,77,59,66,62,82,59,78,83,38,34,32,71,73,47,31,6,5,23,47,39,46,""
17,53,55,59,74,64,38,71,46,52,56,71,57,21,30,30,28,32,24,23,46,38,49,11,15,""
18,57,45,55,63,47,83,55,71,46,52,59,40,49,27,18,21,6,17,18,16,21,30,16,24,""
19,60,56,61,72,64,81,73,71,79,67,78,50,49,41,58,33,23,32,34,29,30,35,32,39,""
20,44,50,56,48,84,71,62,60,67,60,52,38,53,59,26,33,30,26,71,29,45,28,46,25,""
21,49,52,60,53,52,55,66,64,73,56,51,55,40,36,40,33,30,31,39,26,42,37,25,41,""
22,58,60,48,49,52,53,62,57,59,61,47,67,65,70,64,81,83,83,59,70,68,60,61,52,""
23,61,65,78,69,73,61,82,89,77,66,64,61,57,56,62,50,59,60,63,51,45,52,39,44,""
24,60,61,70,67,64,62,54,55,37,38,41,44,34,50,44,36,35,31,44,54,52,43,78,55,""
25,47,48,61,65,85,82,92,95,81,85,110,104,88,86,88,58,41,33,37,44,53,36,38,28,""
26,38,59,51,66,74,82,86,83,66,50,60,43,37,35,61,48,27,36,23,26,36,32,29,36,""
27,46,39,48,47,59,62,62,59,49,37,38,36,51,48,38,22,25,36,23,26,18,33,49,70,""
28,77,81,84,72,72,68,56,79,53,52,38,28,26,39,33,18,27,30,27,39,45,35,56,61,""
29,88,92,92,109,89,65,84,66,57,54,52,76,54,49,46,37,33,42,28,60,51,46,57,55,""
30,60,68,99,90,75,80,67,66,52,56,37,45,43,47,34,36,36,34,32,34,39,41,49,46,""
31,66,79,94,94,78,71,63,62,62,40,61,55,48,44,44,34,34,25,33,42,32,46,43,15,""
[E]dh{}`gIn=o,"`'gl}"
