jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,68,65,0,17,39,16,20,15,14,22,7,11,8,17,5,0,1,3,2,0,0,4,2,2,""
02,10,10,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,""
03,21,11,23,20,28,11,11,26,10,11,36,96,107,64,97,87,82,144,131,149,272,215,194,175,""
04,208,117,192,193,197,243,273,283,247,246,205,218,197,173,203,211,205,212,306,254,214,232,252,233,""
05,261,266,297,293,318,289,269,282,287,274,256,264,234,264,206,216,170,202,251,184,184,272,303,238,""
06,267,72,170,201,105,71,101,93,65,163,326,95,156,138,287,300,453,420,358,401,404,409,365,168,""
07,333,370,336,393,285,392,434,423,406,436,441,417,417,439,446,406,359,355,329,273,327,260,326,349,""
08,393,434,429,391,387,436,407,401,432,423,420,422,416,467,444,427,431,451,413,394,371,342,318,311,""
09,285,260,279,319,311,358,364,381,407,387,385,409,390,318,246,337,342,292,291,266,255,254,368,271,""
10,238,191,182,338,294,391,400,341,373,336,351,334,245,286,352,401,432,421,387,387,381,359,371,370,""
11,358,345,351,383,396,394,385,401,396,398,414,328,134,104,85,109,119,102,103,105,83,62,45,47,""
12,40,44,284,405,485,459,444,415,444,359,441,421,442,401,369,385,395,346,398,387,400,438,486,471,""
13,486,495,481,481,426,461,416,404,338,304,292,255,293,279,329,282,355,293,303,354,344,364,386,396,""
14,379,423,344,309,291,223,159,171,169,159,178,188,140,226,229,182,217,235,269,269,228,278,305,298,""
15,292,251,237,246,236,236,149,197,206,213,195,217,204,246,179,183,186,180,166,165,146,144,113,98,""
16,122,156,208,280,186,193,195,202,246,274,238,161,173,203,174,192,131,139,48,313,357,420,461,452,""
17,451,405,351,463,504,499,488,472,481,471,484,492,467,477,432,398,408,378,356,374,386,377,268,400,""
18,389,379,344,392,412,425,377,345,329,354,380,358,331,384,383,416,424,421,418,427,394,418,402,393,""
19,396,400,392,375,279,226,206,224,184,209,212,215,303,297,240,197,168,163,438,441,439,493,355,478,""
20,505,476,410,19,68,83,117,175,170,153,156,166,184,175,129,118,101,111,94,86,62,44,32,28,""
21,34,50,52,49,77,89,123,141,168,71,9,283,327,388,445,85,9,360,82,3,1,2,1,2,""
22,3,7,4,1,5,0,3,7,5,6,13,234,319,352,488,366,12,3,6,5,2,4,5,36,""
23,65,44,59,64,46,71,95,110,151,144,160,249,362,405,292,156,101,113,95,79,73,56,55,46,""
24,37,48,45,67,79,68,107,161,162,168,127,274,414,458,401,160,98,122,190,118,88,50,44,29,""
25,12,8,35,68,68,60,120,140,182,184,135,174,150,331,121,124,129,126,93,102,95,57,44,45,""
26,35,50,46,52,52,75,70,123,143,124,142,149,117,285,182,126,113,110,99,85,74,57,45,45,""
27,45,57,51,59,59,71,114,134,357,345,366,372,324,336,280,265,348,214,97,93,78,55,215,339,""
28,347,376,184,232,76,186,319,347,306,384,328,389,368,452,446,464,50,90,107,78,52,65,24,33,""
29,32,37,52,41,50,54,81,124,143,157,179,129,139,110,75,112,123,109,79,60,66,53,45,29,""
30,30,38,30,36,38,39,59,58,131,80,82,114,97,90,99,104,97,77,53,47,34,57,46,58,""
31,54,59,56,0,74,105,138,170,183,178,183,210,200,181,132,163,143,129,114,117,93,70,59,-1,""
