mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
03,-1,5,4,11,14,13,18,17,25,21,42,37,39,42,28,43,48,37,32,23,16,10,12,5,""
04,1,2,7,3,4,16,16,22,25,36,54,57,37,40,42,29,37,45,38,28,18,1,6,9,""
05,3,4,6,9,13,8,9,23,31,43,36,47,38,53,37,48,43,36,52,33,39,22,19,10,""
06,2,4,7,4,15,12,18,20,26,29,39,38,38,32,25,48,50,52,45,42,37,21,7,6,""
07,5,2,9,8,7,16,11,16,23,32,35,42,37,33,37,50,53,46,43,25,18,18,9,9,""
08,4,6,2,2,5,10,23,21,13,37,56,35,42,43,39,36,43,39,27,36,21,20,10,6,""
09,3,4,5,5,16,13,29,31,31,44,54,40,38,35,35,57,45,60,39,29,23,9,8,6,""
10,2,5,3,9,24,15,25,15,32,49,53,38,36,42,24,38,44,43,47,29,25,25,10,11,""
11,6,5,6,5,20,14,11,23,37,50,54,46,48,38,45,42,62,38,46,33,39,26,16,8,""
12,8,4,10,10,12,11,21,23,29,44,71,64,52,43,39,39,54,50,37,31,28,16,12,6,""
13,6,4,6,7,4,15,15,10,20,33,45,36,45,40,40,47,36,41,33,24,22,22,15,5,""
14,5,3,6,8,12,12,9,13,21,35,33,42,35,25,32,45,-1,34,39,27,26,18,13,8,""
15,1,3,3,7,9,8,11,19,31,25,53,44,38,31,33,27,33,23,22,26,18,12,7,3,""
16,0,3,6,5,12,9,14,23,19,29,36,36,38,28,28,35,48,40,28,39,26,18,11,6,""
17,5,5,5,6,9,13,12,22,29,26,47,43,47,38,50,46,54,33,40,22,21,19,15,6,""
18,2,3,3,7,9,7,17,24,30,25,41,36,37,42,39,37,39,52,44,42,31,25,12,6,""
19,7,2,3,7,12,18,11,16,20,38,37,32,38,27,46,37,35,47,41,30,38,24,15,8,""
20,6,8,8,8,13,12,20,22,31,33,42,42,44,24,37,54,46,48,35,38,24,20,17,7,""
21,3,6,8,12,10,8,14,19,34,34,37,44,47,28,52,37,40,40,31,31,14,11,6,4,""
22,2,4,4,6,9,18,26,19,36,39,43,41,46,24,29,40,34,44,40,28,21,25,15,7,""
23,3,6,3,2,9,11,16,21,17,28,34,35,31,30,30,55,40,32,47,29,22,13,14,9,""
24,5,6,4,7,7,19,18,32,27,28,51,36,40,38,40,43,36,59,51,35,26,29,21,10,""
25,8,4,1,8,16,19,21,27,41,43,72,53,49,50,44,44,51,32,32,35,29,23,12,7,""
26,6,4,6,8,13,15,10,20,24,41,41,55,37,42,34,42,56,46,36,42,28,21,10,5,""
27,6,7,4,16,7,12,14,24,17,32,28,29,35,24,37,51,56,41,41,35,37,17,9,6,""
28,7,6,5,5,9,11,15,19,31,31,29,37,34,39,29,42,63,47,28,33,27,19,10,4,""
29,9,5,4,8,10,17,14,19,25,44,36,40,47,40,51,50,57,66,39,26,37,19,12,7,""
30,7,5,1,8,11,11,9,16,30,36,45,47,45,37,47,63,85,53,44,33,27,24,14,9,""
31,7,13,3,3,10,10,16,12,22,30,38,38,37,41,40,43,39,48,25,27,26,18,5,-1,""
