Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,2,4,4,4,4,1,2,3,1,2,3,1,1,1,2,2,1,-1,2,1,1,2,4
2,6,5,1,2,2,2,2,-1,-1,-1,1,3,3,1,6,4,5,3,3,2,5,4,10,4
3,3,4,5,3,2,-1,1,4,3,2,3,1,4,4,3,7,2,2,2,3,10,5,4,8
4,5,4,1,-1,2,2,3,1,3,4,3,4,3,2,2,3,1,2,8,3,10,4,6,5
5,6,4,5,1,2,1,3,-1,-1,3,1,3,2,2,4,1,1,2,4,3,9,7,7,5
6,5,2,4,5,2,-1,-1,2,1,-1,-1,-1,-1,-1,-1,2,1,1,3,2,4,8,2,4
7,2,2,2,-1,-1,-1,-1,-1,-1,1,4,2,-1,1,1,-1,-1,-1,1,-1,-1,1,2,-1,-1
8,3,-1,-1,6,3,1,-1,1,-1,-1,2,1,3,3,2,-1,1,1,2,-1,7,5,5,3
9,-1,3,2,3,-1,-1,-1,-1,1,-1,1,4,3,1,1,2,1,1,2,4,8,1,4,3
10,2,4,5,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2,1,1,-1,2,1,4,6,2,4
11,3,3,-1,2,3,3,-1,-1,-1,1,2,3,-1,1,2,1,-1,3,2,3,2,3,1,3
12,3,3,1,-1,-1,-1,1,2,2,1,2,2,2,1,2,1,-1,2,-1,-1,5,2,4,4
13,2,2,3,2,-1,-1,2,-1,1,-1,-1,2,-1,1,3,2,3,1,5,1,8,8,2,5
14,6,7,1,2,-1,-1,-1,-1,4,-1,-1,-1,2,1,-1,-1,-1,3,3,2,1,1,1,4
15,1,2,2,3,2,1,1,-1,2,4,1,3,2,-1,-1,4,2,8,-1,-1,1,2,3,5
16,3,2,4,1,-1,1,-1,2,1,4,-1,1,1,1,1,-1,2,5,3,3,-1,-1,1,4
17,-1,1,1,-1,3,1,2,4,-1,-1,1,2,2,2,1,2,1,-1,2,2,2,4,1,2
18,3,2,2,1,1,-1,-1,-1,2,4,1,3,3,-1,-1,1,-1,-1,2,-1,1,4,1,3
19,1,3,2,1,1,2,-1,-1,-1,-1,-1,2,-1,1,5,2,4,2,3,3,4,2,1,4
20,2,4,2,2,-1,-1,3,4,1,3,1,2,-1,3,-1,1,5,1,1,4,2,2,2,2
21,4,-1,6,2,-1,3,-1,-1,-1,3,2,5,-1,-1,-1,2,2,5,3,2,2,2,3,1
22,3,2,-1,1,1,2,-1,1,2,1,-1,1,-1,1,-1,3,4,8,4,6,2,4,5,5
23,2,1,2,1,2,-1,-1,-1,-1,5,-1,9,4,3,1,3,2,2,1,2,6,4,3,2
24,2,4,2,-1,5,2,2,1,2,2,2,2,1,1,2,2,3,4,-1,6,2,2,2,4
25,5,3,2,-1,-1,3,-1,-1,-1,-1,4,3,-1,2,2,2,1,-1,1,-1,1,6,-1,3
26,4,2,-1,-1,-1,-1,-1,3,4,-1,2,3,-1,2,-1,-1,4,-1,1,6,8,5,5,-1,-1
27,6,-1,-1,7,1,4,-1,-1,4,4,3,7,6,4,5,-1,3,5,7,6,6,2,3,4
28,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,5,2,6,1,3,3,7,5,6,1,3
29,3,5,1,2,-1,1,9,5,1,2,4,3,3,3,2,6,4,1,5,5,3,4,5,4
30,4,-1,-1,2,-1,1,2,3,3,2,5,2,4,1,1,3,4,-1,1,4,6,3,2,3
31,4,6,-1,5,3,2,3,-1,5,-1,4,10,4,3,2,3,1,5,-1,5,3,3,4,8
