Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,33,32,33,56,52,57,63,56,43,41,31,28,52,52,40,32,21,31,28,29,33,27,24,23
2,34,25,34,41,62,53,54,35,64,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,30,22,47,36,30,43,37,30
4,26,22,38,53,54,68,64,58,64,53,30,53,44,38,37,25,31,16,30,32,27,35,30,36
5,25,35,38,38,55,52,51,47,48,55,37,54,40,50,41,30,35,35,32,36,21,45,30,41
6,24,48,40,50,56,46,58,60,55,33,35,47,35,52,43,40,41,23,33,41,45,39,35,34
7,24,26,48,50,49,51,55,51,39,56,38,35,32,35,29,29,29,38,24,36,36,30,27,35
8,37,24,38,53,61,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,32,44,27,33,37
10,31,34,36,47,56,46,35,11,43,39,35,27,33,33,31,26,21,22,23,31,31,33,31,32
11,31,38,58,51,41,26,43,38,38,27,26,29,29,49,28,24,23,19,26,25,36,36,26,33
12,27,29,42,59,59,39,29,38,36,40,27,23,33,29,80,37,36,39,28,37,35,35,30,36
13,38,38,51,56,47,55,45,32,31,34,32,19,36,44,39,43,38,28,34,54,45,32,39,35
14,29,41,34,61,45,43,44,72,40,42,42,41,29,33,39,21,48,29,29,43,40,31,32,31
15,32,30,34,53,61,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,33,37,39,36,27,34
16,39,26,45,49,61,50,63,41,56,42,42,43,41,46,34,40,46,23,36,37,50,37,36,34
17,41,32,50,55,42,56,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,29,35,37,47,38,26
18,35,32,34,59,59,51,36,46,47,35,27,35,41,27,32,38,44,23,28,34,45,27,42,21
19,41,35,48,56,57,41,41,54,54,54,32,29,24,43,50,73,67,28,28,35,31,39,33,19
20,32,31,42,52,48,45,39,75,53,47,37,37,31,33,40,38,38,42,40,46,42,48,34,22
21,25,37,33,53,52,38,56,45,38,38,44,30,32,36,36,37,28,31,27,31,39,41,25,34
22,20,30,46,45,43,47,48,65,51,37,45,28,20,50,27,32,23,31,47,44,67,30,34,29
23,24,26,44,57,50,42,57,55,50,38,38,27,31,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,39,32,41,37,191,42,12,15,27,32,42,38,27
25,29,16,51,55,47,45,42,51,42,47,37,29,42,36,30,22,28,27,38,38,38,39,30,27
26,53,39,58,74,57,53,42,36,36,28,29,27,24,37,30,27,26,44,40,32,42,30,32,25
27,34,35,42,52,65,36,45,47,42,38,20,24,38,48,41,39,30,32,20,37,40,43,45,32
28,36,29,51,44,54,36,40,46,32,37,27,32,36,33,34,44,34,33,34,37,33,23,45,30
29,34,43,43,37,53,59,24,54,50,29,26,31,32,30,32,43,34,21,39,35,29,39,38,36
30,31,32,32,46,55,39,64,47,25,41,33,29,28,32,31,29,22,26,39,39,41,38,23,28
31,41,41,59,55,46,46,37,32,39,31,38,34,26,34,47,35,30,31,37,44,38,32,29,18
