jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,35,22,28,27,38,55,40,38,25,19,15,15,7,6,5,11,8,14,10,16,15,19,21,19
02,26,33,32,33,43,46,46,47,30,26,19,12,16,12,11,9,5,11,13,20,19,18,31,47
03,37,38,32,27,39,29,30,48,25,34,17,9,13,16,15,10,10,12,16,13,23,20,37,42
04,39,39,38,36,47,33,39,48,37,26,12,11,11,10,13,12,6,15,17,15,16,26,26,37
05,46,37,35,45,25,44,43,40,37,32,14,14,12,8,5,14,7,8,8,15,29,36,37,43
06,47,37,49,54,41,40,45,29,30,25,16,10,10,16,6,12,6,11,12,12,16,22,34,45
07,47,44,45,37,46,41,48,46,34,25,25,13,18,12,11,6,12,10,6,11,28,28,34,48
08,49,51,49,62,39,41,43,43,26,26,21,20,9,13,12,16,11,10,7,13,24,30,41,41
09,40,42,41,32,16,30,37,46,22,10,9,11,6,11,14,16,9,8,11,12,18,30,28,49
10,46,45,44,48,40,47,40,48,29,25,22,9,11,4,9,13,10,9,12,18,20,25,38,34
11,40,27,34,32,34,33,29,43,33,25,18,15,11,11,9,11,13,17,11,12,23,35,38,47
12,49,47,49,33,42,36,36,40,33,18,16,8,6,11,12,6,12,16,16,16,16,25,45,52
13,45,46,48,45,38,38,36,34,33,18,21,13,15,5,7,14,12,14,15,19,20,40,32,48
14,52,44,37,39,38,35,44,34,37,27,12,12,16,13,9,13,14,13,15,12,24,24,31,27
15,51,41,53,47,48,39,34,32,27,27,25,13,9,10,8,20,13,22,23,20,24,22,28,29
16,34,48,23,18,37,40,35,33,32,29,22,15,13,11,10,11,13,16,9,18,16,26,32,53
17,54,42,44,32,52,35,40,41,44,20,21,13,7,8,6,12,7,10,12,15,20,33,21,25
18,31,29,33,28,32,19,23,22,14,19,6,7,5,7,8,11,9,8,7,26,17,32,27,33
19,32,33,26,22,22,17,20,20,22,25,15,14,9,9,10,3,11,11,14,12,24,21,31,33
20,44,27,36,39,27,20,15,27,19,19,16,8,7,3,3,5,19,8,21,18,30,27,26,20
21,26,31,44,20,37,32,23,40,26,32,23,12,15,10,15,21,13,13,19,20,30,41,40,54
22,63,52,52,49,43,32,31,31,26,32,22,10,9,7,16,12,15,19,18,20,29,23,44,57
23,61,50,49,45,35,40,33,32,30,21,17,18,17,20,23,20,12,13,25,25,20,33,46,66
24,60,67,53,46,30,30,31,35,36,29,12,12,12,11,8,15,8,17,21,20,17,26,37,52
25,50,63,43,41,47,31,25,32,42,22,20,4,6,6,6,8,11,17,12,20,13,24,41,38
26,40,35,45,37,32,40,30,35,29,30,15,8,9,9,9,14,9,14,17,17,23,22,36,49
27,58,54,51,55,55,30,39,37,21,18,9,8,13,9,9,9,10,4,12,10,-1,-1,52,54
28,67,55,58,49,53,51,28,38,28,22,23,12,14,6,13,12,17,14,16,43,55,24,33,76
29,55,56,58,55,41,41,42,30,33,22,17,5,11,8,11,11,9,10,13,24,27,32,38,47
30,56,53,45,46,40,29,36,35,30,27,18,11,11,3,11,16,10,7,17,20,22,26,30,40
31,34,57,56,48,49,26,31,27,28,23,11,11,7,5,9,10,8,10,8,-1,-1,-1,-1,-1,-1
