Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,2,5,-1,-1,2,-1,1,1,-1,1,1,5,3,7,6,8,6,7,6,1,7,7,3,7
2,4,4,1,3,1,1,-1,2,-1,2,-1,1,5,4,4,5,5,3,5,3,2,9,-1,6
3,13,3,1,3,4,3,-1,4,-1,3,2,4,2,5,6,3,8,7,4,4,5,8,12,14
4,5,4,2,1,1,1,1,1,1,7,3,1,4,6,6,5,12,4,6,9,4,7,7,6
5,7,3,4,1,5,-1,1,3,1,1,2,5,4,11,4,8,5,4,4,3,4,15,6,5
6,3,-1,-1,6,3,-1,3,2,2,1,1,-1,7,2,5,12,5,6,3,5,6,3,6,11
7,6,4,6,2,1,2,3,1,1,1,3,-1,5,6,-1,3,7,1,4,7,12,12,7,13
8,5,5,-1,5,1,2,3,3,-1,4,1,7,5,4,4,8,5,6,5,7,5,15,9,8
9,7,6,1,3,3,1,3,2,2,-1,-1,-1,7,2,6,4,6,4,4,8,8,5,6,11
10,6,2,2,4,2,4,2,1,1,1,3,2,3,3,4,2,3,8,6,12,9,7,7,9
11,6,6,4,3,3,2,4,1,2,1,3,5,4,7,8,5,5,3,8,7,7,4,5,7
12,4,5,1,6,4,-1,3,2,3,3,3,2,6,4,1,8,2,7,5,9,6,7,10,6
13,4,1,-1,5,1,-1,-1,2,4,2,-1,3,3,6,5,5,4,11,6,2,7,10,11,9
14,9,5,2,3,3,6,2,1,4,-1,1,4,5,3,5,5,3,3,5,5,9,6,7,6
15,5,4,3,2,2,1,5,3,1,2,3,2,-1,2,5,4,1,7,9,4,6,4,4,2
16,7,6,7,-1,-1,4,2,-1,-1,-1,6,3,-1,3,7,6,8,6,7,7,6,13,7,8
17,5,1,2,3,1,1,2,-1,1,6,2,1,6,5,11,3,2,3,2,4,5,4,5,6
18,3,1,5,1,2,2,3,3,2,2,1,6,4,7,5,4,3,4,9,8,5,9,4,6
19,6,5,1,2,4,1,1,4,1,3,3,9,6,7,2,3,3,4,5,7,1,7,9,4
20,9,6,-1,3,-1,-1,4,-1,1,3,5,8,6,6,3,10,6,5,3,8,3,4,7,5
21,7,3,5,2,4,2,1,2,1,1,1,2,6,5,5,9,9,4,5,4,5,9,8,2
22,8,5,3,1,2,1,4,-1,3,2,2,2,4,6,10,8,11,25,8,5,11,7,9,3
23,2,3,3,2,2,1,1,5,-1,2,4,3,7,8,5,9,11,7,6,7,10,6,13,7
24,4,5,-1,3,1,-1,1,-1,-1,-1,3,1,4,5,10,5,10,12,9,4,8,11,5,8
25,6,4,3,1,3,1,-1,3,2,2,2,3,6,7,7,7,4,5,9,8,8,10,7,6
26,4,8,7,2,1,3,2,3,1,2,-1,5,3,4,7,2,4,9,11,8,9,13,5,6
27,4,3,3,6,2,4,-1,-1,3,2,6,2,7,4,8,3,9,9,4,6,12,5,6,7
28,-1,2,1,7,1,3,-1,2,1,3,5,2,8,4,3,3,5,4,6,6,5,14,17,8
29,2,4,1,3,1,1,2,2,2,2,1,-1,7,4,1,8,3,6,11,7,11,7,8,4
30,7,6,4,7,3,2,4,1,2,4,-1,6,2,3,3,11,9,7,7,6,8,10,10,8
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
