dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,37,45,34,38,47,50,52,46,37,45,53,35,40,41,34,30,31,17,25,29,27,33,38,29,""
02,26,26,36,32,57,47,38,53,39,37,38,30,57,29,35,30,30,36,22,43,34,48,38,34,""
03,47,44,47,58,57,71,49,59,64,64,55,92,42,55,49,43,30,21,14,23,27,20,24,43,""
04,26,29,28,50,32,37,31,39,44,50,42,43,30,34,21,23,23,18,24,26,22,39,30,40,""
05,42,39,48,43,70,73,54,53,76,71,62,48,46,35,30,23,37,37,28,30,44,36,39,50,""
06,30,36,35,49,72,72,54,69,37,55,51,34,41,30,13,13,15,5,-1,-1,-1,-1,-1,-1,""
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,17,27,19,15,8,11,30,40,63,80,98,89,144,""
14,135,72,69,84,166,190,167,136,93,68,33,21,22,23,15,20,24,37,70,80,81,68,79,112,""
15,82,68,64,98,117,123,87,86,65,26,23,40,76,40,47,42,42,55,36,34,32,25,28,27,""
16,23,29,19,31,42,53,52,45,36,32,30,35,50,24,20,19,25,17,17,27,21,19,28,22,""
17,15,12,11,13,19,17,12,29,20,14,13,19,19,15,9,7,8,11,11,16,15,10,19,13,""
18,24,25,28,26,45,90,108,485,89,69,43,28,31,34,19,18,1,10,23,18,17,19,16,17,""
19,17,29,23,25,26,37,28,32,30,25,24,17,20,10,22,15,13,12,56,324,119,67,54,83,""
20,64,101,79,100,98,119,156,253,135,123,180,97,84,52,39,32,21,17,18,17,28,22,30,38,""
21,33,30,41,41,43,37,50,41,52,41,40,18,7,8,14,13,10,9,10,12,10,6,18,8,""
22,28,15,25,22,36,36,43,31,36,28,44,21,23,26,28,11,20,15,11,24,12,18,23,68,""
23,62,88,88,93,89,101,77,71,89,89,75,198,267,180,219,211,84,65,30,23,27,34,24,8,""
24,14,23,39,25,16,25,58,44,40,51,43,35,21,20,19,7,4,7,12,10,8,11,9,17,""
25,11,17,20,24,34,27,34,20,35,41,33,33,23,11,14,10,6,13,9,11,12,10,15,8,""
26,11,21,20,30,24,21,19,28,30,24,23,32,18,15,11,10,8,9,14,9,3,8,10,20,""
27,19,14,17,20,30,25,22,22,14,16,19,18,23,16,17,11,11,9,14,14,17,11,11,7,""
28,16,119,316,291,408,306,164,256,332,96,54,69,38,27,27,31,31,16,27,29,30,32,3,8,""
29,9,36,21,52,59,57,52,65,63,52,57,53,18,15,10,12,5,8,10,10,14,16,18,23,""
30,26,17,29,36,14,22,26,26,25,23,49,69,10,22,24,9,17,28,35,23,19,28,21,19,""
31,28,33,45,29,51,52,49,58,77,62,64,63,34,18,16,15,2,7,15,6,14,15,19,-1,""
