dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,21,26,18,15,17,16,14,15,20,20,19,12,19,20,8,20,16,17,17,20,15,24,21,23,""
02,16,18,10,22,25,11,22,20,20,24,11,14,15,15,9,7,18,14,17,12,9,15,19,13,""
03,11,13,17,13,17,11,21,17,20,19,21,16,19,16,20,14,13,25,15,19,22,19,22,12,""
04,15,18,15,14,20,29,30,17,20,12,9,12,13,14,14,21,11,17,18,18,13,19,21,18,""
05,20,21,13,21,19,13,24,13,19,21,17,17,16,23,17,9,10,17,18,19,25,17,19,13,""
06,19,18,18,23,23,24,20,23,18,18,21,22,20,19,15,9,11,13,15,21,16,15,15,15,""
07,24,12,18,15,13,23,20,21,14,13,17,21,15,21,21,18,13,19,11,17,19,11,14,12,""
08,11,27,32,11,11,19,17,24,19,12,9,14,8,17,13,10,14,13,17,16,19,15,15,15,""
09,20,18,15,20,19,18,15,23,20,19,9,12,14,8,9,17,11,12,16,15,16,18,26,15,""
10,20,16,17,14,17,14,23,30,20,20,9,18,25,16,10,9,16,8,26,20,29,20,19,19,""
11,19,22,23,12,21,27,35,29,20,23,18,8,15,10,16,18,23,16,23,31,15,23,18,19,""
12,28,17,27,17,19,26,37,34,28,14,13,21,23,10,14,27,12,17,32,40,35,38,24,34,""
13,26,28,25,22,27,35,60,68,32,25,13,22,29,21,16,20,46,42,35,55,51,68,64,49,""
14,46,53,31,36,40,61,79,75,88,31,17,22,15,12,9,15,21,29,58,56,67,73,105,73,""
15,57,56,46,47,36,43,53,33,27,20,14,21,13,16,13,9,17,20,25,27,25,19,20,17,""
16,26,20,14,18,19,18,19,16,13,14,13,14,11,18,21,8,13,12,15,17,19,15,22,13,""
17,11,14,17,15,23,14,22,14,16,10,5,20,15,13,8,13,18,0,0,13,17,13,10,17,""
18,11,13,13,8,14,21,15,12,16,19,16,11,13,9,17,12,12,19,11,12,15,9,16,11,""
19,15,10,10,21,15,18,18,17,16,10,11,9,23,9,9,13,23,85,42,26,11,12,11,13,""
20,17,10,12,19,19,14,12,41,64,17,48,22,70,17,23,14,28,12,13,13,14,13,10,6,""
21,18,12,14,11,14,11,17,25,11,36,19,9,17,10,10,14,5,7,6,14,14,13,19,9,""
22,14,17,11,14,13,22,10,16,10,15,11,19,9,16,14,9,5,8,15,14,15,11,9,19,""
23,9,22,8,20,21,16,23,19,17,20,13,15,14,12,11,13,8,13,10,11,16,17,11,8,""
24,17,12,13,9,11,19,20,19,10,11,10,17,13,15,16,12,9,11,16,6,12,11,13,12,""
25,20,11,10,7,19,20,16,12,17,17,26,11,17,12,9,8,8,14,15,10,9,9,17,9,""
26,13,16,13,11,19,13,14,21,16,19,8,14,14,12,20,13,14,7,13,12,14,16,13,19,""
27,14,7,13,15,7,19,16,14,10,18,14,14,10,13,8,8,7,11,9,12,7,14,12,11,""
28,10,15,12,16,20,23,14,14,13,25,13,15,14,10,12,15,8,12,14,17,16,9,19,14,""
29,15,17,13,11,20,17,19,18,14,25,19,18,19,14,8,9,13,30,17,14,15,12,12,9,""
30,11,14,17,8,10,22,14,8,21,11,11,14,16,19,16,10,17,15,14,16,11,16,20,13,""
31,12,12,14,20,17,13,20,21,18,21,11,14,21,8,20,10,15,7,14,16,18,14,-1,-1,""
