apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,143,132,154,126,137,135,158,154,155,149,131,123,91,66,38,23,21,15,17,45,76,90,113,149,""
02,127,143,148,155,183,170,208,151,135,123,137,103,83,72,36,19,14,12,17,29,44,77,83,81,""
03,114,134,144,124,141,144,157,142,131,111,116,104,70,56,35,22,16,14,16,30,44,60,86,100,""
04,120,127,140,149,135,130,38,25,33,32,79,48,95,58,37,26,9,15,19,37,42,64,81,98,""
05,123,134,142,132,132,114,145,138,159,147,115,114,118,74,46,32,13,18,28,32,37,69,75,113,""
06,135,148,143,137,123,148,153,140,135,143,112,116,97,70,46,25,14,16,17,31,45,56,54,72,""
07,92,116,139,126,165,130,128,148,153,123,129,123,83,66,32,20,17,12,25,44,56,61,93,92,""
08,128,118,132,130,126,128,160,182,161,137,134,123,85,59,47,24,14,6,19,39,47,64,86,100,""
09,98,154,103,120,109,151,127,134,158,177,136,139,98,63,42,28,18,18,21,31,36,80,85,98,""
10,125,121,122,114,133,137,149,158,156,139,134,126,91,53,54,25,15,15,20,36,51,77,82,117,""
11,115,130,128,139,137,139,188,183,146,158,157,130,96,76,35,28,10,19,23,33,59,51,34,23,""
12,18,24,83,151,146,158,174,168,148,155,140,126,121,97,53,35,8,18,19,36,47,71,79,92,""
13,106,138,143,136,156,169,163,167,190,171,158,134,113,85,44,21,23,21,19,32,49,62,93,123,""
14,142,155,136,142,152,164,175,182,172,170,135,132,118,100,43,22,25,24,22,33,45,71,75,96,""
15,135,146,132,148,170,162,185,196,164,152,146,113,99,67,38,28,11,23,17,34,58,66,54,89,""
16,101,118,114,138,136,161,176,176,174,141,161,143,92,71,42,17,9,24,17,26,39,62,68,110,""
17,151,117,113,121,136,171,147,149,147,140,99,92,66,49,28,12,8,6,15,19,38,69,80,90,""
18,112,115,132,116,123,142,165,156,152,146,144,106,88,73,34,25,26,18,23,21,37,62,79,80,""
19,96,103,120,127,153,172,157,149,174,157,155,124,111,67,43,23,15,17,19,26,33,66,84,94,""
20,91,106,101,121,137,133,155,188,168,142,143,142,94,56,36,25,9,14,19,24,28,58,80,88,""
21,124,121,127,137,145,164,175,198,169,155,162,136,100,67,48,21,11,14,20,20,42,57,76,109,""
22,138,152,141,138,128,145,168,185,172,143,145,116,127,73,25,25,18,13,27,32,53,63,77,95,""
23,109,116,139,119,133,172,169,156,142,166,155,137,102,62,31,17,11,13,21,26,38,57,66,77,""
24,93,140,130,132,120,138,147,172,140,153,137,132,106,61,45,15,15,17,19,30,39,44,58,80,""
25,101,112,99,121,116,153,168,157,151,160,127,120,93,58,38,28,12,10,12,25,42,47,67,95,""
26,96,118,128,102,119,133,139,167,170,144,127,143,87,56,31,17,13,14,15,24,29,33,61,61,""
27,74,116,124,108,134,120,148,159,159,121,137,99,95,62,54,15,10,15,19,29,33,46,54,71,""
28,94,116,113,124,119,138,168,159,157,144,138,111,94,50,33,25,13,13,18,35,37,43,57,68,""
29,80,107,121,128,148,169,184,200,193,171,165,137,95,80,40,22,25,17,14,22,29,47,67,77,""
30,110,137,160,174,172,185,173,165,175,165,160,168,127,72,35,23,23,16,16,26,47,69,70,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
