may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,19,25,36,54,58,65,53,70,23,13,8,1,3,20,17,14,18,1,1,0,0,0,0,25
02,58,108,58,137,64,106,69,142,65,24,21,2,0,0,0,0,0,3,6,17,18,45,79,173
03,174,202,148,70,65,52,164,183,124,27,2,4,0,0,0,1,0,2,3,19,76,140,133,163
04,135,176,171,31,93,117,97,51,42,38,51,51,1,1,1,2,2,15,5,36,69,46,33,45
05,85,42,15,2,17,109,90,66,38,31,29,34,5,19,3,3,4,13,29,19,49,99,144,86
06,79,109,39,8,53,65,66,56,62,36,9,9,3,1,1,0,1,0,0,0,42,9,95,116
07,88,72,112,19,17,59,154,158,156,16,1,12,6,0,2,30,6,5,11,25,19,4,2,7
08,5,15,5,13,16,20,44,40,68,45,44,8,1,1,3,7,0,6,2,1,5,3,14,52
09,86,77,74,94,103,174,185,85,20,6,5,3,0,3,2,5,10,56,29,63,46,58,129,161
10,167,188,193,175,182,157,182,123,49,24,13,18,3,0,0,0,1,10,22,29,43,43,43,56
11,51,45,31,30,52,107,131,60,13,16,3,8,5,0,0,1,0,3,3,16,27,33,15,27
12,16,45,28,22,49,103,126,129,153,146,154,4,0,0,0,0,1,4,0,3,51,105,178,217
13,140,70,88,34,53,26,14,20,10,5,9,1,0,5,2,32,7,2,0,2,6,5,18,25
14,10,6,9,9,15,9,20,6,3,1,1,0,1,4,10,9,22,4,1,2,3,9,19,4
15,102,51,93,141,187,175,165,148,191,48,7,1,0,1,0,0,4,10,17,28,40,69,83,117
16,174,159,109,53,95,183,158,158,110,58,52,95,17,2,4,1,3,15,32,28,65,32,54,136
17,188,144,142,56,83,178,167,111,40,27,32,32,21,19,1,66,7,26,27,30,16,15,18,20
18,72,62,36,1,6,41,47,52,9,18,25,21,15,12,19,1,1,10,7,29,37,39,21,28
19,36,33,24,3,12,79,61,18,4,3,4,7,4,0,9,4,1,9,15,32,57,47,55,40
20,42,64,13,24,43,41,42,62,44,8,5,16,10,17,30,31,11,83,78,101,140,66,60,4
21,136,102,117,104,138,143,151,115,97,36,77,108,113,100,59,83,108,84,29,8,106,8,3,24
22,50,48,30,43,60,79,69,51,42,41,28,16,5,0,3,1,5,34,18,28,35,65,78,64
23,69,71,64,35,44,171,179,81,23,30,26,34,2,1,1,3,1,12,19,32,42,27,41,29
24,44,46,29,4,7,73,109,69,54,45,52,54,6,1,2,0,27,9,8,14,12,24,35,34
25,41,28,19,13,7,40,68,52,42,50,49,18,10,1,1,2,2,3,1,1,19,10,19,13
26,16,21,20,28,34,53,62,27,11,5,1,8,3,25,25,25,26,29,17,20,19,28,39,18
27,13,46,42,51,30,39,100,91,58,34,38,55,26,33,9,6,1,1,2,14,44,29,17,31
28,80,48,27,28,29,47,37,57,57,25,24,24,6,1,4,4,5,2,3,4,2,4,6,57
29,15,4,4,7,14,45,29,25,7,2,2,2,2,1,0,0,0,3,1,6,6,8,4,1
30,2,0,2,0,4,5,6,25,12,5,4,5,2,4,10,5,10,5,6,2,2,6,7,4
31,5,3,4,10,39,134,201,48,29,22,26,25,9,1,4,3,5,12,10,26,47,89,80,48
