feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,36,54,79,113,110,122,150,157,172,201,206,214,204,207,201,236,189,175,169,124,109,105,97,95
02,57,84,113,125,145,159,164,159,211,235,277,281,263,264,284,246,214,208,215,176,130,104,96,84
03,80,95,116,113,152,142,157,180,201,224,207,258,273,253,265,264,209,184,186,152,141,129,93,82
04,101,112,116,155,194,209,214,249,246,281,267,293,301,311,293,258,224,224,167,117,110,90,87,73
05,70,90,111,123,133,146,150,160,177,205,218,260,264,269,270,234,195,179,170,134,115,101,76,72
06,66,93,109,131,138,153,152,170,185,196,203,223,237,247,221,206,181,178,193,182,144,124,118,92
07,76,91,112,113,144,150,140,161,200,216,239,246,240,205,219,195,219,166,157,138,95,80,90,78
08,74,58,90,92,104,103,85,116,131,160,153,152,165,142,151,144,149,134,141,142,140,74,83,77
09,84,81,90,102,109,124,137,137,183,199,175,144,191,207,197,196,185,179,122,147,114,114,87,68
10,64,74,102,96,136,154,170,167,183,196,221,209,214,184,231,226,175,168,133,121,92,77,71,51
11,79,87,109,127,150,135,151,148,178,197,192,213,208,232,218,219,213,216,192,136,136,142,106,96
12,101,88,90,112,127,129,152,159,159,196,193,215,214,206,185,175,170,170,199,160,112,129,91,85
13,86,66,115,121,152,142,158,186,203,181,172,197,226,236,219,231,202,199,163,166,153,130,106,90
14,93,94,92,121,125,146,172,185,229,187,239,231,257,279,232,216,215,188,190,217,179,162,124,120
15,121,113,123,161,152,189,205,188,246,268,283,299,292,280,277,271,258,220,230,166,165,133,90,85
16,72,79,88,135,145,144,162,202,217,247,261,253,254,214,227,232,191,208,161,138,166,115,103,98
17,91,80,84,111,129,129,160,167,197,194,180,247,207,212,214,216,222,196,188,165,148,131,97,63
18,77,84,79,134,160,156,169,85,118,119,122,145,138,127,157,133,125,127,118,109,109,88,55,47
19,47,53,51,63,61,73,76,86,94,109,105,134,112,80,128,144,131,111,105,96,87,56,41,60
20,31,46,42,45,46,36,58,77,120,102,115,91,82,91,112,138,144,135,111,92,96,71,40,43
21,34,36,40,40,45,54,64,64,80,101,87,95,90,108,121,155,127,114,105,94,86,62,65,42
22,39,44,53,55,58,58,70,108,117,130,119,130,132,137,138,133,144,117,106,80,64,46,38,46
23,40,42,48,59,62,78,84,81,94,133,145,159,166,161,156,146,119,140,144,101,81,54,70,35
24,39,34,45,44,59,60,60,89,96,127,138,122,124,124,131,132,119,122,110,100,81,63,45,49
25,40,32,49,57,52,55,83,97,115,92,131,129,153,138,142,141,123,99,85,71,88,78,50,41
26,33,36,38,52,74,56,74,93,91,121,121,125,127,147,127,116,115,132,96,62,87,55,39,32
27,21,41,29,42,53,76,79,85,100,97,110,117,117,98,137,111,133,101,113,78,77,68,53,58
28,30,22,44,45,42,60,58,83,103,121,105,111,127,147,111,124,162,118,115,104,86,60,64,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
