feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,94,100,129,183,187,181,186,154,161,190,156,168,163,126,102,102,60,48,43,52,60,68,83,101
02,78,98,135,163,200,179,178,147,171,164,149,169,168,138,136,114,75,67,42,38,49,69,69,86
03,110,110,139,141,185,169,188,192,200,178,159,139,143,138,103,91,82,61,44,63,85,57,73,56
04,85,106,110,124,173,147,159,148,159,154,158,155,181,153,127,76,65,57,54,44,53,63,85,78
05,86,62,89,111,134,133,137,126,120,149,142,126,127,140,115,78,55,42,42,38,50,62,68,73
06,73,69,91,109,154,160,146,142,158,170,174,190,169,110,65,76,53,49,55,54,54,87,97,73
07,92,119,133,157,174,192,165,171,181,174,170,137,135,114,100,105,66,51,44,46,43,62,69,87
08,78,110,116,164,184,188,155,130,152,151,141,137,166,125,89,79,61,41,29,24,43,68,70,90
09,77,106,125,122,141,136,133,137,142,134,147,137,142,140,115,79,48,46,37,38,44,59,86,77
10,93,97,97,154,162,151,140,155,163,180,160,167,167,139,115,97,69,56,46,66,77,78,99,108
11,108,126,153,212,187,179,174,174,172,183,172,140,130,119,110,80,55,54,40,42,60,83,59,104
12,117,92,133,148,174,174,188,178,194,186,204,192,158,166,154,103,78,60,57,48,40,73,92,106
13,125,106,107,138,181,170,180,174,171,202,144,192,182,161,154,102,79,49,46,40,56,67,108,110
14,126,132,156,188,190,194,191,197,210,206,198,191,196,181,172,126,110,69,61,59,85,106,119,99
15,123,146,174,220,243,232,191,216,180,168,170,203,186,192,124,113,95,55,45,54,66,69,95,105
16,102,93,145,191,199,185,184,165,138,201,197,177,166,159,119,133,83,63,59,68,62,85,93,102
17,107,106,146,172,196,205,154,171,193,197,195,181,152,166,153,125,90,60,82,58,82,95,108,101
18,105,127,121,154,177,171,210,183,211,229,204,179,186,181,156,125,77,75,65,61,69,99,116,137
19,119,121,122,159,212,205,189,163,204,191,204,224,187,173,167,107,72,57,48,60,56,60,52,81
20,91,121,127,163,159,140,155,166,220,196,213,168,170,161,161,120,66,47,40,51,54,78,89,89
21,90,94,124,141,203,183,175,189,172,183,194,159,162,148,123,113,93,84,82,62,64,95,100,116
22,116,146,152,196,221,253,214,190,205,200,185,209,165,200,111,57,-1,38,72,43,77,105,118,115
23,111,142,166,210,243,194,214,218,235,227,229,216,223,185,161,127,69,69,57,31,64,82,106,114
24,80,117,144,177,181,169,159,175,170,247,213,198,196,173,163,130,82,64,56,71,84,76,108,96
25,99,121,133,158,197,155,170,174,211,239,219,197,175,180,146,97,64,61,42,48,38,67,81,80
26,84,113,118,150,181,187,167,168,216,232,215,204,182,152,156,113,76,56,35,59,84,87,97,81
27,109,113,127,152,169,170,167,180,209,200,207,181,159,169,131,110,79,53,54,56,49,82,73,119
28,116,117,116,159,194,180,180,195,234,222,168,144,129,148,130,110,95,8,-1,-1,-1,-1,-1,0
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
