feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,29,15,27,24,18,10,17,16,19,19,10,12,9,8,7,11,8,7,10,15,21,26,30,26
02,25,23,26,21,22,21,24,20,21,18,11,13,4,14,6,5,4,8,6,5,13,19,26,33
03,16,27,26,32,18,17,27,18,23,18,14,17,11,9,11,7,8,5,8,7,11,18,17,27
04,22,18,19,21,25,19,16,10,14,15,11,8,6,12,7,9,6,14,5,8,14,26,22,29
05,27,21,22,17,16,26,13,19,12,20,12,11,18,9,5,6,7,11,5,9,17,23,22,22
06,23,21,21,22,16,18,11,22,14,15,15,20,6,5,2,6,10,4,12,8,15,24,27,28
07,23,19,24,23,27,31,25,17,18,19,14,13,8,10,5,7,12,5,9,12,21,15,22,23
08,25,26,16,33,24,21,19,18,18,16,18,19,14,7,8,4,5,8,7,18,15,18,21,29
09,28,20,22,21,21,24,15,13,14,7,10,10,9,12,8,4,4,6,13,12,18,22,19,23
10,18,17,25,18,27,21,22,12,11,19,10,15,9,6,8,6,5,6,12,16,13,18,19,35
11,24,22,17,18,19,18,20,21,20,13,16,11,8,11,8,5,5,6,5,13,15,16,19,26
12,28,16,19,26,25,23,11,18,23,19,18,9,14,8,9,6,8,6,11,10,15,20,25,26
13,21,26,18,26,17,18,12,15,18,20,10,14,14,10,10,7,3,6,6,15,15,29,26,21
14,22,21,21,20,27,19,17,20,13,16,8,13,7,10,7,5,6,7,9,20,19,13,23,12
15,26,20,17,25,28,16,20,23,26,20,13,13,9,6,8,6,8,6,7,10,11,16,26,33
16,19,10,24,27,21,27,13,13,19,14,15,12,6,9,3,7,5,9,12,10,11,20,29,17
17,15,18,17,13,15,12,8,14,14,22,10,13,5,6,2,8,5,10,10,7,11,18,11,20
18,21,18,27,19,21,20,19,12,21,24,14,10,11,9,6,3,3,7,13,8,14,23,20,19
19,22,23,24,16,20,12,14,7,12,18,12,9,9,8,4,7,6,4,5,9,12,20,26,20
20,20,27,22,25,25,19,9,21,26,13,11,9,9,8,7,8,4,7,11,6,12,17,27,23
21,29,23,17,22,20,21,20,22,14,19,12,8,6,5,3,8,9,8,6,15,15,25,25,27
22,27,25,29,19,19,15,20,15,16,15,14,11,10,5,6,10,6,5,15,10,19,22,19,24
23,18,19,25,24,24,16,17,20,15,17,12,15,11,8,2,5,3,6,6,7,13,20,24,26
24,25,27,21,26,22,17,22,15,8,21,17,12,9,8,5,9,4,10,12,9,15,19,28,35
25,22,23,16,23,20,20,22,25,16,12,17,17,10,5,9,4,7,4,1,4,15,14,18,20
26,28,22,22,27,29,16,13,16,24,20,14,9,13,11,5,6,3,9,7,5,17,17,30,21
27,16,19,22,18,24,26,34,22,28,21,15,12,10,8,11,14,10,8,9,7,10,22,14,26
28,23,26,27,19,24,19,17,25,20,19,13,11,7,8,5,6,7,4,11,11,17,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
